Probe Set ID	Gene Symbol	BI
1554663_a_at	NUMA1	4.819304
239591_at		3.438822
211674_x_at	CTAG1A /// CTAG1B	3.290367
210546_x_at	CTAG1A /// CTAG1B	3.059808
228697_at	HINT3	3.040057
241224_x_at	DSCR8	3.014637
228780_at		2.906072
210503_at	MAGEA11	2.875024
219937_at	TRHDE	2.814863
221690_s_at	NLRP2	2.695411
220179_at	DPEP3	2.690946
220205_at	TPTE	2.680945
217339_x_at	CTAG1A /// CTAG1B	2.644095
230854_at	BCAR4	2.633791
233092_s_at	LOC100271840	2.616088
1564359_a_at	LOC339260	2.603912
242276_at		2.592038
203980_at	FABP4	2.579129
1552954_at	C5orf17	2.570922
206307_s_at	FOXD1	2.56618
207325_x_at	MAGEA1	2.523002
214183_s_at	TKTL1	2.480873
205856_at	SLC14A1	2.405792
227711_at	GTSF1	2.396188
229352_at	SPESP1	2.385401
229479_at		2.36807
223977_s_at	C18orf2	2.352107
209613_s_at	ADH1B	2.339607
207175_at	ADIPOQ	2.327939
229271_x_at	COL11A1	2.320625
1556711_at	C13orf30	2.31827
223618_at	FMN2	2.310887
209560_s_at	DLK1	2.299137
207802_at	CRISP3	2.291157
207739_s_at	GAGE1 /// GAGE12F /// GAGE12G /// GAGE12I /// GAGE12J /// GAGE2A /// GAGE2B /// GAGE2C /// GAGE2D /// GAGE2E /// GAGE3 /// GAGE4 /// GAGE5 /// GAGE6 /// GAGE7 /// GAGE8	2.280994
240161_s_at	CDC20B	2.280935
206439_at	EPYC	2.271894
209612_s_at	ADH1B	2.262021
206772_at	PTH2R	2.253262
203820_s_at	IGF2BP3	2.238049
1561938_at		2.226413
208155_x_at	GAGE1 /// GAGE12F /// GAGE12G /// GAGE12I /// GAGE12J /// GAGE4 /// GAGE5 /// GAGE6 /// GAGE7	2.224254
201222_s_at	RAD23B	2.219119
205626_s_at	CALB1	2.212532
206373_at	ZIC1	2.203221
242054_s_at	SIX3	2.192378
206640_x_at	GAGE12C /// GAGE12D /// GAGE12E /// GAGE12F /// GAGE12G /// GAGE12H /// GAGE12I /// GAGE2A /// GAGE2C /// GAGE4 /// GAGE5 /// GAGE6 /// GAGE7	2.187698
1556003_a_at		2.187661
207086_x_at	GAGE1 /// GAGE12C /// GAGE12D /// GAGE12E /// GAGE12F /// GAGE12G /// GAGE12H /// GAGE12I /// GAGE12J /// GAGE2A /// GAGE2C /// GAGE2D /// GAGE2E /// GAGE4 /// GAGE5 /// GAGE6 /// GAGE7 /// GAGE8	2.18759
208235_x_at	GAGE12F /// GAGE12G /// GAGE12I /// GAGE5 /// GAGE7	2.181512
214023_x_at	TUBB2B	2.179562
210437_at	MAGEA9 /// MAGEA9B	2.176367
203819_s_at	IGF2BP3	2.174441
223642_at	ZIC2	2.16283
241186_at		2.160173
206018_at	FOXG1	2.154655
214774_x_at	TOX3	2.147619
215108_x_at	TOX3	2.140115
233011_at	ANXA1	2.133965
1557215_at		2.128483
241764_at		2.117625
237281_at	AKAP14	2.103035
1560263_at		2.097024
242135_at	LOC100289097 /// LOC642236	2.091659
228038_at	SOX2	2.091039
232523_at	MEGF10	2.088581
203824_at	TSPAN8	2.085958
219564_at	KCNJ16	2.081835
1560698_a_at	LOC283392	2.08095
214254_at	MAGEA4	2.080882
227952_at		2.069879
207663_x_at	GAGE3	2.064872
243803_at	LOC643037	2.063428
205694_at	TYRP1	2.057269
215733_x_at	CTAG2	2.056144
235978_at	FABP4	2.051792
206228_at	PAX2	2.049798
1555253_at	COL25A1	2.039186
220004_at	DDX43	2.033563
209243_s_at	PEG3 /// ZIM2	2.032236
206280_at	CDH18	2.028825
216370_s_at	TKTL1	2.025441
1569878_at	CCNYL2	2.023213
216623_x_at	TOX3	2.02106
228598_at	DPP10	2.020064
1555778_a_at	POSTN	2.013968
232056_at	SCEL	2.012073
228285_at	TDRD9	2.011942
218468_s_at	GREM1	2.009714
1559316_at		2.008126
229294_at	JPH3	2.000996
228546_at	DPP6	1.998013
232535_at		1.997329
235059_at	RAB12	1.989138
229669_at	LOC440416	1.988565
220269_at	ZBBX	1.984739
205646_s_at	PAX6	1.984595
205725_at	SCGB1A1	1.983743
206811_at	ADCY8	1.977468
1568603_at	CADPS	1.97021
229542_at	C20orf85	1.968955
229554_at		1.9686
1561367_a_at		1.967189
215704_at	FLG	1.96351
239150_at	SNTN	1.959768
235557_at	GPAT2	1.95851
204712_at	WIF1	1.953784
243161_x_at	ZFP42	1.951035
206089_at	NELL1	1.947782
218469_at	GREM1	1.943262
219759_at	ERAP2	1.942969
241726_at		1.941489
230865_at	LIX1	1.935043
219249_s_at	FKBP10	1.922027
229151_at	SLC14A1	1.919833
1557155_a_at		1.918916
207039_at	CDKN2A	1.915419
205916_at	S100A7	1.913941
219873_at	COLEC11	1.912881
204915_s_at	SOX11	1.908043
1566842_at		1.90727
1555867_at	GNG4	1.906372
204548_at	STAR	1.90532
1559459_at	LOC613266	1.903014
205728_at	ODZ1	1.902304
