GO Function	Gene Name	Fold	Description
Lipid metabolism	ACADL	3.99390011	acyl-Coenzyme A dehydrogenase,
Nuclear factors	NFATC4	3.407424301	Nuclear factor of activated T cells
Cell adhesion	IGSF4B	3.038548726	Immunoglobulin superfamily, member 4B (IGSF4B)
Nitric oxide synthesis	DDAH1	2.757827471	Dimethylarginine dimethylaminohydrolase 1 (DDAH1)
Leukotriene receptors	LTB4R	2.700165769	Leukotriene B4 receptor (LTB4R)
Interferon	IRF2BP1	2.674316343	Interferon regulatory factor 2 binding protein 1 (IRF2BP1)
Cell cycle control	P2RY2	2.56513724	Purinergic receptor P2Y, G-protein coupled, 2 (P2RY2)
Cell cycle control	GPR125	2.374812665	G protein-coupled receptor 125 (GPR125)
Cell cycle control	CDC34	2.075649521	Cell division cycle 34 (CDC34)
Transmembrane proteins	TM4SF5	2.411321919	Transmembrane 4 L 6 family member 5 (TM4SF5)
Apoptosis	CLU	2.328540265	Clusterin (complement lysis inhibitor, SP-40, 40, sulfated glycoprotein 2, apolipoprotein J)
Tissue repair	HAS1	2.224098405	Hyaluronan synthase 1 (HAS1)
Organelle transport	DNAH3	2.182480674	Dynein, axonemal, heavy polypeptide 3 (DNAH3)
Organelle transport	PMP2	2.156847582	Peripheral myelin protein 2 (PMP2)
Protect genomic stability	TAOK1	2.147393554	TAO kinase 1 (TAOK1)
