miRNA	P	FDR	Ratio
hsa-miR-25	< 1e-07	< 1e-07	1.64
hsa-miR-106b	< 1e-07	< 1e-07	1.85
hsa-miR-93	< 1e-07	< 1e-07	1.49
hsa-miR-503	< 1e-07	< 1e-07	2.17
hsa-miR-18a	< 1e-07	< 1e-07	2.27
hsa-miR-224	1.00E-07	2.59E-06	3.85
hsa-miR-451	1.00E-07	2.59E-06	3.23
hsa-miR-18b	2.00E-07	4.60E-06	2.17
hsa-miR-17-5p	2.00E-06	3.60E-05	1.61
hsa-miR-486-5p	3.00E-06	5.18E-05	2.22
hsa-miR-144	9.60E-06	0.000159	5.56
hsa-miR-552	1.03E-05	0.000164	2.38
hsa-miR-425-5p	1.32E-05	0.000195	1.35
hsa-miR-92	1.88E-05	0.000268	1.39
hsa-miR-106a	2.61E-05	0.000347	1.52
hsa-miR-223	2.68E-05	0.000347	2.13
hsa-miR-205	2.98E-05	0.000363	4.76
hsa-miR-196b	4.42E-05	0.000508	1.67
hsa-miR-19a	0.0001836	0.00181	1.69
hsa-miR-191	0.0003112	0.0028	1.27
hsa-let-7i	0.0004468	0.00385	1.2
hsa-miR-185	0.0004764	0.00394	1.32
hsa-miR-769-5p	0.0006683	0.00532	1.37
hsa-miR-196a	0.0008274	0.00646	1.45
hsa-miR-301	0.0009715	0.00745	1.82
hsa-miR-21	0.0012598	0.00948	1.49
hsa-miR-130b	0.0015411	0.0112	1.3
hsa-miR-19b	0.0015959	0.0114	1.39
hsa-miR-424	0.0019249	0.0135	1.52
hsa-miR-484	0.0020451	0.0139	1.33
hsa-miR-767-5p	0.0048511	0.03	1.64
hsa-miR-183	0.0050428	0.0305	1.52
hsa-miR-210	0.0053848	0.0318	1.35
hsa-miR-302c	0.006328	0.0364	1.41
hsa-miR-520g	0.0070896	0.0402	2.13
hsa-miR-324-5p	0.0095742	0.0497	1.23
hsa-miR-103	0.0095861	0.0497	1.16
hsa-miR-376b	0.0096083	0.0497	1.85
hsa-miR-151	0.0100422	0.0513	1.2
hsa-miR-596	0.011231	0.0556	1.61
hsa-miR-545	0.011422	0.0556	1.69
hsa-miR-221	0.0129139	0.0608	1.27
hsa-miR-20a	0.0133176	0.0619	1.35
hsa-miR-181b	0.0148487	0.0655	1.28
hsa-miR-181d	0.0154891	0.0668	1.16
hsa-miR-623	0.0189476	0.0809	1.43
hsa-miR-519d	0.0220958	0.0915	1.59
hsa-miR-563	0.0229302	0.094	1.37
hsa-miR-505	0.0241657	0.097	1.25
hsa-miR-107	0.0242694	0.097	1.11
hsa-miR-320	0.0282982	0.111	1.2
hsa-miR-96	0.0285699	0.111	1.39
hsa-miR-339	0.0312524	0.12	1.32
hsa-miR-181a	0.0318141	0.121	1.2
hsa-miR-345	0.0322275	0.121	1.19
hsa-miR-20b	0.0325811	0.122	1.28
hsa-miR-33b	0.0339343	0.125	1.64
hsa-miR-135b	0.0352682	0.129	1.59
hsa-miR-431	0.0374687	0.134	1.41
hsa-miR-193a	0.0377098	0.134	1.35
hsa-miR-550	0.0380645	0.134	1.3
hsa-miR-565	0.0446875	0.15	1.2
