Probe_ID	Gene	Corrected p-value	Regulation
MYOD1_P50_F	MYOD1	2.68E-04	up
CCND2_P887_F	CCND2	0.003806429	up
ITPR3_E86_R	ITPR3	0.016176239	up
INSR_P1063_R	INSR	0.024452046	up
CPA4_E20_F	CPA4	0.03628352	down
IFNG_E293_F	IFNG	0.03628352	down
KRT1_P798_R	KRT1	0.03628352	down
PLA2G2A_P528_F	PLA2G2A	0.03628352	down
SERPINB2_P939_F	SERPINB2	0.03628352	down
TMPRSS4_P552_F	TMPRSS4	0.03628352	down
TNFSF10_P2_R	TNFSF10	0.03628352	down
WNT10B_P993_F	WNT10B	0.03628352	down
WNT8B_E487_F	WNT8B	0.03628352	down
ZNFN1A1_E102_F	ZNFN1A1	0.03628352	down
AREG_P217_R	AREG	0.03628352	up
BCR_P346_F	BCR	0.03628352	up
BCR_P422_F	BCR	0.03628352	up
BDNF_E19_R	BDNF	0.03628352	up
C4B_E171_F	C4B	0.03628352	up
CHI3L2_E10_F	CHI3L2	0.03628352	up
DDR2_P743_R	DDR2	0.03628352	up
EPHA1_P119_R	EPHA1	0.03628352	up
EPHX1_E152_F	EPHX1	0.03628352	up
GRB10_P496_R	GRB10	0.03628352	up
GRB7_E71_R	GRB7	0.03628352	up
HOXB2_P99_F	HOXB2	0.03628352	up
IGF2AS_P203_F	IGF2AS	0.03628352	up
IGFBP1_E48_R	IGFBP1	0.03628352	up
IGFBP1_P12_R	IGFBP1	0.03628352	up
IL16_P93_R	IL16	0.03628352	up
IL1RN_P93_R	IL1RN	0.03628352	up
IL6_P611_F	IL6	0.03628352	up
JAK3_E64_F	JAK3	0.03628352	up
KCNK4_E3_F	KCNK4	0.03628352	up
KCNK4_P171_R	KCNK4	0.03628352	up
KRT5_P308_F	KRT5	0.03628352	up
RIPK1_P744_R	RIPK1	0.03628352	up
TGFB3_E58_R	TGFB3	0.03628352	up
TGFBI_P173_F	TGFBI	0.03628352	up
TMEFF1_P626_R	TMEFF1	0.03628352	up
TNFRSF10C_E109_F	TNFRSF10C	0.03628352	up
TNFRSF10C_P7_F	TNFRSF10C	0.03628352	up
TNK1_P221_F	TNK1	0.03628352	up
TNK1_P41_R	TNK1	0.03628352	up
UGT1A1_P315_R	UGT1A1	0.03628352	up
UGT1A1_P564_R	UGT1A1	0.03628352	up
VAMP8_E7_F	VAMP8	0.03628352	up
VAMP8_P114_F	VAMP8	0.03628352	up
VAMP8_P241_F	VAMP8	0.03628352	up
WRN_P969_F	WRN	0.03628352	up
AATK_P709_R	AATK	0.03841682	down
APOA1_P261_F	APOA1	0.03841682	down
CD81_P211_F	CD81	0.03841682	down
HOXA5_P479_F	HOXA5	0.03841682	down
KIAA0125_E29_F	KIAA0125	0.03841682	down
MXI1_P1269_F	MXI1	0.03841682	down
CASP10_E139_F	CASP10	0.03841682	up
DDR2_E331_F	DDR2	0.03841682	up
ICAM1_P386_R	ICAM1	0.03841682	up
LIG3_P622_R	LIG3	0.03841682	up
PMP22_P975_F	PMP22	0.03841682	up
PTPN6_E171_R	PTPN6	0.03841682	up
STAT5A_E42_F	STAT5A	0.03841682	up
HCK_P858_F	HCK	0.040562134	down
ALOX12_E85_R	ALOX12	0.040562134	up
DNAJC15_P65_F	DNAJC15	0.040562134	up
FRZB_E186_R	FRZB	0.040562134	up
ICA1_P72_R	ICA1	0.040562134	up
ITPR2_P804_F	ITPR2	0.040562134	up
MAP2K6_P297_R	MAP2K6	0.040562134	up
MC2R_P1025_F	MC2R	0.040562134	up
SFN_P248_F	SFN	0.040562134	up
SNCG_E119_F	SNCG	0.040562134	up
TNFRSF10A_P171_F	TNFRSF10A	0.040562134	up
TRIM29_E189_F	TRIM29	0.040562134	up
B3GALT5_E246_R	B3GALT5	0.04308039	up
CAPG_E228_F	CAPG	0.04308039	up
CASP10_P334_F	CASP10	0.04308039	up
IRAK3_E130_F	IRAK3	0.04308039	up
OSM_P34_F	OSM	0.04308039	up
PLSCR3_P751_R	PLSCR3	0.04308039	up
PPARG_P693_F	PPARG	0.04308039	up
PRKCDBP_E206_F	PRKCDBP	0.04308039	up
RAB32_P493_R	RAB32	0.04308039	up
SEPT9_P374_F	SEPT9	0.04308039	up
ZNF264_P397_F	ZNF264	0.04308039	up
CCKAR_E79_F	CCKAR	0.04733884	up
HLA-DPA1_P205_R	HLA-DPA1	0.04733884	up
IRAK3_P13_F	IRAK3	0.04733884	up
MAP3K1_E81_F	MAP3K1	0.04733884	up
PRKCDBP_P352_R	PRKCDBP	0.04733884	up
EMR3_P39_R	EMR3	0.047573082	down
GPR116_E328_R	GPR116	0.047573082	down
PRSS1_E45_R	PRSS1	0.047573082	down
PTHR1_P258_F	PTHR1	0.047573082	down
ELK3_P514_F	ELK3	0.047573082	up
EPHX1_P1358_R	EPHX1	0.047573082	up
EPHX1_P22_F	EPHX1	0.047573082	up
EPS8_P437_F	EPS8	0.047573082	up
GSTM2_P453_R	GSTM2	0.047573082	up
PODXL_P1341_R	PODXL	0.047573082	up
