CloneID	UniGene ClusterID	Gene Symbol	Gene Name	Fold(E13/E18)
H3118A03	Mm.35830	Hbb-y; Hbb-y; Ey	hemoglobin Y, beta-like embryonic chain	10.18
H3117D07	Mm.3195	Hsd17b4; Hsd17b4; MFE-2; Mfp-2; perMFE-2; 17[b]-HSD	hydroxysteroid (17-beta) dehydrogenase 4	9.38
H3114C04	Mm.164156		ESTs	8.38
H3114F12	NA			6.71
H3114F06	Mm.906	Mdk; Mdk; MK; Mek	midkine	5.7
H3125A02	Mm.259177	6720475J19Rik	RIKEN cDNA 6720475J19 gene	4.92
538293	Mm.100378	9930105H17Rik	RIKEN cDNA 9930105H17 gene	4.84
H3040E06	Mm.3953	Hmga2; Hmga2; pg; Hmgic; pygmy; HMGI-C; 9430083A20Rik	high mobility group AT-hook 2	4.15
H3123F12	NA			4.03
H3115G09	Mm.141758	Hba-x	hemoglobin X, alpha-like embryonic chain in Hba complex	3.93
582549	Mm.29002	Cdyl	chromodomain protein, Y chromosome-like	3.54
660182	Mm.30534	4930584N22Rik; 4930584N22Rik; 4933424D16Rik	RIKEN cDNA 4930584N22 gene	3.43
H3032E09	Mm.88572	1810020G14Rik; 1810020G14Rik; 1810055I05Rik	RIKEN cDNA 1810020G14 gene	3.15
H3099E06	Mm.173975		ESTs, Weakly similar to RIKEN cDNA 6720475J19 [Mus musculus] [M.musculus]	3.11
H3126H08	Mm.31525	1110007C02Rik	RIKEN cDNA 1110007C02 gene	3.03
H3025D01	Mm.14768	Rex3; Rex3; Bex1	reduced expression 3	2.9
GKP2-171	Mm.140956	Nnat; Nnat; Peg5	neuronatin	2.86
H3114D07	Mm.6238	Sox11	Mus musculus 15 days embryo head cDNA, RIKEN full-length enriched library, clone:D930017C08 product:SRY-box containing gene 11, full insert sequence.	2.79
H3135G01	Mm.31436	Mrg1; Mrg1; Meis2; Stra10; A430109D20Rik	myeloid ecotropic viral integration site-related gene 1	2.67
H3017G02	Mm.3797	Nap1l1; Nap1l1; NAP-1	nucleosome assembly protein 1-like 1	2.56
H3019C07	Mm.2326	Mif; Mif; GIF; Glif	macrophage migration inhibitory factor	2.52
H3147D06	Mm.6839	Cdk4; Cdk4; Crk3	cyclin-dependent kinase 4	2.5
316656	Mm.94160	Bex2	brain expressed X-linked 2	2.41
H3046D12	Mm.172822		Mus musculus 7 days embryo whole body cDNA, RIKEN full-length enriched library, clone:C430015A10 product:hypothetical Lysine-rich region containing protein, full insert sequence	2.41
H3103B03	Mm.7516	Nasp; Nasp; Epcs32; 5033430J04Rik	nuclear autoantigenic sperm protein (histone-binding)	2.4
H3106E12	Mm.4909	Cbfa2t1h; Cbfa2t1h; ETO; MTG8	CBFA2T1 identified gene homolog (human)	2.3
H3116E09	Mm.46719	4933432H23Rik	RIKEN cDNA 4933432H23 gene	2.25
H3126E12	Mm.204	2610042L04Rik	RIKEN cDNA 2610042L04 gene	2.24
H3153D07	Mm.90787	Ngfrap1; Ngfrap1; Bex3; Nade; DXWsu67e	nerve growth factor receptor (TNFRSF16) associated protein 1	2.23
H3159D03	Mm.56167	Prkcn; Prkcn; MGC47171; 4930557O20Rik; 5730497N19Rik	protein kinase C, nu	2.2
H3089F12	Mm.18789	Sox4; Sox4; Sox-4	SRY-box containing gene 4	2.2
H3127B04	Mm.259293	2700094K13Rik	RIKEN cDNA 2700094K13 gene	2.2
618905	Mm.6343	Npm1; Npm1; B23; NO38	nucleophosmin 1	2.19
H3129A02	Mm.7398	5730599O09Rik; 5730599O09Rik; 4921501K24	RIKEN cDNA 5730599O09 gene	2.19
H3111H12	Mm.27927	Hnrpa1; Hnrpa1; hnrnp-A	heterogeneous nuclear ribonucleoprotein A1	2.13
H3027E01	Mm.916	H2afz; H2afz; H2A.Z	H2A histone family, member Z	2.13
H3008G03	Mm.2246	Psmb7; Psmb7; MC14	proteasome (prosome, macropain) subunit, beta type 7	2.1
H3136A01	Mm.4394	Kit; Kit; W; Bs; Fdc; Ssm; CD117; c-KIT; Tr-kit	kit oncogene	2.1
H3024C06	Mm.18637	Tera-pending	teratocarcinoma expressed, serine rich	2.09
H3050B10	Mm.27768	6330403K07Rik; 6330403K07Rik; UGS148; AI415455	RIKEN cDNA 6330403K07 gene	2.07
335128	Mm.22398	Jag1; Jag1; Htu; Ser-1; slalom; Serrate-1; Headturner	jagged 1	2.02
H3011C05	NA			2.02
580193	Mm.7952	Peg3; Peg3; Pw1; Zfp102	paternally expressed 3	1.99
H3042H05	Mm.98	Psmb6; Psmb6; Mpnd; Lmp19	proteasome (prosome, macropain) subunit, beta type 6	1.99
H3154A03	Mm.7521	Ran	RAN, member RAS oncogene family	1.98
H3028C07	Mm.22515	Gpc3; Gpc3; OCI-5	glypican 3	1.88
H3016C07	Mm.2769	Mlp; Mlp; F52; Mrp; D4Bc1; Macs2; Macs3; Macs-2; Macs-3; MacMARCKS	MARCKS-like protein	1.87
H3012D09	Mm.29898	2410015N17Rik	RIKEN cDNA 2410015N17 gene	1.81
H3024E09	NA			1.77
