Currated Gene Symbol	Coded protein (Gene name)	Ctrl	rKGF1	SCC/normal2
HAS2	Hyaluronan synthase 2 (HAS2)	1	2.2	,
VIM	Vimentin (VIM)	1	1.6	23.5
LPXN	Leupaxin (LPXN)	1	1.7	,
ADD2	Adducin 2 (beta), transcript variant beta-4 (ADD2)	1	1.5	3.7
ANTXR2	Anthrax toxin receptor 2 (ANTXR2)	1	2.2	22.3
TFPI2	Tissue factor pathway inhibitor 2 (TFPI2)	1	2	23.4
MAG1	Lung cancer metastasis-associated protein (MAG1, AGPAT9)	1	1.9	,
LOC390345	Homo sapiens hypothetical LOC390345	1	1.8	1.7
AGR2	Arginase, type 2 (AGR2)	1	1.8	21.8
CD73	59-nucleotidase, ecto (CD73, NT5E)	1	1.8	,
ANKRD22	Ankyrin repeat domain 22 (ANKRD22)	1	1.8	23.4
MYEOV	Myeloma overexpressed (MYEOV)	1	1.7	2.1
SH3TC2	SH3 domain and tetratricopeptide repeats 2 (SH3TC2)	1	1.6	,
HS3ST1	Heparan sulfate glucosamine 3-O-sulfotransferase 1 (HS3ST1)	1	1.6	,
ODC1	Ornithine decarboxylase 1 (ODC1)	1	1.6	22.9
DCBLD2	Discoidin, CUB and LCCL domain containing 2 (DCBLD2)	1	1.6	,
SEMA3A	Semaphorin 3A (SEMA3A)	1	1.5	3.3
CES1	Carboxylesterase 1 (CES1)	1	1.5	22
ABCA13	ATP-binding cassette, sub-family A , member 13 (ABCA13)	1	1.5	2.6
DUSP6	Dual specificity phosphatase 6 (DUSP6)	1	2.1	,
ETV5	Ets variant gene 5 (ETV5)	1	2	22.1
ETV4	Ets variant gene 4 (ETV4)	1	1.8	21.8
HBEGF	Heparin-binding EGF-like growth factor (HBEGF)	1	1.8	21.5
SPRY4	Sprouty homolog 4 (SPRY4)	1	1.7	22.7
GRK5	G protein-coupled receptor kinase 5 (GRK5)	1	1.6	2
HMGA2	High mobility group AT-hook 2 (HMGA2)	1	1.6	22.7
GPR153	G protein-coupled receptor 153 (GPR153)	1	1.6	,
DUSP4	Dual specificity phosphatase 4 (DUSP4)	1	1.6	25.4
LRIG1	Leucine-rich repeats and immunoglobulin-like domains 1 (LRIG1)	1	1.5	,
FST	Follistatin, transcript variant FST317 (FST)	1	1.5	,
FOXA2	Forkhead box A2 (FOXA2)	1	1.5	,
IER3	Immediate early response 3 (IER3)	1	1.6	22.2
TRIB2	Tribbles homolog 2 (TRIB2)	1	1.6	,
PHLDA1	Pleckstrin homology-like domain, family A, member 1 (PHLDA1)	1	1.5	,
