Genes	Probe ID	Symbol	Regulation profile and fold change ratio 147A	Regulation profile and fold change ratio 147C
Snail homolog 2 (Drosophila)	8150698	SNAI2 (Slug)	3.22	4.19
Snail homolog 3 (Drosophila)	8003344	SNAI3	1.66	1.36
Zinc finger E-box binding homeobox 1	7926916	ZEB1	2.74	4.13
Zinc finger E-box binding homeobox 2	8055624	ZEB2	2.78	3.62
Epididymal sperm binding protein 1	8029988	ELSPBP1(E12)	2.44	4.79
TWIST neighbor	8138454	TWISTNB	0.28	0.33
Twist homolog 1	8138442	TWIST1	1.94	2.78
Transforming growth factor beta 1 induced transcript 1	7995206	TGFB1I1	2.39	2.4
Transforming growth factor, beta-induced (68 kDa)	8108217	TGFBI	1.31	1.83
Transforming growth factor, beta 2	7909789	TGFB2	2.34	3.32
SMAD family member 2	8023195	SMAD2	0.31	0.2
SMAD family member 4	8021228	SMAD4	0.28	0.19
SMAD family member 5	8108238	SMAD5	0.38	0.16
SMAD family member 5 opposite strand	8114270	SMAD5OS	2.59	4.05
SMAD family member 9	7971015	SMAD9	2.11	2.88
Lymphoid enhancer-binding factor 1	8102232	LEF1	3.27	4.86
Adenomatosis polyposis coli 2	8024306	APC2	1.64	2.13
Adenomatosis polyposis coli down-regulated 1-like	8067270	APCDD1L	1.91	2.11
Adenomatosis polyposis coli down-regulated 1	8020141	APCDD1	1.79	2.11
Glycogen synthase kinase 3 alpha	8037152	GSK3A	0.6	0.49
Glycogen synthase kinase 3 beta	8089801	GSK3B	0.77	0.21
Axin 2 (conductin, axil)	8017718	AXIN2	0.41	0.16
Catenin, beta like 1	8062409	CTNNBL1	0.3	0.26
Catenin (cadherin-associated protein), beta 1 (88 kDa)	8079021	CTNNB1	0.23	0.05
GLI pathogenesis-related 1 like 2	7957253	GLIPR1L2	3.91	7.19
GLI pathogenesis-related 1 like 1	7957245	GLIPR1L1	3.63	6.37
GLI-Kruppel family member GLI3	8139212	GLI3	2.48	3.79
Glioma-associated oncogene homolog 1 GLI pathogenesis-related 1	7956430	GLI1	2.22	3.32
(Glioma)	7957260	GLIPR1	1.17	1.91
Cripto, FRL-1, cryptic family 1	8055239	CFC1	3.66	5.26
Cadherin 12, type 2 (N-cadherin 2)	8111234	CDH12	2.15	3.83
Cadherin 11, type 2, OB-cadherin (osteoblast)	8001800	CDH11	1.47	1.79
Vimentin	7926368	VIM	1.64	2.64
Transcription factor 4	8023415	TCF4	1.57	2.37
Forkhead box C2 (MFH-1, mesenchyme forkhead 1)	7997733	FOXC2	3.72	3.74
Tight junction protein 2 (zona occludens 2)	8155707	TJP2	0.42	0.15
Desmoplakin	8116780	DSP	0.94	0.12
fibronectin type III domain containing 1	8123104	FNDC1	2.09	2.57
Fibronectin type III domain containing 4	8051187	FNDC4	2.31	3.22
fibronectin type III domain containing 5	7914580	FNDC5	2.06	2.81
Fibronectin type III domain containing 7	7903530	FNDC7	2.68	4.43
Fibronectin type III domain containing 8	8006504	FNDC8	2.4	3.93
Fibronectin 1	8058765	FN1	2.07	3.1
Ankyrin-repeat and fibronectin type III domain containing 1	8008609	ANKFN1	2.26	3.38
Leucine rich repeat and fibronectin type III domain containing 5	7974109	LRFN5	2.53	3.52
Extracellular leucine-rich repeat and fibronectin type III containing 2	8075921	ELFN2	2.6	2.94
EGF-like, fibronectin type III and laminin G domains	8105013	EGFLAM	2.66	4.08
Fibronectin leucine rich transmembrane protein 2	7976073	FLRT2	2.97	4.63
