Probe Set ID	Gene Title	Gene Symbol	p-value	FC Absolute	Function
238882_at			0.024	2.57	Cytoskeleton
224212_s_at	protocadherin alpha 1	PCDHA1	0.009	2.14	Cell membrane
224212_s_at	protocadherin alpha 10	PCDHA10	0.009	2.14	Cell membrane
224212_s_at	protocadherin alpha 11	PCDHA11	0.009	2.14	Cell membrane
224212_s_at	protocadherin alpha 12	PCDHA12	0.009	2.14	Cell membrane
224212_s_at	protocadherin alpha 13	PCDHA13	0.009	2.14	Cell membrane
224212_s_at	protocadherin alpha 2	PCDHA2	0.009	2.14	Cell membrane
224212_s_at	protocadherin alpha 3	PCDHA3	0.009	2.14	Cell membrane
224212_s_at	protocadherin alpha 4	PCDHA4	0.009	2.14	Cell membrane
224212_s_at	protocadherin alpha 5	PCDHA5	0.009	2.14	Cell membrane
224212_s_at	protocadherin alpha 6	PCDHA6	0.009	2.14	Cell membrane
224212_s_at	protocadherin alpha 7	PCDHA7	0.009	2.14	Cell membrane
224212_s_at	protocadherin alpha 8	PCDHA8	0.009	2.14	Cell membrane
224212_s_at	protocadherin alpha 9	PCDHA9	0.009	2.14	Cell membrane
224212_s_at	protocadherin alpha subfamily C, 1	PCDHAC1	0.009	2.14	Cell membrane
224212_s_at	protocadherin alpha subfamily C, 2	PCDHAC2	0.009	2.14	Cell membrane
221255_s_at	transmembrane protein 93	TMEM93	0.038	-2.06	Cell membrane
241916_at			0.026	2.02	Cell membrane
1562290_at			0.02	2.99	Cell communication
215314_at			0.036	2.24	Cell communication
1563467_at			0.018	3.62	Cell cycle
232865_at		AFF4	0.049	2.85	Transcription
205022_s_at		FOXN3	0.029	2.02	Transcription
1557300_s_at			0.002	2.22	Transcription
218673_s_at		ATG7	0.026	-2.04	Ubiquitin-mediated proteolysis
222578_s_at		UBA5	0.016	-2.08	Ubiquitin-mediated proteolysis
236370_at			0.033	2.21	Ubiquitin-mediated proteolysis
239348_at			0.041	2.12	Ubiquitin-mediated proteolysis
203202_at	KRR1, small subunit (SSU) processome component, homolog (yeast)	KRR1	0.017	-2.06	Miscellaneous
233539_at	N-acyl phosphatidylethanolamine phospholipase D	NAPEPLD	0.026	2	Miscellaneous
208383_s_at	phosphoenolpyruvate carboxykinase 1 (soluble)	PCK1	0.024	2.24	Miscellaneous
237107_at	similar to protein kinase, interferon-inducible double stranded RNA dependent activator /// protein kinase, interferon-inducible double stranded RNA dependent activator	PRKRA /// PRKRAP1	0.025	-2.01	Miscellaneous
212027_at	RNA binding motif protein 25	RBM25	0.01	3.5	Miscellaneous
239493_at	ribosomal protein L7	RPL7	0.023	-2.03	Miscellaneous
222789_at	round spermatid basic protein 1	RSBN1	0.009	-2.06	Miscellaneous
228617_at	XIAP associated factor 1	XAF1	0.049	2.09	Miscellaneous
1558854_a_at			0.003	2.53	Miscellaneous
228818_at			0.038	2.12	Miscellaneous
235570_at			0.001	-2.18	Miscellaneous
239264_at			0.014	2.59	Miscellaneous
241786_at			0.045	2.38	Miscellaneous
241903_at			0.022	2.38	Miscellaneous
244187_at			0.015	3	Miscellaneous
214055_x_at	BAT2 domain containing 1	BAT2D1	0.006	2.42	Unknown
232439_at			0.044	3.05	Unknown
232527_at			0.047	2.32	Unknown
233271_at			0.018	2.34	Unknown
237110_at			0.022	2.66	Unknown
240112_at			0.036	2.72	Unknown
242664_at			0.049	2.45	Unknown
