Curated Gene Symbol	Gene Symbol	Description	Fold Change	p-value
ZNF415	ZNF415	Zinc finger protein 415	10.411	0.0000596
BIRC3	BIRC3	Baculoviral IAP repeat-containing 3	9.628	0.00313
C15orf48	NMES1	Normal mucosa of esophagus specific 1	9.509	0.0143
		Transcribed locus	9.431	0.000135
DYNC1I2	DNCI2	Dynein, cytoplasmic, intermediate polypeptide 2	7.322	0.000000594
EGR3	EGR3	Early growth response 3	7.059	0.00523
GPNMB	GPNMB	Glycoprotein (transmembrane) nmb	7.044	0.00058
ZNF506	ZNF506	zinc finger protein 506	7.005	8.66E-10
MICB	MICB	MHC class I polypeptide-related sequence B	6.998	0.000123
EMP2	EMP2	epithelial membrane protein 2	6.809	0.00628
