Probeset	Symbol	Refseq	mean frozen	mean fresh	FC	pvalue	diff
4390242	LOC728358	XM_001127929	43.41	1201.97	-27.69	0.0081	1158.56
3310091	LOC728358	XM_001127929	39.83	1030.55	-25.87	0.01	990.71
360554	HBA1		679.94	12863.94	-18.92	0	12184.01
1090427	LOC728358	XM_001127929	42.2	448.9	-10.64	0.016	406.7
7380615	CLC	NM_001828	51.05	506.32	-9.92	0	455.26
5340674	HBB		1702.97	13286.75	-7.8	0	11583.78
4150187	HBG1		91.55	471.9	-5.15	0.0018	380.36
6400079	HBG2		96.99	454.9	-4.69	0.0018	357.91
6250037	HBD		63.02	265.47	-4.21	0.0011	202.44
1780537	NRGN	NM_006176	399.7	1306.9	-3.27	0	907.2
1990224	LOC613037		204.25	543.71	-2.66	0	339.46
7210497	GP1BB	NM_000407	1653.99	4384.39	-2.65	0	2730.39
2940020	LOC440345	XR_015786	1777.83	4258.2	-2.4	0	2480.37
7570110	APBB3	NM_006051	250.41	581.06	-2.32	0	330.65
1340228	ACRBP	NM_032489	170.44	382.62	-2.24	1.00E-04	212.18
6520594	ARHGDIA	NM_004309	534.63	1192.82	-2.23	0	658.19
6960554	LCN2	NM_005564	94.98	211.66	-2.23	0	116.69
20452	IRF3	NM_001571	148.94	328.82	-2.21	0	179.88
4890192	HIST1H2AC		117.65	259.36	-2.2	0	141.71
3420630	MAP4K1	NM_001042600	400.88	878.56	-2.19	0	477.68
4060066	ITGA2B	NM_000419	737.33	1603.19	-2.17	0.001	865.86
6270041	XAB2	NM_020196	233.45	498.15	-2.13	0	264.7
7330092	TNK2	NM_001010938	490.2	1039.22	-2.12	0	549.01
1770075	LOC728888	XR_015889	745.64	1541.06	-2.07	0	795.42
4540221	C19orf22	NM_138774	460.95	951.85	-2.06	0	490.9
2450112	CDK5RAP3	NM_025197	469.62	953.56	-2.03	0	483.94
2900386	WBP2	NM_012478	1044.02	2121.84	-2.03	0	1077.82
3420128	GP9	NM_000174	579.67	1177.74	-2.03	0	598.07
3610202	SH3BGRL2	NM_031469	152.81	308.98	-2.02	0	156.17
60673	MLF2	NM_005439	101.64	204.35	-2.01	0	102.71
770615	OSBPL7	NM_017731	126.77	254.53	-2.01	0	127.76
5260204	TBC1D10C	NM_198517	839.66	1691.35	-2.01	0	851.69
6020438	PLCB2	NM_004573	334.57	671.89	-2.01	0	337.32
6550390	DGKA	NM_001345	242.67	488.05	-2.01	0	245.38
6770619	RNPS1	NM_006711	276.94	556.28	-2.01	0	279.34
2900474	HLA-H		649.01	1294.79	-2	0.0027	645.78
3170768	NA	NA	383.18	760.81	-1.99	6.00E-04	377.63
2000482	C21orf7	NM_020152	599.93	1188.89	-1.98	0	588.96
4480736	PI4KB	NM_002651	179.69	355.21	-1.98	0	175.52
2630451	HIST2H2BE	NM_003528	137.16	269.8	-1.97	0	132.64
1410474	PILRB	NM_013440	286.53	560.99	-1.96	0	274.47
5820039	TMEM112B	NM_033200	123.76	242.83	-1.96	0	119.07
1780523	NA	NA	193.57	377.97	-1.95	0	184.4
3930382	STXBP2	NM_006949	788.13	1533.99	-1.95	0	745.87
4010398	NA	NA	170.57	328.21	-1.92	0	157.64
830452	SAFB2	NM_014649	198.94	380.52	-1.91	0	181.58
2350358	BCL2L1	NM_001191	169.87	324.92	-1.91	0	155.05
7200367	GNG11	NM_004126	793.19	1514.45	-1.91	0	721.26
5260520	SYTL1	NM_032872	121.11	230.61	-1.9	0	109.5
1110228	SNCA	NM_000345	208.04	392.05	-1.88	0	184.01
6180324	COPE	NM_007263	269.6	506.32	-1.88	0	236.72
430324	PTOV1	NM_017432	246.72	460.99	-1.87	0	214.27
3780209	PDLIM1	NM_020992	132.56	247.38	-1.87	0	114.82
610082	GDI1	NM_001493	146.94	273.25	-1.86	0	126.31
1240403	HK3	NM_002115	356.24	662.56	-1.86	0	306.32
1340598	SLC25A39	NM_016016	296.36	548.56	-1.85	0	252.19
2710762	MYO1G	NM_033054	602.09	1114.72	-1.85	0	512.62
3290133	LOC731986	XR_015678	141.38	261.47	-1.85	0	120.09
3390242	CTDSP1	NM_021198	297.18	551.22	-1.85	0	254.04
3780022	RASGRP2	NM_005825	374.55	692.72	-1.85	0	318.17
5090504	SRRM2	NM_016333	811.79	1504.72	-1.85	0	692.93
4560348	DOK2	NM_003974	278.68	512.07	-1.84	0	233.4
4150348	GPSN2	XM_001132190	321.95	588.26	-1.83	0	266.3
270047	NA	NA	298.57	542.68	-1.82	0	244.11
2030427	FAM3A	NM_021806	300.89	548.28	-1.82	0	247.39
3180682	FAM100B	NM_182565	523.35	953.14	-1.82	0	429.79
5090487	ACADVL	NM_000018	773.53	1410.61	-1.82	0	637.07
5720021	IL8RBP	NR_002712	182.78	333.5	-1.82	0	150.72
7160088	CENPT	NM_025082	187.72	339.59	-1.81	0	151.87
290452	TPM2	NM_003289	146.53	263.03	-1.8	0	116.5
940278	ILK	NM_001014794	248.9	447.97	-1.8	0	199.07
2640347	LOC647000	XM_929980	185.12	333.05	-1.8	0	147.93
2650079	ACTB	NM_001101	989.64	1778.05	-1.8	0	788.4
4290066	SPI1	NM_001080547	575.71	1038.86	-1.8	0	463.16
20332	SH3BP1	NM_018957	177.69	318.29	-1.79	0	140.6
360671	MMD	NM_012329	433.06	776.98	-1.79	0	343.92
1070088	FLAD1	NM_025207	191.07	341.66	-1.79	0	150.6
