CloneID	Symbol	Gene name	Fold (PBC1UDCA/PBC)	Adj P-values	Category
5770181	CNP	20,30-cyclic nucleotide 30 phosphodiesterase	2.60	0.022	Upregulatedgenes
134343	TncRNA	Trophoblast-derived noncoding RNA	2.18	0.019	Upregulatedgenes
109912	CHES1	Checkpoint suppressor 1	1.65	0.018	Upregulatedgenes
416944	NS5ATP13TP2	EST	1.51	0.016	Upregulatedgenes
5809010	SUI1	Putative translation initiation factor	0.66		Upregulatedgenes
5931188	CCT3	Chaperonin containing TCP1, subunit 3 (gamma)	0.66	0.022	Downregulatedgenes
252811	STK3	Serine/threonine kinase 3 (STE20 homologue, yeast)	0.65	0.002	Downregulatedgenes
347096	AP2M1	Adaptor-related protein complex 2, mu 1 subunit	0.65	0.005	Downregulatedgenes
238578	RPS28	similar to 40S ribosomal protein S28	0.65	0.016	Downregulatedgenes
428340	DHX9	DEAH (Asp-Glu-Ala-His) box polypeptide 9	0.64	0.023	Downregulatedgenes
4862574	IMPDH2	IMP (inosine monophosphate) dehydrogenase 2	0.64	0.009	Downregulatedgenes
5539452	KIAA0379	EST	0.64	0.002	Downregulatedgenes
270616	RRAGD	Ras-related GTP binding D	0.64	0.023	Downregulatedgenes
274227	FGG	Fibrinogen, gamma polypeptide	0.64	0.005	Downregulatedgenes
3546201	RPL10	Ribosomal protein L10	0.64	0.002	Downregulatedgenes
281852	RPL39L	Ribosomal protein L39-like	0.64	0.008	Downregulatedgenes
323854	SPRY4	Sprouty homologue 4 (Drosophila)	0.62	0.020	Downregulatedgenes
324999	GARS	Glycyl-tRNA synthetase	0.61	0.012	Downregulatedgenes
206375	NOLA3	Nucleolar protein family A, member 3 (H/ACA small nucleolar RNPs)	0.61	0.012	Downregulatedgenes
299081	RPLP2	Ribosomal protein, large P2	0.61	0.013	Downregulatedgenes
300916	RPL35A	Ribosomal protein L35a	0.60	0.025	Downregulatedgenes
5455241	SLC25A5	Solute carrier family 25 (mitochondrial carrier	0.60	0.013	Downregulatedgenes
324242	FAM35A	Family with sequence similarity 35, member A	0.59	0.013	Downregulatedgenes
280586	ESTP1L1	Nucleosome assembly protein 1-like 1	0.59	0.007	Downregulatedgenes
279253	WDR33	WD repeat domain 33	0.58	0.005	Downregulatedgenes
4767667	LOC158267	Hypothetical protein LOC158267	0.58	0.017	Downregulatedgenes
491155	RPL27	Ribosomal protein L27	0.58	0.016	Downregulatedgenes
5494320	HSPCA	Heat shock 90 kDa protein 1, a	0.58	0.023	Downregulatedgenes
4762963	RPS13	Ribosomal protein S13	0.57	0.007	Downregulatedgenes
4767928	FGL1	Fibrinogen-like 1	0.56	0.005	Downregulatedgenes
5711508	NSEP1	Nuclease sensitive element binding protein 1	0.56	0.026	Downregulatedgenes
122814	CSE1L	CSE1 chromosome segregation 1-like (yeast)	0.55	0.015	Downregulatedgenes
5735454	RHOBTB3	Rho-related BTB domain containing 3	0.55	0.003	Downregulatedgenes
4300428	RPL9	Ribosomal protein L9	0.52	0.015	Downregulatedgenes
309685	LRRFIP2	Leucine rich repeat (in FLII) interacting protein 2	0.52	0.020	Downregulatedgenes
202665	C4BPA	Complement component 4 binding protein, a	0.50	0.016	Downregulatedgenes
5555400	LOC117584	Hypothetical gene supported by AK092922	0.34	0.002	Downregulatedgenes
163466	MBP	Myelin basic protein	0.23	0.003	Downregulatedgenes
