Curated Gene Symbol	Probe Set ID	Gene Title	Gene Symbol	p-value	FC Absolute	Function
ABHD12	228124_at	abhydrolase domain containing 12	ABHD12	0.026	-2.28	Alternative splicing
BEND4	230896_at	BEN domain containing 4	BEND4	0.046	-2.39	Alternative splicing
CIZ1	205516_x_at	CDKN1A interacting zinc finger protein 1	CIZ1	0.001	-2.43	Alternative splicing
DDO	222134_at	D-aspartate oxidase	DDO	0.013	2.14	Alternative splicing
DOK5	1554863_s_at	docking protein 5	DOK5	0.018	-2.07	Alternative splicing
FADS2	202218_s_at	fatty acid desaturase 2	FADS2	0.019	-2.03	Alternative splicing
FAM107A	207547_s_at	family with sequence similarity 107, member A	FAM107A	0.038	-4.7	Alternative splicing
GLYATL1	1562089_at	glycine-N-acyltransferase-like 1	GLYATL1	0.023	2.13	Alternative splicing
HMGCR	202539_s_at	3-hydroxy-3-methylglutaryl-Coenzyme A reductase	HMGCR	0.034	-2.3	Alternative splicing
HNRNPM	214918_at	heterogeneous nuclear ribonucleoprotein M	HNRNPM	0.01	2.05	Alternative splicing
RNF111	218761_at	ring finger protein 111	RNF111	0.026	-2.61	Alternative splicing
VCAN	221731_x_at	versican	VCAN	0.047	-2.3	Alternative splicing
WTAP	210285_x_at	Wilms tumor 1 associated protein	WTAP	0.03	2.15	Alternative splicing
	1560214_at			0.012	-2.35	Alternative splicing
	238589_s_at			0.033	2.15	Alternative splicing
ABL2	231907_at	v-abl Abelson murine leukemia viral oncogene homolog 2 (arg, Abelson-related gene)	ABL2	0.001	-4	Cytoskeleton
COL3A1	232458_at	Collagen, type III, alpha 1	COL3A1	0.01	2.42	Cytoskeleton
GFAP	203540_at	glial fibrillary acidic protein	GFAP	0.026	-10.6	Cytoskeleton
KIF9	228429_x_at	kinesin family member 9	KIF9	0.03	-2.02	Cytoskeleton
KLHL20	204177_s_at	kelch-like 20 (Drosophila)	KLHL20	0.038	2.42	Cytoskeleton
ADRA1B	207589_at	adrenergic, alpha-1B-, receptor	ADRA1B	0.009	-2.59	Cell membrane
COPB1	233308_at	Coatomer protein complex, subunit beta 1	COPB1	0.03	2.15	Cell membrane
HS3ST3B1	1561908_a_at	Heparan sulfate (glucosamine) 3-O-sulfotransferase 3B1	HS3ST3B1	0.05	2.12	Cell membrane
MAGI2	237786_at	Membrane associated guanylate kinase, WW and PDZ domain containing 2	MAGI2	0.016	-2.12	Cell membrane
NOMO1	242922_at	NODAL modulator 1	NOMO1	0.033	2.28	Cell membrane
NOMO2	242922_at	NODAL modulator 2	NOMO2	0.033	2.28	Cell membrane
NOMO3	242922_at	NODAL modulator 3	NOMO3	0.033	2.28	Cell membrane
PCDHB18	234479_at	protocadherin beta 18 pseudogene	PCDHB18	0.014	-2.51	Cell membrane
PVR	216283_s_at	poliovirus receptor	PVR	0.029	-2.29	Cell membrane
VIMP	223209_s_at	selenoprotein S	SELS	0.019	-2.13	Cell membrane
SLC25A26	225862_at	solute carrier family 25, member 26	SLC25A26	0.046	-2.19	Cell membrane
TM9SF1	238948_at	Transmembrane 9 superfamily member 1	TM9SF1	0.049	2.28	Cell membrane
	1560999_a_at			0.025	3.19	Cell membrane
	1562611_at			0.035	2.01	Cell membrane
	1564004_at			0.036	2.32	Cell membrane
	234148_at			0.042	2.37	Cell membrane
ARL17B	1554245_x_at	ADP-ribosylation factor-like 17	ARL17	0.025	-2.36	Cell signalling
ARL17A	1554245_x_at	ADP-ribosylation factor-like 17 pseudogene 1	ARL17P1	0.025	-2.36	Cell signalling
CACNG5	221401_at	calcium channel, voltage-dependent, gamma subunit 5	CACNG5	0.032	-4.15	Cell signalling
KCNH5	1555074_a_at	potassium voltage-gated channel, subfamily H (eag-related), member 5	KCNH5	0.016	2.38	Cell signalling
	1564143_at			0.035	-2.69	Cell signalling
	240238_at			0.025	2.06	Cell signalling
	235856_at			0.006	-2.13	Immune response
LOXL2	202997_s_at	lysyl oxidase-like 2	LOXL2	0.032	2.23	Oxidoreductase
TECR	1569392_at	trans-2,3-enoyl-CoA reductase	TECR	0.038	2.34	Oxidoreductase
	1569672_at			0.008	2.81	Oxidoreductase
HSPA12B	229172_at	heat shock 70kD protein 12B	HSPA12B	0.009	2.06	Transcription
NANOG	220184_at	Nanog homeobox	NANOG	0.041	3.07	Transcription
NAA15	226998_at	NMDA receptor regulated 1	NARG1	0.024	-2.03	Transcription
RASL11A	238353_at	RAS-like, family 11, member A	RASL11A	0.033	2.07	Transcription
	1564665_at			0.035	2.19	Transcription
	215083_at			0.018	2.23	Transcription
	220687_at			0.006	2.04	Transcription
	233417_at			0.006	-2.57	Transcription
	236256_at			0.021	2.8	Transcription
UBE2H	217799_x_at	ubiquitin-conjugating enzyme E2H (UBC8 homolog, yeast)	UBE2H	0.041	-4.82	Ub-mediated proteolysis
UBE2I	233360_at	ubiquitin-conjugating enzyme E2I (UBC9 homolog, yeast	UBE2I	0.031	2.05	Ub-mediated proteolysis
RNF7	218286_s_at	ring finger protein 7	RNF7	0.036	-2.29	Ub-mediated proteolysis
	243178_at			0.045	2.04	Ub-mediated proteolysis
CSRP2	207030_s_at	cysteine and glycine-rich protein 2	CSRP2	0.011	-2.31	Miscellaneous
ECE1	201750_s_at	endothelin converting enzyme 1	ECE1	0.028	2.67	Miscellaneous
MAPK1IP1L	225643_at	mitogen-activated protein kinase 1 interacting protein 1-like	MAPK1IP1L	0.028	-2.48	Miscellaneous
RPS5	200024_at	ribosomal protein S5	RPS5	0.025	-2.3	Miscellaneous
RPS15A	200781_s_at	ribosomal protein S15a	RPS15A	0.013	-2.13	Miscellaneous
	215635_at			0.023	2.11	Miscellaneous
	234563_at			0.003	2.41	Miscellaneous
	241940_at			0.032	2.94	Miscellaneous
ARHGAP10	219431_at	Rho GTPase activating protein 10	ARHGAP10	0.007	-2.12	Unknown
C19orf55	242640_at	chromosome 19 open reading frame 55	C19orf55	0.018	2.06	Unknown
NDUFAF6	230016_at	chromosome 8 open reading frame 38	C8orf38	0.021	-2.93	Unknown
ARHGEF37	241380_at	FLJ41603 protein	FLJ41603	0.002	2.18	Unknown
	1565786_x_at	hypothetical LOC645566	FLJ45482	0.046	2.48	Unknown
	237152_at	primary ciliary dyskinesia protein 1	hCG_17324	0.007	-2.05	Unknown
KLHL34	1553873_at	kelch-like 34 (Drosophila)	KLHL34	0.044	2.92	Unknown
	229748_x_at	hypothetical protein LOC100132288	LOC100132288	0.018	-2.15	Unknown
	226809_at	hypothetical LOC100216479	LOC100216479	0.04	-2.78	Unknown
	235619_at	hypothetical protein LOC285986	LOC285986	0.029	-2.34	Unknown
MSRB3	225782_at	methionine sulfoxide reductase B3	MSRB3	0.025	-2.38	Unknown
PM20D1	239929_at	peptidase M20 domain containing 1	PM20D1	0.044	-2.87	Unknown
RPS12	213377_x_at	ribosomal protein S12	RPS12	0.03	-2.18	Unknown
SNHG7	1552729_at	small nucleolar RNA host gene 7 (non-protein coding)	SNHG7	0.049	2.37	Unknown
SOBP	244279_at	sine oculis binding protein homolog (Drosophila)	SOBP	0.043	2.47	Unknown
TTC33	219421_at	tetratricopeptide repeat domain 33	TTC33	0.018	-2.06	Unknown
	1562613_at			0.016	2.11	Unknown
	1563190_at			0.045	2.04	Unknown
	207672_at			0.031	2.09	Unknown
	211218_at			0.039	2.21	Unknown
	230772_at			0.039	-2.31	Unknown
	239393_at			0.01	2.08	Unknown
	239735_at			0.045	3.61	Unknown
	240170_at			0.031	2.08	Unknown
	241941_at			0.049	2.37	Unknown
	243869_at			0.041	2.35	Unknown
