ProbeSet ID	Gene Symbol	Gene Title	UniGene ID	Fold change HD-MSC+TNF/LT versus HD-MSC	Fold change FL-MSC versus HD-MSC
216598_s_at	CCL2	chemokine (C-C motif) ligand 2	Hs.303649	54.7	2.2
226181_at	TUBE1	tubulin. epsilon 1	Hs.34851	29.4	2.7
236313_at	CDKN2B	cyclin-dependent kinase inhibitor 2B (p15. inhibits CDK4)	Hs.72901	27.2	4.7
204493_at	BID	BH3 interacting domain death agonist	Hs.591054	20.1	2.5
213142_x_at	PION	pigeon homolog (Drosophila)	Hs.186649	19.8	2.1
226533_at	HINT3	histidine triad nucleotide binding protein 3	Hs.72325	18.5	2.6
202660_at	ITPR2	inositol 1.4.5-triphosphate receptor. type 2	Hs.512235	15.2	2.1
209277_at	TFPI2	tissue factor pathway inhibitor 2	Hs.438231	10.8	3.7
227020_at	YPEL2	yippee-like 2 (Drosophila)	Hs.463613	9.3	2.2
208868_s_at	GABARAPL1	GABA(A) receptor-associated protein like 1	Hs.524250	9.2	2.3
1553106_at	C5orf24	chromosome 5 open reading frame 24	Hs.406549	8.1	2.9
224848_at	CDK6	cyclin-dependent kinase 6	Hs.119882	7.7	2
205174_s_at	QPCT	glutaminyl-peptide cyclotransferase	Hs.79033	6.4	3
211596_s_at	LRIG1	leucine-rich repeats and immunoglobulin-like domains 1	Hs.518055	6.1	2.1
205139_s_at	UST	uronyl-2-sulfotransferase	Hs.657370	5.9	3
224847_at	CDK6	cyclin-dependent kinase 6	Hs.119882	5.7	2.1
40148_at	APBB2	amyloid beta (A4) precursor protein-binding. family B. member  2	Hs.479602	5.3	2.2
232080_at	HECW2	HECT. C2 and WW domain containing E3 ubiquitin protein ligase 2	Hs.654742	5.2	3
228772_at	HNMT	histamine N-methyltransferase	Hs.42151	5	3.1
222636_at	MED28	mediator complex subunit 28	Hs.434075	4.8	2
209278_s_at	TFPI2	tissue factor pathway inhibitor 2	Hs.438231	4.7	2.6
243042_at	FAM73A	family with sequence similarity 73. member A	Hs.632419	4.6	2.5
231899_at	ZC3H12C	zinc finger CCCH-type containing 12C	Hs.376289	4.2	2.3
1569129_s_at	C3orf38	chromosome 3 open reading frame 38	Hs.518099	3.9	2.7
223263_s_at	FGFR1OP2	FGFR1 oncogene partner 2	Hs.591162	3.9	2.1
227247_at	PLEKHA8	Pleckstrin homology domain containing. family A  (phosphoinositide binding specif	Hs.233495	3.8	2.1
220329_s_at	RMND1	required for meiotic nuclear division 1 homolog (S. cerevisiae)	Hs.486835	3.8	2.3
204396_s_at	GRK5	G protein-coupled receptor kinase 5	Hs.524625	3.8	2.3
1554557_at	ATP11B	ATPase. class VI. type 11B	Hs.478429	3.7	3.3
216250_s_at	LPXN	leupaxin	Hs.125474	3.7	2.8
222846_at	RAB8B	RAB8B. member RAS oncogene family	Hs.389733	3.6	2.5
34408_at	RTN2	reticulon 2	Hs.47517	3.5	3.1
232060_at	ROR1	receptor tyrosine kinase-like orphan receptor 1	Hs.654491	3.5	2.4
216593_s_at	PIGC	phosphatidylinositol glycan anchor biosynthesis. class C	Hs.188456	3.5	2.4
225922_at	FNIP2	folliculin interacting protein 2	Hs.709500	3.4	2.6
228239_at	FAM165B	family with sequence similarity 165. member B	Hs.656195	3.3	2.3
229317_at	KPNA5	karyopherin alpha 5 (importin alpha 6)	Hs.182971	3.3	2.1
224341_x_at	TLR4	toll-like receptor 4	Hs.174312	3.2	3.1
33322_i_at	SFN	stratifin	Hs.523718	3.2	2.3
203347_s_at	MTF2	metal response element binding transcription factor 2	Hs.31016	3	2.5
52285_f_at	CEP76	centrosomal protein 76kDa	Hs.236940	3	2
226520_at			Hs.658311	2.9	2.1
235103_at	MAN2A1	mannosidase. alpha. class 2A. member 1	Hs.432822	2.8	2.2
213750_at	RSL1D1	ribosomal L1 domain containing 1	Hs.401842	2.8	2.2
220241_at	TMCO3	transmembrane and coiled-coil domains 3	Hs.317593	2.7	2.1
1558236_at				2.7	3.8
220253_s_at	LRP12	low density lipoprotein-related protein 12	Hs.654804	2.6	2.2
215707_s_at	PRNP	prion protein	Hs.472010	2.5	2.1
225956_at	C5orf41	chromosome 5 open reading frame 41	Hs.484195	2.5	2
223178_s_at	NT5DC1	5-nucleotidase domain containing 1	Hs.520341	2.5	2.3
1558254_s_at	SRPK2	SFRS protein kinase 2	Hs.285197	2.3	2.7
218748_s_at	EXOC5	exocyst complex component 5	Hs.655158	2.3	2.3
241933_at	QRSL1	Glutaminyl-tRNA synthase (glutamine-hydrolyzing)-like 1	Hs.406917	2.2	2.1
238860_at	C6orf130	chromosome 6 open reading frame 130	Hs.227457	2.1	2.2
