Symbol	probe set	Description	CP3	CP4	CP4 vs CP3
Abp1	1424600_at	amiloride binding protein 1 (amine oxidase, copper-containing)	14.1	1874.2	165.9
Abpa	1424063_at	androgen binding protein alpha	31.4	1117.1	54.2
Abpb	1425032_at	androgen binding protein beta	50.2	2117.5	30.8
Acaca	1427595_at	acetyl-Coenzyme A carboxylase alpha	33.1	804.4	25.4
Acacb	1427052_at	acetyl-Coenzyme A carboxylase beta	443.2	388.2	6.4
Acly	1425326_at	ATP citrate lyase	59.4	823.1	5.6
Acot11	1429267_at	acyl-CoA thioesterase 11	159.1	332.4	4.1
Acss2	1422479_at	acyl-CoA synthetase short-chain family member 2	4798	10607	3.7
Acta1	1427735_a_at	actin, alpha 1, skeletal muscle	63.2	498.9	3.6
Actn3	1418677_at	actinin alpha 3	127.4	105.2	3.5
Ampd1	1434722_at	adenosine monophosphate deaminase 1 (isoform M)	120	413.1	3.3
Apobec2	1417889_at	apolipoprotein B editing complex 2	356.9	542.4	3.1
Asb11	1422153_a_at	ankyrin repeat and SOCS box-containing protein 11	626	763.8	3.0
Atp2a1	1419312_at	ATPase, Ca++ transporting, cardiac muscle, fast twitch 1	1413.4	431.2	2.9
Atp6v1e1	1449711_at	VATPase, H+ transporting, lysosomal V1 subunit E1	487.4	638.3	2.8
Bex1	1448595_a_at	brain expressed gene 1	365.3	809.6	2.8
C6	1449308_at	complement component 6	4077.9	8042.9	2.7
Car6	1421001_a_at	carbonic anhydrase 6	394.2	423.5	2.7
Casq1	1422598_at	calsequestrin 1	219.3	388.6	2.6
Ccl12	1419282_at	chemokine (C-C motif) ligand 12	3429.6	4640.9	2.5
Cct4	1456082_x_at	chaperonin subunit 4 (delta)	8328.4	4589.7	2.5
Cd5l	1449193_at	CD5 antigen-like	5267.4	6254.5	2.5
Ckm	1417614_at	creatine kinase, muscle	184.2	343.6	2.5
Ckmt2	1428722_at	creatine kinase, mitochondrial 2	896.5	621.4	2.5
Clic5	1458381_at	chloride intracellular channel 5	175.5	301.2	2.4
Cmya5	1427312_at	cardiomyopathy associated 5	493.8	1111.2	2.4
Cox7a1	1418709_at	cytochrome c oxidase, subunit VIIa 1	390.5	833.5	2.4
Cpt1b	1418328_at	carnitine palmitoyltransferase 1b, muscle	567.4	569.8	2.4
Cspg3	1434679_at	chondroitin sulfate proteoglycan 3	11921	10544.3	2.4
Ctsw	1422632_at	cathepsin W	173.1	310.9	2.4
Cyp7b1	1421075_s_at	cytochrome P450, family 7, subfamily b, polypeptide 1	544.3	277.5	2.4
Ddit4l	1451751_at	DNA-damage-inducible transcript 4-like	486	529.4	2.3
Dhdh	1453487_at	dihydrodiol dehydrogenase (dimeric)	217.9	330.3	2.3
Dhrs7c	1444504_at	dehydrogenase/reductase (SDR family) member 7C	1394.2	1425.2	2.2
Dock6	1427422_at	dedicator of cytokinesis 6	763.6	715.4	2.2
E2f5	1447625_at	E2F transcription factor 5	3511.4	2068.4	2.2
Eef1a2	1418062_at	eukaryotic translation elongation factor 1 alpha 2	2779.7	2963.7	2.2
Elovl3	1420722_at	elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 3	9187.8	14337.8	2.2
Elovl6	1417404_at	ELOVL family member 6, elongation of long chain fatty acids (yeast)	4550.1	467.4	2.2
Eno3	1417951_at	enolase 3, beta muscle	814.4	1202.8	2.2
Fcgr1	1417876_at	Fc receptor, IgG, high affinity I	896.1	945.9	2.1
Gm106	1457429_s_at	gene model 106, (NCBI)	182.8	382.7	2.1
Gpd2	1452741_s_at	glycerol phosphate dehydrogenase 2, mitochondrial	304.2	325.5	2.1
Gpr23	1434186_at	G protein-coupled receptor 23	746.2	924.5	2.1
Gys2	1424815_at	glycogen synthase 2	1738	2913.2	2.1
Has2	1449169_at	hyaluronan synthase 2	216.8	304.6	2.1
Hfe2	1454137_s_at	hemochromatosis type 2 (juvenile) (human homolog)	451	556.6	2.1
Hrc	1419109_at	histidine rich calcium binding protein	398.2	601.4	2.1
Hspa9a	1447728_x_at	heat shock protein 9A	538.8	826.3	2.1
Igh-1a	1451632_a_at	immunoglobulin heavy chain 1a (serum IgG2a)	279.9	535.7	2.1
Igh-4	1425324_x_at	immunoglobulin heavy chain 4 (serum IgG1)	250.2	237.5	2.0
Ighg	1424631_a_at	Immunoglobulin heavy chain (gamma polypeptide)	638	1344.9	2.0
Igh-VJ558	1425763_x_at	immunoglobulin heavy chain (J558 family)	159.1	569.9	2.0
Igj	1424305_at	immunoglobulin joining chain	220.6	452.3	2.0
Igk	1425738_at	immunoglobulin kappa chain complex	8452.9	13092.3	2.0
Igk-V8	1452463_x_at	immunoglobulin kappa chain variable 8 (V8)	882.4	653.1	2.0
Igl-V1	1430523_s_at	immunoglobulin lambda chain, variable 1	170.7	250.3	2.0
Igsf6	1421408_at	immunoglobulin superfamily, member 6	1214	1345.4	2.0
Kcnb1	1423180_at	potassium voltage gated channel, Shab-related subfamily, member 1	340.7	279.3	2.0
Kcnh3	1459107_at	potassium voltage-gated channel, subfamily H (eag-related), member 3	770.5	1255.9	2.0
Kcnj15	1435354_at	potassium inwardly-rectifying channel, subfamily J, member 15	101.6	508.5	2.0
Klhdc5	1426988_at	kelch domain containing 5	7249.5	8539.9	2.0
Kng1	1416676_at	kininogen 1	1624.3	1977.7	2.0
Ldb3	1416752_at	LIM domain binding 3	1899.2	24.3	-20.9
Lepr	1456156_at	leptin receptor	1114.1	10.5	-14.4
Mbp	1454651_x_at	myelin basic protein	361.3	8.7	-12.7
Med18	1460462_at	mediator of RNA polymerase II transcription, subunit 18 homolog (yeast)	1817.3	17.4	-11.3
Mitf	1422025_at	microphthalmia-associated transcription factor	6745.5	192	-11.3
Mod1	1430307_a_at	malic enzyme, supernatant	1066.4	33.6	-11.1
Mosc1	1428005_at	MOCO sulphurase C-terminal domain containing 1	4533	152	-10.6
Mrps14	1420488_at	mitochondrial ribosomal protein S14	465.6	9.9	-10.3
Muc10	1449587_a_at	mucin 10, submandibular gland salivary mucin	13339.1	661.1	-9.4
Mup3	1426154_s_at	major urinary protein 3	8299.1	299.6	-8.4
Mybpc2	1455736_at	myosin binding protein C, fast-type	10115.7	467.2	-8.3
Myh1	1427520_a_at	myosin, heavy polypeptide 1, skeletal muscle, adult	8061.3	970.8	-8.1
Myh4	1427026_at	myosin, heavy polypeptide 4, skeletal muscle	14203.3	601.2	-7.6
Myh8	1458368_at	myosin, heavy polypeptide 8, skeletal muscle, perinatal	2970.7	122.4	-6.9
Myl1	1452651_a_at	myosin, light polypeptide 1	10232.8	540.4	-6.5
Mylpf	1448371_at	myosin light chain, phosphorylatable, fast skeletal muscle	1170.7	44	-6.5
Myom1	1420693_at	myomesin 1	3202.4	136.6	-6.3
Myom2	1457435_x_at	myomesin 2	4405.2	137.9	-6.3
Myoz1	1460202_at	myozenin 1	7403.2	298.6	-6.2
Ndufab1	1428160_at	NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1	1775.2	58.6	-5.6
Neb	1435355_at	nebulin	2196.3	97.3	-5.5
Nelf	1439398_x_at	nasal embryonic LHRH factor	1258	61.9	-5.0
Nol3	1451503_at	nucleolar protein 3 (apoptosis repressor with CARD domain)	987.6	52.8	-4.8
Otop1	1438448_at	otopetrin 1	2654.1	154.9	-4.7
Pcx	AFFX-PyruCarbMur/L09192_5_at	pyruvate carboxylase	16168.3	1728.5	-4.6
Pdhb	1448214_at	pyruvate dehydrogenase (lipoamide) beta	1491.6	92.6	-4.5
Pdk4	1417273_at	pyruvate dehydrogenase kinase, isoenzyme 4	1826.5	120.8	-4.5
Pgam2	1418373_at	phosphoglycerate mutase 2	5748.5	458.3	-4.5
Pgd	1438627_x_at	phosphogluconate dehydrogenase	498.4	67.5	-4.2
Pml	1456103_at	promyelocytic leukemia	278.5	328.1	-4.1
Ppara	1449051_at	peroxisome proliferator activated receptor alpha	1307.4	38.9	-4.1
Pvalb	1417653_at	parvalbumin	569.6	38.7	-4.1
Pygm	1448602_at	muscle glycogen phosphorylase	430.5	92.4	-3.8
Rhbdd3	1438548_x_at	rhomboid domain containing 3	1461	97.5	-3.7
Rpl27a	1437729_at	ribosomal protein L27a	281.2	94.9	-3.6
Rpl3l	1449398_at	ribosomal protein L3-like	324.7	166.7	-3.6
Rragd	1434909_at	Ras-related GTP binding D	1036.4	61.2	-3.6
Rspo1	1449319_at	R-spondin homolog (Xenopus laevis)	396.5	24.1	-3.3
Ryr1	1427306_at	ryanodine receptor 1, skeletal muscle	519.8	46.1	-3.2
Scd1	1415823_at	stearoyl-Coenzyme A desaturase 1	300.4	49.5	-3.2
Scp2	1419974_at	sterol carrier protein 2, liver	4479.7	2283.5	-3.2
Scrn3	1426916_at	secernin 3	3605.3	1121.9	-3.1
Serpine1	1419149_at	serine (or cysteine) peptidase inhibitor, clade E, member 1	214.7	238.4	-3.1
Sh3bgr	1422644_at	SH3-binding domain glutamic acid-rich protein	1841.4	177.5	-3.0
Slc1a3	1443749_x_at	solute carrier family 1 (glial high affinity glutamate transporter), member 3	1290.7	99.8	-2.9
Slc2a5	1416639_at	solute carrier family 2 (facilitated glucose transporter), member 5	193.8	116.6	-2.9
Smpd1	1447874_x_at	sphingomyelin phosphodiesterase 1, acid lysosomal	545.9	232.9	-2.8
Smpx	1418095_at	small muscle protein, X-linked	659	51.2	-2.8
Snrpn	1435716_x_at	small nuclear ribonucleoprotein N	1164.2	172.5	-2.8
Snx27	1433614_at	sorting nexin family member 27	233.2	157.8	-2.7
Sox4	1449370_at	SRY-box containing gene 4	435.1	75.2	-2.7
Spon1	1441226_at	spondin 1, (f-spondin) extracellular matrix protein	14496.5	2753.9	-2.7
Spp1	1449254_at	secreted phosphoprotein 1	193	142.4	-2.7
Spt2	1420466_at	salivary protein 2	461.5	336.4	-2.6
Sts	1421500_at	steroid sulfatase	335.9	39.5	-2.6
Sycp3	1449534_at	synaptonemal complex protein 3	126.7	141.7	-2.6
Tatdn1	1444644_x_at	TatD DNase domain containing 1	8135.5	1774.2	-2.6
Tax1bp1	1420175_at	Tax1 (human T-cell leukemia virus type I) binding protein 1	421.9	149.4	-2.5
Tcap	1423145_a_at	titin-cap	467.4	216.9	-2.5
Tcf4	1446953_at	transcription factor 4	817.5	91	-2.4
Tkt	1451015_at	transketolase	556.7	204.3	-2.4
Tmem45a	1422587_at	transmembrane protein 45a	860.4	472.6	-2.3
Tmem69	1446160_x_at	transmembrane protein 69	548.3	87.9	-2.3
Tmod1	1422754_at	tropomodulin 1	506.1	159.2	-2.3
Tmod4	1449969_at	tropomodulin 4	7319.8	2497.3	-2.3
Tnnc2	1417464_at	troponin C2, fast	760.4	302.7	-2.3
Tnni2	1438609_x_at	troponin I, skeletal, fast 2	574.7	258.4	-2.3
Tnnt3	1450118_a_at	troponin T3, skeletal, fast	258.3	158.5	-2.2
Tpm1	1423049_a_at	tropomyosin 1, alpha	496.4	532.5	-2.2
Tpm2	1449577_x_at	tropomyosin 2, beta	227.9	272.9	-2.2
Trdn	1426143_at	triadin	216.8	153.2	-2.1
Ttn	1427445_a_at	titin	949.9	518	-2.1
Tubb2c	1456470_x_at	tubulin, beta 2c	2164.2	1004.7	-2.0
Txlnb	1418952_at	taxilin beta	1372.2	160.7	-2.0
Ube2h	1447374_at	ubiquitin-conjugating enzyme E2H	235	180.9	-2.0
Ucp1	1418197_at	uncoupling protein 1 (mitochondrial, proton carrier)	320.8	69.4	-2.0
Wisp2	1419015_at	WNT1 inducible signaling pathway protein 2	543.5	301.2	-2.0
Xbp1	1420012_at	X-box binding protein 1	746.6	419	-2.0
