rank	Probe set	Gene symbol	Parameric p-value	FDR	Geom mean of intensities in ABC	Geom mean of intensities in GCB	Ratio of geom means ABC/GCB	log2 ratio ABC/GCB	Description
1	1554413_s_at	RUNDC2B /// RUNDC2C	<1E-07	< 1e-07	34.0482979	631.2273737	0.0539398	-4.212506017	RUN domain containing 2B /// RUN domain containing 2C
2	203787_at	SSBP2	<1E-07	< 1e-07	283.4181208	1901.660001	0.1490372	-2.74625562	single-stranded DNA binding protein 2
3	210829_s_at	SSBP2	<1E-07	< 1e-07	203.3814387	1183.569633	0.1718373	-2.540884865	single-stranded DNA binding protein 2
4	203435_s_at	MME	<1E-07	< 1e-07	24.4058555	481.5961142	0.050677	-4.302525068	membrane metallo-endopeptidase
5	203434_s_at	MME	<1E-07	< 1e-07	32.6531437	567.9804485	0.0574899	-4.120547668	membrane metallo-endopeptidase
6	213906_at	MYBL1	<1E-07	< 1e-07	215.7950286	2202.20355	0.0979905	-3.3512143	v-myb myeloblastosis viral oncogene homolog (avian)-like 1
7	220118_at	ZBTB32	<1E-07	< 1e-07	293.5974955	30.1879074	9.7256657	3.281797003	zinc finger and BTB domain containing 32
8	222762_x_at	LIMD1	<1E-07	< 1e-07	2574.830087	751.9889286	3.4240266	1.77569391	LIM domains containing 1
9	225331_at	CCDC50	<1E-07	< 1e-07	8536.432363	2465.980899	3.4616782	1.791471617	coiled-coil domain containing 50
10	200644_at	MARCKSL1	<1E-07	< 1e-07	1776.295096	6378.151046	0.2784969	-1.844266826	MARCKS-like 1
11	203521_s_at	ZNF318	<1E-07	< 1e-07	322.8413544	765.93449	0.4215	-1.246395464	zinc finger protein 318
12	223287_s_at	FOXP1	<1E-07	< 1e-07	8545.164126	2386.498497	3.5806283	1.840212762	forkhead box P1
13	205222_at	EHHADH	<1E-07	< 1e-07	453.3446772	88.2398321	5.1376421	2.361106392	enoyl-Coenzyme A, hydratase/3-hydroxyacyl Coenzyme A dehydrogenase
14	224837_at	FOXP1	<1E-07	< 1e-07	9988.071798	3460.84853	2.8860182	1.529080398	forkhead box P1
15	224838_at	FOXP1	<1E-07	< 1e-07	9234.960296	2970.253842	3.1091485	1.636519525	forkhead box P1
16	218640_s_at	PLEKHF2	<1E-07	< 1e-07	2231.297319	6724.629185	0.3318097	-1.591572033	pleckstrin homology domain containing, family F (with FYVE domain) member 2
17	218862_at	ASB13	<1E-07	< 1e-07	336.0893919	1419.813888	0.2367137	-2.078784889	ankyrin repeat and SOCS box-containing 13
18	205965_at	BATF	<1E-07	< 1e-07	6461.811711	2451.727423	2.6356159	1.398140135	basic leucine zipper transcription factor, ATF-like
19	223158_s_at	NEK6	<1E-07	< 1e-07	737.8406484	2234.857229	0.3301511	-1.598801642	NIMA (never in mitosis gene a)-related kinase 6
20	221823_at	C5orf30	<1E-07	< 1e-07	591.6373067	255.9348206	2.3116718	1.208936586	chromosome 5 open reading frame 30
21	1553499_s_at	SERPINA9	<1E-07	< 1e-07	103.1497694	1329.577361	0.0775809	-3.688154677	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 9
22	202020_s_at	LANCL1	<1E-07	< 1e-07	1360.520078	2667.767506	0.5099845	-0.971474695	LanC lantibiotic synthetase component C-like 1 (bacterial)
23	212345_s_at	CREB3L2	<1E-07	< 1e-07	2342.377317	896.7930733	2.6119485	1.385126451	cAMP responsive element binding protein 3-like 2
24	227684_at	S1PR2	<1E-07	< 1e-07	237.1448087	852.2951768	0.2782426	-1.845584776	sphingosine-1-phosphate receptor 2
25	229844_at		<1E-07	< 1e-07	716.8479553	256.4631526	2.7951304	1.48291559	Transcribed locus
26	214597_at	SSTR2	<1E-07	< 1e-07	38.4810839	184.4959077	0.2085742	-2.261367383	somatostatin receptor 2
27	227176_at	SLC2A13	<1E-07	< 1e-07	1143.067087	365.0102272	3.1316029	1.646901285	solute carrier family 2 (facilitated glucose transporter), member 13
28	222699_s_at	PLEKHF2	<1E-07	< 1e-07	904.2332192	2906.596716	0.3110969	-1.684564076	pleckstrin homology domain containing, family F (with FYVE domain) member 2
29	228360_at	LOC130576	<1E-07	< 1e-07	26.0646353	200.7202085	0.1298556	-2.945019864	hypothetical protein LOC130576
30	203723_at	ITPKB	<1E-07	< 1e-07	305.1628443	1132.334846	0.2694988	-1.891649246	inositol 1,4,5-trisphosphate 3-kinase B
31	207641_at	TNFRSF13B	<1E-07	< 1e-07	684.0442132	272.3650812	2.5114975	1.328547839	tumor necrosis factor receptor superfamily, member 13B
32	222633_at	TBL1XR1	<1E-07	< 1e-07	6400.077006	2864.993137	2.2338891	1.159557566	transducin (beta)-like 1 X-linked receptor 1
33	204249_s_at	LMO2	<1E-07	< 1e-07	1244.135555	6335.632392	0.1963712	-2.348344737	LIM domain only 2 (rhombotin-like 1)
34	212314_at	KIAA0746 /// SERINC2	1.00E-07	0.0001139	2947.294529	8793.6047	0.3351634	-1.57706348	KIAA0746 protein /// serine incorporator 2
35	219396_s_at	NEIL1	1.00E-07	0.0001139	188.0021115	706.3513742	0.2661595	-1.909637034	nei endonuclease VIII-like 1 (E. coli)
36	1552695_a_at	SLC2A13	1.00E-07	0.0001139	324.6140383	108.8191389	2.9830602	1.576793092	solute carrier family 2 (facilitated glucose transporter), member 13
37	243185_at		1.00E-07	0.0001139	149.3227879	835.877003	0.1786421	-2.484855979	CDNA FLJ42169 fis, clone THYMU2028978
38	201560_at	CLIC4	1.00E-07	0.0001139	2071.118304	4888.966329	0.4236311	-1.239119589	chloride intracellular channel 4
