Accession no.	Name	Symbol	Log2 ratio
NM_005511.1	Melan-A	MLANA	4.78
NM_000372.3	Tyrosinase (oculocutaneous albinism IA)	TYR	4.53
NM_000115.1	Endothelin receptor type B	EDNRB	4.04
BC107791.1	Glucosidase, alpha	CAPN3	3.81
NM_000372.3	Tyrosinase (oculocutaneous albinism IA)	TYR	3.73
NM_001922.2	Dopachrome tautomerase (dopachrome delta-isomerase, tyrosine-related protein 2)	DCT	3.65
NM_000550.1	Tyrosinase-related protein 1	TYRP1	3.59
NM_006928.3	Silver homolog (mouse)	SILV	3.06
NM_022450.2	Rhomboid 5 homolog 1 (Drosophila)	RHBDF1	2.97
NM_000372.3	Tyrosinase (oculocutaneous albinism IA)	TYR	2.9
NM_000273.1	G protein-coupled receptor 143	GPR143	2.85
BC065243.1	Microphthalmia-associated transcription factor	MITF	2.83
BC013293.2	Synuclein, alpha (non A4 component of amyloid precursor)	SNCA	2.78
NM_006100.2	ST3 beta-galactoside alpha-2,3-sialyltransferase 6	ST3GAL6	2.78
AF361946.1	tripartite motif-containing 63	TRIM63	2.76
NM_005672.2	Prostate stem cell antigen	PSCA	2.54
NM_002618.2	Peroxisome biogenesis factor 13	PEX13	2.51
BC014472.1	Endothelin receptor type B	EDNRB	2.21
NM_003255.4	TIMP metallopeptidase inhibitor 2	TIMP2	2.2
NM_003866.1	Inositol polyphosphate-4-phosphatase, type II, 105kDa	INPP4B	2.14
BC011595.1	Glycoprotein (transmembrane) nmb	GPNMB	2.11
NM_016180.3	Solute carrier family 45, member 2	SLC45A2	2.03
NM_014999.1	RAB21, member RAS oncogene family	RAB21	2.02
NM_006272.1	S100 calcium binding protein B	S100B	2.01
BT019584.1	Pirin (iron-binding nuclear protein)	PIR	1.93
NM_022337.1	RAB38, member RAS oncogene family	RAB38	1.89
NM_014055.2	Intraflagellar transport 81 homolog (Chlamydomonas)	IFT81	1.87
AY305384.1	N-acylsphingosine amidohydrolase (acid ceramidase) 1	ASAH1	1.85
BC016481.1	N-acylsphingosine amidohydrolase (acid ceramidase) 1	ASAH1	1.81
NM_003820.2	Tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)	TNFRSF14	1.8
NM_000055.1	Butyrylcholinesterase	BCHE	1.78
NM_052831.2	Chromosome 6 open reading frame 192	C6orf192	1.76
BC107791.1	Glucosidase, alpha	CAPN3	1.72
NM_014392.2	DNA segment on chromosome 4 (unique) 234 expressed sequence	D4S234E	1.71
BC013254.2	Syndecan binding protein (syntenin)	SDCBP	1.69
NM_000337.4	Sarcoglycan, delta (35kDa dystrophin-associated glycoprotein)	SGCD	1.66
NM_000313.1	Protein S (alpha)	PROS1	1.66
NM_030806.3	Chromosome 1 open reading frame 21	C1orf21	1.63
BC013254.2	Syndecan binding protein (syntenin)	SDCBP	1.59
CR457076.1	RAB27A, member RAS oncogene family	RAB27A	1.54
BC018821.2	Cathepsin H	CTSH	1.39
NM_024312.3	N-acetylglucosamine-1-phosphate transferase, alpha and beta subunits	GNPTAB	1.37
BC025297.1	Glycoprotein (transmembrane) nmb	GPNMB	1.37
NM_138801.1	Galactose mutarotase (aldose 1-epimerase)	GALM	1.35
NM_002959.4	Sortilin 1	SORT1	1.35
NM_017983.3	WD repeat domain, phosphoinositide interacting 1	WIPI1	1.31
NM_003916.3	Adaptor-related protein complex 1, sigma 2 subunit	AP1S2	1.3
AK021562.1	Early B-cell factor 2	EBF2	1.28
BC068068.1	Lectin, galactoside-binding, soluble, 3	LGALS3	1.27
NM_014241.3	Protein tyrosine phosphatase-like (proline instead of catalytic arginine), member A	PTPLA	1.25
NM_007106.2	Ubiquitin-like 3	UBL3	1.24
NM_000041.2	Apolipoprotein E	APOE	1.24
NM_000852.2	Glutathione S-transferase pi	GSTP1	1.23
NM_001308.1	Carboxypeptidase N, polypeptide 1	CPN1	1.15
NM_000392.1	ATP-binding cassette, sub-family C (CFTR/MRP), member 2	ABCC2	1.15
NM_006456.1	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2	ST6GALNAC2	1.08
NM_018000.1	Melanoregulin	MREG	1.07
NM_033280.1	SEC11 homolog C (S. cerevisiae)	SEC11C	1.04
NM_152493.2	Zinc finger protein 362	ZNF362	1.04
NM_007267.5	Transmembrane channel-like 6	TMC6	1.03
NM_178819.2	1-acylglycerol-3-phosphate O-acyltransferase 6 (lysophosphatidic acid acyltransferase, zeta)	AGPAT6	1.03
NM_032343.1	Coiled-coil-helix-coiled-coil-helix domain containing 6	CHCHD6	1.02
AF303889.2	Ropporin, rhophilin associated protein 1	ROPN1	1.02
NM_005813.3	Protein kinase D3	PRKD3	1.01
NM_031461.3	Cysteine-rich secretory protein LCCL domain containing 1	CRISPLD1	0.94
NM_080821.1	Chromosome 20 open reading frame 108	C20orf108	0.9
BC012527.2	Hypoxia-inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	HIF1A	-0.9
BC001400.2	Small trans-membrane and glycosylated protein	LOC57228	-0.91
NM_018010.2	Intraflagellar transport 57 homolog (Chlamydomonas)	IFT57	-0.99
NM_004078.1	Cysteine and glycine-rich protein 1	CSRP1	-1.08
NM_032263.2	IQ motif containing G	IQCG	-1.19
NM_018948.2	ERBB receptor feedback inhibitor 1	ERRFI1	-1.19
AC_009088.9	Homo sapiens chromosome 16 clone RP11-388M20, complete sequence	RP11-388M20	-1.2
NM_004385.2	Versican	VCAN	-1.23
NM_004772.1	Chromosome 5 open reading frame 13	C5orf13	-1.27
AC_080079.5	Homo sapiens BAC clone RP11-511B7	RP11-511B7	-1.3
CR611518.1	Plasminogen activator, urokinase receptor	PLAUR	-1.31
AC_090051.8	Homo sapiens 12q BAC RP11-467E3	RP11-467E3	-1.31
NM_021822.1	Apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3G	APOBEC3G	-1.31
NM_000270.1	Nucleoside phosphorylase	NP	-1.4
Z84488.1	Human DNA sequence from clone RP1-93H18 on chromosome 6q21	RP1-93H18	-1.41
NM_003500.2	Acyl-Coenzyme A oxidase 2, branched chain	ACOX2	-1.41
NM_002053.1	Guanylate binding protein 3	GBP1	-1.43
NM_000358.1	Transforming growth factor, beta-induced, 68kDa	TGFBI	-1.46
NM_002228.3	Jun oncogene	JUN	-1.47
NM_003798.1	Catenin (cadherin-associated protein), alpha-like 1	CTNNAL1	-1.52
NM_004726.1	RALBP1 associated Eps domain containing 2	REPS2	-1.54
NM_005723.2	Tetraspanin 5	TSPAN5	-1.58
NM_003798.1	Catenin (cadherin-associated protein), alpha-like 1	CTNNAL1	-1.63
BC000551.2	Monoglyceride lipase	MGLL	-1.64
NM_004760.1	Serine/threonine kinase 17a	STK17A	-1.66
NM_000602.1	Serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1	SERPINE1	-1.68
NM_002192.2	Inhibin, beta A	INHBA	-1.75
NM_000270.1	Nucleoside phosphorylase	NP	-1.75
NM_002178.2	Insulin-like growth factor binding protein 6	IGFBP6	-1.76
NM_004289.5	Nuclear factor (erythroid-derived 2)-like 3	NFE2L3	-1.8
NM_001554.3	Cysteine-rich, angiogenic inducer, 61	CYR61	-1.83
S68330.1	aldo-keto reductase family 1, member C2 (dihydrodiol dehydrogenase 2	AKR1C2	-1.94
AL121748.7	neuropilin 1	NRP1	-1.96
NM_080388.1	S100 calcium binding protein A16	S100A16	-2.17
BC040210.1	Aldo-keto reductase family 1, member C1 (dihydrodiol dehydrogenase 1	AKR1C1	-2.25
NM_003937.2	Kynureninase (L-kynurenine hydrolase)	KYNU	-2.27
NM_006851.1	GLI pathogenesis-related 1 (glioma)	GLIPR1	-2.27
NM_006042.1	Heparan sulfate (glucosamine) 3-O-sulfotransferase 3A1	HS3ST3A1	-2.43
BC000879.1	Kynureninase (L-kynurenine hydrolase)	KYNU	-2.52
BC024974.1	S100 calcium binding protein A4	S100A4	-2.7
