Gene	Modulation	Function
RAD9	3	Cell cycle
RB-binding protein 1	2	Cell cycle
p19INK4d	2	Cell cycle
GADD45	2	Cell cycle
p21WAF1	3	Cell cycle
PP2C-beta	4	Cell cycle
PP2C-alpha2	2	Cell cycle
CHK2	3	Cell cycle
CDC8	0.6	Cell cycle
CDC7-related kinase	0.5	Cell cycle
M phase phosphoprotein 1	0.4	Cell cycle
ribonucleotide reductase M1 subunit	0.4	Cell cycle
STK15	0.5	Cell cycle
Mitosin	0.5	Cell cycle
thymidylate synthase	0.2	Cell cycle
chromatin assembly factor-I p150 subunit	0.5	Cell cycle
CDK1	0.5	Cell cycle
MCM7	0.3	Cell cycle
replication factor C	0.4	Cell cycle
replication protein A 32-kDa subunit	0.5	Cell cycle
dihydrofolate reductase (DHFR)	0.2	Cell cycle
PCTAIRE-1	0.3	Cell cycle
DNA pol-epsilon subunit B	0.3	Cell cycle
DNA pol-alpha	0.4	Cell cycle
protein phosphatase 2A regulatory subunit ?	0.2	Cell cycle
Cyclin A	0.3	Cell cycle
Cyclin E2	0.3	Cell cycle
MCM6	0.5	Cell cycle
Ki67a	0.2	Cell cycle
DNA primase	0.4	Cell cycle
Kinesin-like 1	0.2	Cell cycle
MCM3	0.4	Cell cycle
Lamin B2	0.4	Cell cycle
CDK4	0.5	Cell cycle
MCM5	0.2	Cell cycle
PCNA	0.1	Cell cycle
CDK2	0.5	Cell cycle
toll-like receptor 2	2.6	Apoptosis
Caspase 9	2	Apoptosis
Survivin	0.3	Apoptosis
VEGF-C	0.4	Angiogenesis
eIF-4gamma	0.5	Protein synthesis
bFGF	0.3	Growth factor
Wnt7a	0.3	Growth factor
BRCA2	3.2	Tumor suppressor/Growth inhibitor
DLC-1	3.1	Tumor suppressor/Growth inhibitor
TGF-beta	2.9	Tumor suppressor/Growth inhibitor
TGF-beta type III receptor	3.6	Tumor suppressor/Growth inhibitor
BMP-4	4.8	Tumor suppressor/Growth inhibitor
PTEN	2	Tumor suppressor/Growth inhibitor
BACH1	2.2	Transcription factor
	5.3	Transcription factor
ZNF345	2.8	Transcription factor
ZNF217	3.6	Transcription factor
ZNF165	3.8	Transcription factor
ZNF267	2.9	Transcription factor
ZNF75	2.3	Transcription factor
Ring ZNF	2.5	Transcription factor
ZNF274	3.2	Transcription factor
ZNF278	0.5	Transcription factor
ZNF X-linked	0.3	Transcription factor
Kruppel-like ZNF	3.5	Transcription factor
CBP/p300-interacting transcativation	2.5	Transcription factor
CREB1	3	Transcription factor
ATF5	0.4	Transcription factor
E74-like factor 3	2.4	Transcription factor
SRC1	2.6	Transcription factor
Id1	0.5	Transcription factor
Id3	0.2	Transcription factor
Forkhead box M1B	0.4	Transcription factor
N-myc interactor	0.5	Transcription factor
Myc-associated ZNF	0.2	Transcription factor
b-myb	0.1	Transcription factor
Jun-B	0.1	Transcription factor
HNF-3alpha	0.5	Transcription factor
TAFII70-alpha	0.5	Transcription factor
NFkappaB p50	0.2	Transcription factor
BAF57	0.5	Transcription factor
HFH-11A	0.4	Transcription factor
GADD153	8	Transcription factor
hPMS2	6	DNA repair
ERCC1	3.3	DNA repair
MEK1	2.3	Signal transduction
MEK3b	2.1	Signal transduction
MEK5	6	Signal transduction
JNK1	3	Signal transduction
Ras-like protein Tc10	3.8	Signal transduction
GTPase activating factor-2	4.4	Signal transduction
RAN-binding protein 8	3.1	Signal transduction
G protein-coupled receptor 37	2.3	Signal transduction
RAB31	2.5	Signal transduction
RAB28	2.1	Signal transduction
RAB7-like 1	2.4	Signal transduction
Regulator of G protein signaling 10	2	Signal transduction
Rho E	3.2	Signal transduction
Rho 2	0.5	Signal transduction
prenylated RAB acceptor 1	0.4	Signal transduction
cAMP-regulated guanine nucleotide exchange factor II	2.2	Signal transduction
CDP-DAG synthase	2.3	Signal transduction
phospholipase C ?4	2.1	Signal transduction
receptor of retinoic acid	5	Signal transduction
dual specificity phosphatase MKP-5	6.4	Signal transduction
calmodulin-dependent protein kinase IV	2	Signal transduction
PKC-alpha	3.4	Signal transduction
PP1	2.3	Signal transduction
PP5	0.2	Signal transduction
PI 3-kinase	0.4	Signal transduction
Adducin-gamma	2.4	Cytoskeleton
Calponin	5.3	Cytoskeleton
Actin-binding protein 57	11.9	Cytoskeleton
Cytokeratin 20	4.1	Cytoskeleton
Tau	0.2	Cytoskeleton
Filamin	0.2	Cytoskeleton
Tubulin alpha 1 isoform 44	0.4	Cytoskeleton
Non-muscle alpha-actinin	0.4	Cytoskeleton
Cadherin-15	6.5	Adhesion/Invasion
Cadherin-7	2.5	Adhesion/Invasion
integrin beta-5	0.2	Adhesion/Invasion
integrin beta-4	0.3	Adhesion/Invasion
beta 3-endonexin	0.5	Adhesion/Invasion
CD44	0.5	Adhesion/Invasion
RHAMM	0.2	Adhesion/Invasion
MMP21	0.1	Adhesion/Invasion
