Rank	Parametric p-value	FDR	Geom mean of intensities in Controls	Geom mean of intensities 1.25 Gy	Geom mean of intensities 3.75 Gy	Unique id	Description	Gene symbol
1	< 1e-07	< 1e-07	99.8362204	409.3059743	382.6086902	A_23_P206077	Homo sapiens interferon stimulated exonuclease gene 20kDa-like 1 (ISG20L1), mRNA [NM_022767]	ISG20L1
2	< 1e-07	< 1e-07	1501.485782	5579.011824	3415.179805	A_23_P28886	Homo sapiens proliferating cell nuclear antigen (PCNA), transcript variant 1, mRNA [NM_002592]	PCNA
3	< 1e-07	< 1e-07	63.7404331	193.149297	573.6849626	A_32_P347617	Homo sapiens apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3H (APOBEC3H), mRNA [NM_181773]	RP4-742C19.3
4	< 1e-07	< 1e-07	9.9951187	63.3317368	104.6134258	A_24_P89457	Homo sapiens cyclin-dependent kinase inhibitor 1A (p21, Cip1) (CDKN1A), transcript variant 2, mRNA [NM_078467]	CDKN1A
5	< 1e-07	< 1e-07	220.3585557	635.1875443	722.5723556	A_23_P70290	Homo sapiens transmembrane protein 30A (TMEM30A), mRNA [NM_018247]	TMEM30A
6	< 1e-07	< 1e-07	792.7915399	3097.307368	5258.761343	A_23_P59210	Homo sapiens cyclin-dependent kinase inhibitor 1A (p21, Cip1) (CDKN1A), transcript variant 1, mRNA [NM_000389]	CDKN1A
7	< 1e-07	< 1e-07	57.3494411	322.1940932	418.0137995	A_23_P30254	Homo sapiens polo-like kinase 2 (Drosophila) (PLK2), mRNA [NM_006622]	PLK2
8	< 1e-07	< 1e-07	52.4359531	163.2895598	277.8488737	A_23_P357936	Homo sapiens astrotactin 2 (ASTN2), transcript variant 1, mRNA [NM_014010]	ASTN2
9	< 1e-07	< 1e-07	631.7556341	2814.306518	2681.031721	A_32_P85230	BE646426 7e86f01.x1 NCI_CGAP_CLL1 Homo sapiens cDNA clone IMAGE:3292057 3, mRNA sequence [BE646426]	BE646426
10	< 1e-07	< 1e-07	448.2857239	1635.268271	1029.008419	A_24_P127462	PREDICTED: Homo sapiens similar to Proliferating cell nuclear antigen (PCNA) (Cyclin) (LOC392454), mRNA [XR_018314]	LOC392454
11	< 1e-07	< 1e-07	51.8862581	668.5298021	832.2874001	A_23_P62959	Homo sapiens pleckstrin homology-like domain, family A, member 3 (PHLDA3), mRNA [NM_012396]	PHLDA3
12	< 1e-07	< 1e-07	21.6216409	108.7125196	114.9773166	A_23_P31681	Homo sapiens cDNA FLJ23887 fis, clone LNG14332. [AK074467]	AK074467
13	< 1e-07	< 1e-07	267.4131517	774.1066605	903.768259	A_24_P180424	Homo sapiens transmembrane protein 30A (TMEM30A), mRNA [NM_018247]	TMEM30A
14	< 1e-07	< 1e-07	1967.403357	10722.56288	9684.661104	A_23_P52610	Homo sapiens damage-specific DNA binding protein 2, 48kDa (DDB2), mRNA [NM_000107]	DDB2
15	< 1e-07	< 1e-07	1698.06938	22121.00987	16922.99652	A_23_P38154	Homo sapiens ferredoxin reductase (FDXR), nuclear gene encoding mitochondrial protein, transcript variant 2, mRNA [NM_004110]	FDXR
16	< 1e-07	< 1e-07	2496.694586	4872.082224	7590.044547	A_23_P83192	Homo sapiens phosphohistidine phosphatase 1 (PHPT1), mRNA [NM_014172]	PHPT1
17	< 1e-07	< 1e-07	170.5526939	516.3327439	488.669939	A_23_P139895	Homo sapiens hypothetical protein MGC5370, mRNA (cDNA clone IMAGE:3049213), partial cds. [BC006795]	MGC5370
18	< 1e-07	< 1e-07	461.8413411	1185.927412	1126.47682	A_23_P23221	Homo sapiens growth arrest and DNA-damage-inducible, alpha (GADD45A), mRNA [NM_001924]	GADD45A
19	< 1e-07	< 1e-07	4932.887838	12859.19593	14262.89624	A_23_P382775	Homo sapiens BCL2 binding component 3 (BBC3), mRNA [NM_014417]	BBC3
20	< 1e-07	< 1e-07	27.1778823	107.0727508	75.3548889	A_23_P46618	Homo sapiens plexin A2 (PLXNA2), mRNA [NM_025179]	PLXNA2
21	< 1e-07	< 1e-07	278.9058308	983.7260637	753.7429229	A_23_P128408	Homo sapiens TP53 regulated inhibitor of apoptosis 1 (TRIAP1), mRNA [NM_016399]	TRIAP1
22	< 1e-07	< 1e-07	227.4406075	498.1612089	628.4549942	A_24_P783122	Homo sapiens cDNA FLJ41728 fis, clone HLUNG2015617. [AK123722]	IL10RB
23	< 1e-07	< 1e-07	106.8254911	212.196707	299.4951524	A_23_P352435	Homo sapiens regulator of G-protein signalling 12 (RGS12), transcript variant 2, mRNA [NM_002926]	RGS12
24	< 1e-07	< 1e-07	3685.032686	7270.912149	11444.66646	A_24_P184031	Homo sapiens phosphohistidine phosphatase 1 (PHPT1), mRNA [NM_014172]	PHPT1
25	< 1e-07	< 1e-07	123.4371383	163.213992	251.9612013	A_23_P71790	Homo sapiens MAM domain containing 4 (MAMDC4), mRNA [NM_206920]	MAMDC4
26	< 1e-07	< 1e-07	21.0633773	91.3744121	124.8885692	A_32_P140501	Unknown	A_32_P140501
