Gene	Ratio of Change
CNGA1	-4.4701
RP1	-4.4608
RCVRN	-4.3932
PDE6B	-4.3062
GUCY2F	-3.9616
PDE6A	-3.9498
RS1	-3.8567
RHO	-3.79
TULP1	-3.6546
GRK1	-3.5238
RDH12	-3.4964
OPN1SW	-3.4265
GUCA1B	-3.4165
ADAMTS3	-3.4098
2610034M16RI	-3.3635
IMPG2	-3.3173
GM626	-3.3102
PRPH2	-3.2885
SAG	-3.2643
CALB1	-3.2542
IMPG1	-3.2524
PDE6G	-3.231
WDR17	-3.2248
GNAT1	-3.2196
RHO	-3.1948
SLC24A1	-3.188
VTN	-3.1816
FABP12	-3.1415
ARR3	-3.0916
PDC	-3.0772
ROM1	-2.9229
FAM161A	-2.9159
A930003A15RI	-2.9133
GUCY2F	-4.1373
PDE6B	-4.0316
RCVRN	-3.8163
RHO	-3.7673
2610034M16R1	-3.7485
RP1	-3.5564
PDE6A	-3.5066
CNGA1	-3.4836
REEP6	-3.4382
RS1	-3.3294
SLC24A1	-3.2645
RPE65	-3.2339
ARR3	-3.2278
VTN	-3.1777
TULP1	-3.0543
GUCA1B	-3.041
IMPG1	-3.0188
PDE6G	-2.9703
OPNIMW	-2.9658
CNGB1	-2.9629
GRK1	-2.9333
ME1	-2.9195
CALB1	-2.8971
NRL	-2.8711
SAG	-2.8696
ABCA4	-2.8646
PRPH2	-2.8531
C030002C11RI	-2.8371
RDH12	-2.835
GLBIL2	-2.8234
PEX5L	-2.8231
WDR78	-2.8094
NXNL1	-2.8054
PDE6B	-5.0352
CNGA1	-5.0191
RCVRN	-4.8462
RPE65	-4.8052
PDE6A	-4.7065
RP1	-4.6844
RHO	-4.6441
GUCY2F	-4.6367
RDH12	-4.5129
GNAT1	-4.4516
VTN	-4.3343
GUCA1A	-4.2548
SAG	-4.1852
RHO	-4.1269
TTR	-4.0968
TULP1	-4.0863
GUCA1B	-4.013
PDC	-4.0107
2610034M16RI	-4.0039
SLC24AI	-3.9651
IMPG1	-3.9048
RGR	-3.8508
REEP6	-3.8455
GM626	-3.8261
RS1	-3.7915
OPN1SW	-3.7847
IMPG2	-3.7759
GRK1	-3.7481
CDS1	-3.6674
PRPH2	-3.6533
ROM1	-3.6231
FABP12	-3.6175
PDE6G	-3.4549
CNGA1	-4.6794
RCVRN	-4.4971
PDE6B	-4.4931
RHO	-4.0053
RHO	-3.9785
RP1	-3.9687
PDE6A	-3.8735
GNAT1	-3.7975
RS1	-3.6846
SAG	-3.6444
GUCY2F	-3.638
VTN	-3.5997
SLC24A1	-3.449
2610034M16RI	-3.4238
IMPGI	-3.4029
REEP6	-3.4
GRK1	-3.1713
GUCA1B	-3.1536
GUCA1A	-3.1167
PDC	-3.0939
TULP1	-3.0184
PRPH2	-3.0106
CNGB1	-2.9766
OPN1MW	-2.9231
PDE6G	-2.8083
RPE65	-2.7849
ABCA4	-2.7098
NR2E3	-2.6847
FABP12	-2.6803
PROM1	-2.652
IMPG2	-2.6508
GM626	-2.6288
GM10664	-2.61
OPN1SW	-5.0585
GUCY2F	-4.6778
RCVRN	-4.5381
CNGA1	-4.4204
PDE6B	-4.3056
No gene name	-4.1752
RP1	-4.0818
2610034M16RI	-4.0801
PDE6A	-4.0469
RHO	-3.9724
GRK1	-3.8474
RHO	-3.7115
CDS1	-3.6255
RS1	-3.5685
RDH12	-3.5593
GUCA1B	-3.4517
IMPG1	-3.4482
ARR3	-3.4129
FABP12	-3.3855
C030002C11RI	-3.3297
SLC24A1	-3.3201
REEP6	-3.3172
VTN	-3.3057
SAG	-3.2897
ADAMTS3	-3.1062
WDR17	-3.0986
TULP1	-3.0714
UPK1B	-3.0451
CNGB1	-3.0442
OPN1MW	-3.0287
FAM161A	-3.0234
GLB1L2	-3.0131
PDC	-2.9972
WDR78	-2.9098
GM10664	-2.8845
SAMD7	-2.8688
ADAMTS3	-2.8323
OPN1MW	-2.8125
REEP6	-2.7962
LRIT2	-2.7883
GUCA1A	-2.7699
ABCA4	-2.7201
C030002C11RI	-2.7019
CNGB1	-2.6999
LRRC2	-2.6992
SPATA1	-2.6869
GM626	-2.665
HIST2H3C2	-2.6462
A330023F24RI	-2.6434
PEX5L	-2.6154
PDE6C	-2.6118
TAC1	-2.5092
WDR17	-2.7996
NR2E3	-2.7562
RGR	-2.7358
PROM1	-2.7204
SPATA1	-2.7178
RHO	-2.7129
PLA2R1	-2.7107
GNAT1	-2.701
CDS1	-2.6796
FAM161A	-2.6649
FABP12	-2.6637
LRIT2	-2.6099
ME1	-2.5699
A930003A15RI	-2.5299
3632451O06RI	-2.5294
BST1	-2.5082
GM11744	-2.5007
ABCA4	-3.4477
PROM1	-3.3796
WDR78	-3.3315
CALB2	-3.2487
GLB1L2	-3.2272
NR2E3	-3.2055
PPARGC1A	-3.2005
CNGB1	-3.1234
MPP4	-3.104
WDR17	-3.1008
NRN1	-3.0902
NRL	-3.0787
CALB1	-3.077
PEX5L	-3.0711
GM11744	-3.0574
LGI1	-2.993
FAM161A	-2.9842
GM10664	-2.9635
CHRNB3	-2.9436
SLC17A6	-2.9268
OPN1MW	-2.9101
LRIT2	-2.9017
COX8B	-2.8988
ENPP2	-2.8935
ARR3	-2.8684
HERC3	-2.8628
C030002C11RI	-2.8626
GM626	-2.8602
CD59A	-2.8517
SPATA1	-2.809
ALDOC	-2.8089
LDHB	-2.7821
SAMD7	-2.7803
GM626	-2.7474
UNC13B	-2.7459
RLBP1	-2.726
RGS9	-2.7235
RP1L1	-2.7206
GNB1	-2.7097
PLA2G5	-2.7038
PLA2R1	-2.674
ME1	-2.664
KRT18	-2.6561
TAC1	-2.6465
CLIC6	-2.6461
PPEF2	-2.644
ATP8A2	-2.6388
HK2	-2.638
LRRC67	-2.6246
GRIA3	-2.6234
ZDHHC2	-2.5984
LYNX1	-2.5834
PVALB	-2.5725
GM626	-2.561
NXNL1	-2.5568
AIPL1	-2.5277
LRAT	-2.5118
ME1	-2.5094
CDR2	-2.5021
NRL	-2.6025
WDR17	-2.5942
GLB1L2	-2.5708
RDH12	-2.5568
C530030P08RI	-2.5517
WDR78	-2.5363
No gene name	-2.5165
LRIT2	-2.5045
TAC1	-2.9925
ABCA4	-2.988
LRIT2	-2.9737
PROM1	-2.9684
PDE6G	-2.9669
KRT12	-2.9552
PRPH2	-2.9497
WDR78	-2.9474
GNAT1	-2.9465
PSCA	-2.946
RPE65	-2.9378
PLA2R1	-2.9029
CDR2	-2.9013
NRL	-2.9007
MPP4	-2.8886
GM626	-2.874
GM11744	-2.8575
RABGEF1	-2.8558
TDRD7	-2.8429
PEX5L	-2.8263
UNC13C	-2.7611
NR2E3	-2.7492
APBH	-2.7348
HERC3	-2.7337
PDE6C	-2.7175
GP2	-2.7166
4833423E24RI	-2.7154
DCN	-2.7131
CENPH	2.7061
RGR	-2.7039
CALML3	-2.6967
STFA3	-2.684
GUCA1A	-2.6827
PPEF2	-2.6757
NT5E	-2.667
NXNL1	-2.6568
IMPG2	-2.6363
MLANA	-2.6293
PGLYRP1	-2.6228
C130021120RI	-2.619
GM626	-2.6093
ATP8A2	-2.6083
S100A14	-2.6036
GM10664	-2.6028
CALB2	-2.6025
CHRNB3	-2.5758
TYRP1	-2.5606
LRAT	-2.5599
ADH1	-2.5317
ROM1	-2.5257
CSMD3	-2.5134
PVALB	-2.5085
