miRNA	Case vs LITA p-value	Case vs LITA FC	Carotis vs. LITA p-value	Carotis vs. LITA FC	Aorta vs. LITA p-value	Aorta vs. LITA FC	Femoralis vs. LITA p-value	Femoralis vs. LITA FC
bkv-miR-B1-5p	0.168	-1.27	0.028	-1.52	0.453	-1.2	0.567	-1.12
ebv-miR-BART13	0.782	-1.07	0.004	-1.57	0.758	1.1	0.485	1.16
ebv-miR-BART16	0.105	-1.15	0.234	-1.17	0.328	-1.14	NA	NA
ebv-miR-BART19-3p	<0.001	-3.21	0.017	-2.69	0.001	-3.44	<0.001	-3.57
ebv-miR-BART7	0.01	-1.78	<0.001	-2.32	0.167	-1.54	0.031	-1.58
ebv-miR-BHRF1-1	0.577	-1.05	0.424	-1.09	0.617	-1.07	0.929	1.01
hcmv-miR-UL148D	0.871	-1.01	0.863	-1.02	0.526	-1.08	0.623	1.06
hcmv-miR-UL36	0.784	1.05	0.255	-1.16	0.635	1.12	0.307	1.19
hcmv-miR-UL70-3p	0.012	1.92	0.064	1.76	0.03	1.9	0.027	2.11
hcmv-miR-US33-5p	0.68	1.06	0.42	-1.11	0.576	1.1	0.288	1.19
hcmv-miR-US4	0.67	1.11	0.447	-1.15	0.463	1.27	0.387	1.22
hiv1-miR-H1	0.927	-1.02	0.886	-1.04	0.636	-1.15	0.654	1.13
hiv1-miR-TAR-3p	0.118	-1.13	0.153	-1.19	0.188	-1.15	0.443	-1.07
hsa-let-7a	0.178	1.56	0.836	1.11	0.172	1.88	0.187	1.83
hsa-let-7a	0.929	-1.01	0.905	-1.01	0.741	-1.03	0.757	1.03
hsa-let-7b	0.754	1.06	0.91	-1.03	0.781	1.08	0.608	1.15
hsa-let-7b	0.774	-1.02	0.673	-1.04	0.629	-1.05	0.685	1.03
hsa-let-7c	0.793	-1.05	0.447	-1.24	0.909	1.03	0.895	1.04
hsa-let-7d	0.279	1.43	0.99	1.01	0.223	1.75	0.265	1.66
hsa-let-7d	0.345	-1.08	0.734	-1.05	0.332	-1.13	0.504	-1.08
hsa-let-7e	0.536	1.23	0.934	1.04	0.505	1.37	0.578	1.31
hsa-let-7e	0.231	-1.1	0.613	-1.07	0.359	-1.11	0.257	-1.13
hsa-let-7f	0.133	1.76	0.836	1.12	0.119	2.25	0.133	2.15
hsa-let-7f-1	0.916	-1.01	0.648	-1.04	0.78	-1.02	0.509	1.05
hsa-let-7g	0.063	2.05	0.799	1.15	0.056	2.75	0.051	2.73
hsa-let-7i	0.047	1.91	0.782	1.13	0.051	2.34	0.026	2.65
hsa-let-7i	0.18	1.13	0.874	1.01	0.213	1.17	0.102	1.2
hsa-miR-1	0.959	-1.02	0.822	-1.15	0.979	-1.02	0.883	1.09
hsa-miR-100	0.232	1.38	0.16	1.73	0.414	1.31	0.662	1.17
hsa-miR-101	0.986	1	0.793	-1.06	0.575	1.18	0.676	-1.1
hsa-miR-101	0.1	-1.18	0.605	-1.07	0.222	-1.17	0.009	-1.32
hsa-miR-103	0.471	1.18	0.818	-1.09	0.434	1.3	0.354	1.37
