Symbol	Gene name	Fold	Gene Function
CMTM2	CKLF-like MARVEL transmembrane domain containing 2	8.7	Extracellular space
BMP4	Bone morphogenetic protein 4	1.2	Extracellular space
IL1F9	Interleukin 1 family, member 9	1.2	Extracellular space
IL23A	Interleukin 23, alpha subunit p19	1.4	Extracellular space
IL6ST	Interleukin 6 signal transducer (gp130, oncostatin M receptor)	1.2	Extracellular space
KL	Klotho	1.3	Extracellular space
ORM2	Orosomucoid 2	2.3	Extracellular space
PPBP	Pro-platelet basic protein (chemokine [C-X-C motif] ligand 7)	6.3	Extracellular space
SPP1	Secreted phosphoprotein 1 (osteopontin)	1.3	Extracellular space
SRGN	Serglycin	2.5	Extracellular space
SERPINB2	Serpin peptidase inhibitor, clade B (ovalbumin), member 2	2.3	Extracellular space
SPN	Sialophorin	1.7	Extracellular space
TPT1	Similar to tumour protein, translationally controlled 1; tumour protein, translationally controlled 1	1.3	Extracellular space
SMPDL3A	Sphingomyelin phosphodiesterase, acid-like 3A	1.4	Extracellular space
TGFA	Transforming growth factor-alpha	1.2	Extracellular space
TNFSF9	Tumour necrosis factor (ligand) superfamily, member 9	1.2	Extracellular space
BMP2K	BMP2-inducible kinase	1.3	Regulation of bone mineralization/ossification
BMP4	Bone morphogenetic protein 4	-1.2	Regulation of bone mineralization/ossification
KL	Klotho	1.3	Regulation of bone mineralization/ossification
P2RX7	Purinergic receptor P2X, ligand-gated ion channel, 7	2.5	Regulation of bone mineralization/ossification
SPP1	Secreted phosphoprotein 1	1.2	Regulation of bone mineralization/ossification
SRGN	Serglycin	1.3	Regulation of bone mineralization/ossification
IL6ST	Interleukin 6 signal transducer (gp130, oncostatin M receptor)	2.5	Regulation of bone mineralization/ossification
BAD	BCL2-associated agonist of cell death	-1.1	VEGF signalling pathway
PIK3R1	Phosphoinositide-3-kinase, regulatory subunit 1 (alpha)	1.3	VEGF signalling pathway
PLA2G2D	Phospholipase A2, group IID	1.5	VEGF signalling pathway
PPP3CA	Protein phosphatase 3 (formerly 2B), catalytic subunit, alpha-isoform	1.3	VEGF signalling pathway
KRAS	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	1.2	VEGF signalling pathway
AKT3	v-akt murine thymoma viral oncogene homolog 3 (protein kinase B-gamma)	1.1	VEGF signalling pathway
ACTR3	ARP3 actin-related protein 3 homolog (yeast)	1.3	Neurogenesis
AGTPBP1	ATP/GTP binding protein 1	1.3	Neurogenesis
LHX2	LIM homeobox 2	-1.1	Neurogenesis
NAB2	NGFI-A binding protein 2 (EGR1 binding protein 2)	-1.1	Neurogenesis
NKX2-2	NK2 homeobox 2	-1.1	Neurogenesis
PRDM6	PR domain containing 6	-1.2	Neurogenesis
SIX1	SIX homeobox 1	-1.5	Neurogenesis
BMP4	Bone morphogenetic protein 4	1.2	Neurogenesis
BDNF	Brain-derived neurotrophic factor	1.1	Neurogenesis
CREB1	cAMP responsive element binding protein 1	1.4	Neurogenesis
CLN8	Ceroid-lipofuscinosis, neuronal 8	-1.3	Neurogenesis
CRB1	Crumbs homolog 1 (Drosophila)	1.1	Neurogenesis
DRD2	Dopamine receptor D2	1.2	Neurogenesis
DCLK1	Doublecortin-like kinase 1	-1.2	Neurogenesis
GCM1	Glial cells missing homolog 1 (Drosophila)	1.2	Neurogenesis
GNAT2	Guanine nucleotide binding protein (G protein), alpha-transducing activity polypeptide 2	1.2	Neurogenesis
LST1	Leucocyte-specific transcript 1	1.8	Neurogenesis
NNAT	Neuronatin	1.2	Neurogenesis
NTF3	Neurotrophin 3	1.1	Neurogenesis
NR2F6	Nuclear receptor subfamily 2, group F, member 6	-1.2	Neurogenesis
PTPRF	Protein tyrosine phosphatase, receptor type, F	-1.2	Neurogenesis
SPP1	Secreted phosphoprotein 1	1.3	Neurogenesis
S1PR1	Sphingosine-1-phosphate receptor 1	-1.2	Neurogenesis
SNAP25	Synaptosomal-associated protein, 25 kDa	1.2	Neurogenesis
SS18L1	Synovial sarcoma translocation gene on chromosome 18-like 1	1.2	Neurogenesis
STXBP1	Syntaxin binding protein 1	-1.2	Neurogenesis
TULP3	Tubby-like protein 3	-1.4	Neurogenesis
TUBB1	Tubulin-beta; similar to tubulin-beta5; tubulin-b pseudogene 2; tubulin-beta pseudogene 1	-1.5	Neurogenesis
UNC5B	unc-5 homolog B (Caenorhabditis elegans)	-1.2	Neurogenesis
BTLA	B and T lymphocyte-associated	1.2	Negative regulation of lymphocyte proliferation
LST1	Leucocyte-specific transcript 1	1.8	Negative regulation of lymphocyte proliferation
SPN	Sialophorin	1.7	Negative regulation of lymphocyte proliferation
MAP3K7IP2	Mitogen-activated protein kinase kinase kinase 7 interacting protein 2	1.3	MAPK signalling pathway
RAP1B	RAP1B, member of RAS oncogene family	1.5	MAPK signalling pathway
RAP1A	RAP1A, member of RAS oncogene family	1.4	MAPK signalling pathway
RASGRP4	RAS guanyl releasing protein 4	1.2	MAPK signalling pathway
BDNF	Brain-derived neurotrophic factor	1.1	MAPK signalling pathway
CACNB3	Calcium channel, voltage-dependent, beta 3 subunit	-1.3	MAPK signalling pathway
MAPK9	Mitogen-activated protein kinase 9	1.2	MAPK signalling pathway
MAP2K3	Mitogen-activated protein kinase kinase 3	1.2	MAPK signalling pathway
MAP3K2	Mitogen-activated protein kinase kinase kinase 2	1.7	MAPK signalling pathway
NTF3	Neurotrophin 3	1.1	MAPK signalling pathway
PLA2G2D	Phospholipase A2, group IID	1.5	MAPK signalling pathway
PPMB1	Protein phosphatase 1B (formerly 2C), magnesium-dependent, beta-isoform	1.3	MAPK signalling pathway
PPP3CA	Protein phosphatase 3 (formerly 2B), catalytic subunit, alpha-isoform	1.3	MAPK signalling pathway
KRAS	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	1.2	MAPK signalling pathway
AKT3	v-akt murine thymoma viral oncogene homolog 3 (protein kinase B-gamma)	1.1	MAPK signalling pathway
BAD	BCL2-associated agonist of cell death	-1.1	Focal Adhesion
RAP1A	RAP1A, member of RAS oncogene family	1.4	Focal Adhesion
RAP1B	RAP1B, member of RAS oncogene family	1.5	Focal Adhesion
ITGB4	Integrin-beta 4	-1.3	Focal Adhesion
ITGB5	Integrin-beta 5	-1.5	Focal Adhesion
LAMA2	Laminin-alpha 2	-1.4	Focal Adhesion
LAMA3	Laminin-alpha 3	1.1	Focal Adhesion
MAPK9	Mitogen-activated protein kinase 9	1.2	Focal Adhesion
PIK3R1	Phosphoinositide-3-kinase, regulatory subunit 1 (alpha)	1.3	Focal Adhesion
PPP1CB	Protein phosphatase 1, catalytic subunit, beta-isoform; speedy homolog A (Xenopus laevis)	1.3	Focal Adhesion
PPP1R12A	Protein phosphatase 1, regulatory (inhibitor) subunit 12A	1.3	Focal Adhesion
SPP1	Secreted phosphoprotein 1	1.3	Focal Adhesion
ROCK1	Similar to Rho-associated, coiled-coil containing protein kinase 1; Rho-associated, coiled-coil containing protein kinase 1	1.4	Focal Adhesion
AKT3	v-akt murine thymoma viral oncogene homolog 3 (protein kinase B-gamma)	1.1	Focal Adhesion
