Target Gene	1	2	3	4	5	6
hbB1	206.52	38.05	41.66	58.37	66.36	643.98
HSP70	18.28	541.21	1.31	6.19	12.47	3.45
LITAF	4.49	1.89	12.87	0.93	0.04	90.52
PGRP(Rpi1)	2.75	237.29	1.54	51.09	39.68	1.54
PGRP(Rpi2)	4.45	0.43	3344.49	77.78	11.77	64
PGRP(Rpi3)	19.17	4.61	100.98	3.09	0.28	747.56
PGRP(Rpi5)	0.15	2.41	1.35	0.95	20.63	24.66
TLR2p	6.66	0.48	21.71	2.83	0.83	31.5
A2MRAP	1.16	0.3	6.03	1.18	0.99	13.74
CAbr	0.11	0.02	0.08	0.01	0.01	0.14
CAtr	2.55	4.7	8.34	10.3	3.17	8.16
Ef1a	0.58	0.14	0.23	0.34	0.27	1.83
LBPIP	1.17	0.13	1.33	2.18	0.26	5.8
MMIF	0.2	2.46	0.2	0.13	105.6	0.57
MR	0.01	0.2	0.01	0.02	0.67	0.01
NFkBic	1.93	2.27	8.95	2.92	0.13	83.36
PGRP (Rpi4)	6.09	3.64	3.8	0.23	5.58	29.39
ROSM	0.73	0.9	1.23	1.09	0.61	2.58
