Gene	Gene symbol	GenBank accession no.	Fold (mean) MOI of 0.1 12 h	24 h	Fold (mean) MOI of 1.0 12 h	24 h	Function
Matrix metalloproteinase 12 (macrophage elastase)	MMP12	L23808			2	2.5	Cell motility
Immunoglobulin superfamily containing leucine-rich repeat	ISLR	AB003184				2	Cell adhesion
Microfibrillar-associated protein 4	MFAP4	L38486			2.5	3.7	Cell adhesion
Prostaglandin D2 synthase 21 kDa (brain)	PTGDS	M98539		2	2.2	2.5	Membrane
Solute carrier family 22, member 3	SLC22A3	AJ001417			2	9.2	Transporter
Retinol binding protein 1, cellular	RBP1					3.2	Transporter
SRY (sex determining region Y)-box 4	SOX4	X70683			2.3	3.5	Transcription
Transcriptional activator of the c-fos promoter	CROC4	U49857				3.5	Transcription
RAS guanyl releasing protein 2	RASGRP2	AI688812				3	Signaling
Glutaminase	GLS	AB020645	2	3.1	2.3	4.6	Others
Phosphodiesterase 1A, calmodulin-dependent	PDE1A	U40370				2.4	Others
