# Generate Mapping Tables Script: Version 4 11:06 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:06 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
entrezgene|5243|5243	hgnc_symbol|ABCB1|ABCB1
entrezgene|1244|1244	hgnc_symbol|ABCC2|ABCC2
entrezgene|9429|9429	hgnc_symbol|ABCG2|ABCG2
entrezgene|171586|171586	hgnc_symbol|ABHD3|ABHD3
entrezgene|125|125	hgnc_symbol|ADH1B|ADH1B
entrezgene|231|231	hgnc_symbol|AKR1B1|AKR1B1
entrezgene|57016|57016	hgnc_symbol|AKR1B10|AKR1B10
entrezgene|6718|6718	hgnc_symbol|AKR1D1|AKR1D1
entrezgene|211|211	hgnc_symbol|ALAS1|ALAS1
entrezgene|196394|196394	hgnc_symbol|AMN1|AMN1
entrezgene|287|287	hgnc_symbol|ANK2|ANK2
entrezgene|397|397	hgnc_symbol|ARHGDIB|ARHGDIB
entrezgene|623|623	hgnc_symbol|BDKRB1|BDKRB1
entrezgene|642|642	hgnc_symbol|BLMH|BLMH
entrezgene|735|735	hgnc_symbol|C9|C9
entrezgene|771|771	hgnc_symbol|CA12|CA12
entrezgene|133690|133690	hgnc_symbol|CAPSL|CAPSL
entrezgene|164592|164592	hgnc_symbol|CCDC116|CCDC116
entrezgene|1236|1236	hgnc_symbol|CCR7|CCR7
entrezgene|929|929	hgnc_symbol|CD14|CD14
entrezgene|374286|374286	hgnc_symbol|CDRT1|CDRT1
entrezgene|57530|57530	hgnc_symbol|CGN|CGN
entrezgene|149111|149111	hgnc_symbol|CNIH3|CNIH3
entrezgene|1264|1264	hgnc_symbol|CNN1|CNN1
entrezgene|1286|1286	hgnc_symbol|COL4A4|COL4A4
entrezgene|1401|1401	hgnc_symbol|CRP|CRP
entrezgene|1490|1490	hgnc_symbol|CTGF|CTGF
entrezgene|29119|29119	hgnc_symbol|CTNNA3|CTNNA3
entrezgene|83992|83992	hgnc_symbol|CTTNBP2|CTTNBP2
entrezgene|1524|1524	hgnc_symbol|CX3CR1|CX3CR1
entrezgene|1528|1528	hgnc_symbol|CYB5A|CYB5A
entrezgene|1591|1591	hgnc_symbol|CYP24A1|CYP24A1
entrezgene|1548|1548	hgnc_symbol|CYP2A6|CYP2A6
entrezgene|1549|1549	hgnc_symbol|CYP2A7|CYP2A7
entrezgene|1555|1555	hgnc_symbol|CYP2B6|CYP2B6
entrezgene|1557|1557	hgnc_symbol|CYP2C19|CYP2C19
entrezgene|1576|1576	hgnc_symbol|CYP3A4|CYP3A4
entrezgene|1551|1551	hgnc_symbol|CYP3A7|CYP3A7
entrezgene|1579|1579	hgnc_symbol|CYP4A11|CYP4A11
entrezgene|4051|4051	hgnc_symbol|CYP4F3|CYP4F3
entrezgene|1582|1582	hgnc_symbol|CYP8B1|CYP8B1
entrezgene|3491|3491	hgnc_symbol|CYR61|CYR61
entrezgene|10170|10170	hgnc_symbol|DHRS9|DHRS9
entrezgene|29103|29103	hgnc_symbol|DNAJC15|DNAJC15
entrezgene|26052|26052	hgnc_symbol|DNM3|DNM3
entrezgene|90527|90527	hgnc_symbol|DUOXA1|DUOXA1
entrezgene|144455|144455	hgnc_symbol|E2F7|E2F7
entrezgene|1906|1906	hgnc_symbol|EDN1|EDN1
entrezgene|2167|2167	hgnc_symbol|FABP4|FABP4
entrezgene|55179|55179	hgnc_symbol|FAIM|FAIM
entrezgene|356|356	hgnc_symbol|FASLG|FASLG
entrezgene|10517|10517	hgnc_symbol|FBXW10|FBXW10
entrezgene|121643|121643	hgnc_symbol|FOXN4|FOXN4
entrezgene|2523|2523	hgnc_symbol|FUT1|FUT1
entrezgene|2538|2538	hgnc_symbol|G6PC|G6PC
entrezgene|2617|2617	hgnc_symbol|GARS|GARS
entrezgene|284161|284161	hgnc_symbol|GDPD1|GDPD1
entrezgene|168537|168537	hgnc_symbol|GIMAP7|GIMAP7
entrezgene|144423|144423	hgnc_symbol|GLT1D1|GLT1D1
entrezgene|50810|50810	hgnc_symbol|HDGFRP3|HDGFRP3
entrezgene|3009|3009	hgnc_symbol|HIST1H1B|HIST1H1B
entrezgene|3162|3162	hgnc_symbol|HMOX1|HMOX1
entrezgene|3204|3204	hgnc_symbol|HOXA7|HOXA7
entrezgene|23553|23553	hgnc_symbol|HYAL4|HYAL4
entrezgene|3484|3484	hgnc_symbol|IGFBP1|IGFBP1
entrezgene|3553|3553	hgnc_symbol|IL1B|IL1B
entrezgene|3706|3706	hgnc_symbol|ITPKA|ITPKA
entrezgene|3708|3708	hgnc_symbol|ITPR1|ITPR1
entrezgene|9992|9992	hgnc_symbol|KCNE2|KCNE2
entrezgene|57528|57528	hgnc_symbol|KCTD16|KCTD16
entrezgene|9365|9365	hgnc_symbol|KL|KL
entrezgene|25984 KRT23|25984 KRT23	hgnc_symbol|Keratin 23 (histone deacetylase inducible)|Keratin 23 (histone deacetylase inducible)
entrezgene|3910|3910	hgnc_symbol|LAMA4|LAMA4
entrezgene|93273|93273	hgnc_symbol|LEMD1|LEMD1
entrezgene|4017|4017	hgnc_symbol|LOXL2|LOXL2
entrezgene|2615|2615	hgnc_symbol|LRRC32|LRRC32
entrezgene|84230|84230	hgnc_symbol|LRRC8C|LRRC8C
entrezgene|347731|347731	hgnc_symbol|LRRTM3|LRRTM3
entrezgene|57574|57574	hgnc_symbol|4-Mar|4-Mar
entrezgene|8735|8735	hgnc_symbol|MYH13|MYH13
entrezgene|4620|4620	hgnc_symbol|MYH2|MYH2
entrezgene|25924|25924	hgnc_symbol|MYRIP|MYRIP
entrezgene|123264|123264	hgnc_symbol|OSTbeta|OSTbeta
entrezgene|5146|5146	hgnc_symbol|PDE6C|PDE6C
entrezgene|8864|8864	hgnc_symbol|PER2|PER2
entrezgene|8863|8863	hgnc_symbol|PER3|PER3
entrezgene|5409|5409	hgnc_symbol|PNMT|PNMT
entrezgene|5447|5447	hgnc_symbol|POR|POR
entrezgene|10631|10631	hgnc_symbol|POSTN|POSTN
entrezgene|285755|285755	hgnc_symbol|PPIL6|PPIL6
