Type	Genes down-regulated by <2folds
Accumulation of cells	NA
Cell adhesion	AKT2
Cell adhesion	ITGB1
Cell adhesion	NA
Apoptosis	AKT2
Apoptosis	ARHGDIA
Apoptosis	ATF5
Apoptosis	BRF1
Apoptosis	CALR
Apoptosis	CDC25A
Apoptosis	CDK6
Apoptosis	CEBPA
Apoptosis	COL2A1
Apoptosis	CTBP1
Apoptosis	GALNT10
Apoptosis	HMGA1
Apoptosis	ID3
Apoptosis	IL9R
Apoptosis	ING5
Apoptosis	IRAK1
Apoptosis	ITGB1
Apoptosis	MPRIP
Apoptosis	NF2
Apoptosis	PA2G4
Apoptosis	PAK2
Apoptosis	PDCD6
Apoptosis	POLR2A
Apoptosis	PRDM2
Apoptosis	PRKACA
Apoptosis	SPN
Apoptosis	SRF
Apoptosis	TCF3
Apoptosis	TXN
Apoptosis	YY1
Cell cycle progression	ARID1A
Cell cycle progression	ATF5
Cell cycle progression	CALR
Cell cycle progression	CDC25A
Cell cycle progression	CDK6
Cell cycle progression	CEBPA
Cell cycle progression	ID3
Cell cycle progression	ITGB1
Cell cycle progression	NUCKS1
Cell cycle progression	PA2G4
Cell cycle progression	SMARCA4
Cell cycle progression	TCF3
Cell cycle progression	TRRAP
Cell cycle progression	YY1
Cell cycle arrest	ARID1A
Cell cycle arrest	CALR
Cell cycle arrest	CDC25A
Cell cycle arrest	CDK6
Cell cycle arrest	CEBPA
Cell cycle arrest	ITGB1
Cell cycle arrest	PA2G4
Cell cycle arrest	SMARCA4
Cell cycle arrest	TCF3
Cell cycle arrest	YY1
Cell division arrest	ARID1A
Cell division arrest	ATF5
Cell division arrest	CALR
Cell division arrest	CDC25A
Cell division arrest	CDK6
Cell division arrest	CEBPA
Cell division arrest	ID3
Cell division arrest	ITGB1
Cell division arrest	PA2G4
Cell division arrest	SMARCA4
Cell division arrest	TCF3
Cell division arrest	TRRAP
Cell division arrest	YY1
Cell division arrest	HMGA1
Cell death	AKT2
Cell death	ARHGDIA
Cell death	ATF5
Cell death	BRF1
Cell death	CALR
Cell death	CDC25A
Cell death	CDK6
Cell death	CEBPA
Cell death	COL2A1
Cell death	CTBP1
Cell death	GALNT10
Cell death	HMGA1
Cell death	ID3
Cell death	IL9R
Cell death	ING5
Cell death	IRAK1
Cell death	ITGB1
Cell death	MPRIP
Cell death	NF2
Cell death	PA2G4
Cell death	PAK2
Cell death	PDCD6
Cell death	POLR2A
Cell death	PRDM2
Cell death	PRKACA
Cell death	RAD51L3
Cell death	SPN
Cell death	SRF
Cell death	TCF3
Cell death	TIMM50
Cell death	TXN
Cell death	UBTF
Cell death	YY1
Cell movement	ITGB1
Cell growth	AKT2
Cell growth	ATF5
Cell growth	BAT2D1
Cell growth	BRF1
Cell growth	CALR
Cell growth	CBX2
Cell growth	CDC42BPB
Cell growth	CDK6
Cell growth	CEBPA
Cell growth	COL2A1
Cell growth	CTBP1
Cell growth	CYP1A1
Cell growth	EIF4G1
Cell growth	GTPBP1
Cell growth	HMGA1
Cell growth	ID3
Cell growth	IL9R
Cell growth	ITGB1
Cell growth	MAZ
Cell growth	MYBBP1A
Cell growth	NF2
Cell growth	PA2G4
Cell growth	PIP4K2B
Cell growth	PRKACA
Cell growth	SLC19A1
Cell growth	SMARCA4
Cell growth	SOS1
Cell growth	SRF
Cell growth	TCF3
Cell growth	TRRAP
Cell growth	TXN
Cell growth	UBTF
Cell invasion	AKT2
Cell invasion	ITGB1
Cell invasion	YY1
Cell migration	NA
Cell morphology	CDC42BPB
Cell morphology	CDC42SE1
Cell morphology	GRLF1
Cell morphology	IRAK1
Cell morphology	ITGB1
Cell morphology	MPRIP
Cell morphology	NF2
Cell morphology	SMARCA4
Cell morphology	SOS1
Cell morphology	SPN
Cell morphology	SRF
Cell morphology	TLN1
Cell morphology	WASF2
Cell proliferation	AKT2
Cell proliferation	ATF5
Cell proliferation	CALR
Cell proliferation	CDC25A
Cell proliferation	CDK6
Cell proliferation	CEBPA
Cell proliferation	COL2A1
Cell proliferation	CTBP1
Cell proliferation	DDX11
Cell proliferation	FBRS
Cell proliferation	HMGA1
Cell proliferation	HS6ST1
Cell proliferation	ID3
Cell proliferation	IL9R
Cell proliferation	ING5
Cell proliferation	IRAK1
Cell proliferation	ITGB1
Cell proliferation	MAPKAPK2
Cell proliferation	MYBBP1A
Cell proliferation	NF2
Cell proliferation	PA2G4
Cell proliferation	PATZ1
Cell proliferation	PIP4K2B
Cell proliferation	PRKACA
Cell proliferation	SLC19A1
Cell proliferation	SMARCA4
Cell proliferation	SOS1
Cell proliferation	SPN
Cell proliferation	SRF
Cell proliferation	TCF3
Cell proliferation	TRRAP
Cell proliferation	TXN
Cell proliferation	WASF2
Cell proliferation	YY1
Transcription	ARID1A
Transcription	ATF5
Transcription	BRF1
Transcription	CALR
Transcription	CBX2
Transcription	CCNK
Transcription	CEBPA
Transcription	CHD4
Transcription	CTBP1
Transcription	EHMT1
Transcription	EHMT2
Transcription	FOXK2
Transcription	GRLF1
