Gene	G:B	Bad basal	Good  Basal	Good  CONT	Good  CPM	Good  OXP	OX:CO	Category
HLA-A	0.68	11,975	8,167	9,915	9,063	9,749	0.98	Class I
HLA-B	0.74	7,653	5,696	7,049	6,186	4,591	0.65	Class I
HLA-C	1.08	101	110	111	117	117	1.06	Class I
HLA-E	1.05	1,232	1,291	866	988	917	1.06	Class I
HLA-F	0.54	1,636	878	831	1,029	877	1.06	Class I
HLA-G	0.33	534	176	170	228	199	1.17	Class I
HLA-DMA	1.15	10,983	12,601	9,289	9,652	9,723	1.05	Class II
HLA-DMB	1.02	13,166	13,398	10,193	11,112	9,302	0.91	Class II
HLA-DOA	1.86	945	1,760	1,297	1,472	1,269	0.98	Class II
HLA-DOB	1.82	76	139	144	175	152	1.05	Class II
HLA-DPA1	0.97	19,841	19,343	17,304	16,720	16,266	0.94	Class II
HLA-DPB1	2	729	1,458	967	955	1,276	1.32	Class II
HLA-DQB1	2.7	1,685	4,547	2,811	3,579	3,311	1.18	Class II
HLA-DQB2	4.19	60	252	101	112	96	0.95	Class II
HLA-DRA	1.24	21,148	26,227	22,990	22,698	22,664	0.99	Class II
HLA-DRB1	0.05	3,483	188	166	203	194	1.17	Class II
HLA-DRB3	1.29	3,407	4,405	3,563	3,430	4,528	1.27	Class II
HLA-DRB4	1.8	6,310	11,364	10,919	10,685	11,591	1.06	Class II
IL1A	0.52	134	69	391	271	414	1.06	ILs
IL1B	0.22	561	122	1,948	1,443	3,143	1.61	ILs
IL6	0.68	115	78	235	124	448	1.91	ILs
IL8	0.07	4,971	366	13,714	10,226	18,733	1.37	ILs
IL10	1.23	693	850	492	566	676	1.37	ILs
IL16	1.56	70	108	115	101	102	0.89	ILs
IL18	1.1	5,865	6,457	5,158	5,220	5,324	1.03	ILs
IL1R1	0.89	103	92	109	93	100	0.92	IL receptors
IL1R2	0.36	1,019	367	1,812	1,988	1,344	0.74	IL receptors
IL2RA	0.9	66	60	76	77	102	1.34	IL receptors
IL2RG	0.73	117	86	111	118	113	1.02	IL receptors
IL3R	0.34	272	92	130	138	173	1.33	IL receptors
IL4R	0.97	159	154	177	155	200	1.13	IL receptors
IL6R	1.16	79	92	106	99	94	0.89	IL receptors
IL7R	0.77	464	357	2,540	2,620	3,753	1.48	IL receptors
IL10RA	0.56	1,770	988	1,161	1,333	1,231	1.06	IL receptors
IL10RB	0.87	1,180	1,029	1,529	1,513	1,808	1.18	IL receptors
IL11R	0.9	149	134	128	125	115	0.9	IL receptors
IL13RA1	0.7	2,665	1,870	3,603	2,714	2,727	0.76	IL receptors
IL17RA	0.57	298	170	234	243	177	0.75	IL receptors
IL17RD	0.94	378	354	249	279	354	1.42	IL receptors
IL21R	0.78	105	82	94	101	93	0.99	IL receptors
IL27R	1.04	987	1,027	1,469	1,463	1,003	0.68	IL receptors
IL28RA	0.69	138	94	95	89	101	1.07	IL receptors
TLR1	1.38	122	168	196	174	238	1.21	Toll-like receptors
TLR2	1.32	58	77	102	80	112	1.1	Toll-like receptors
TLR4	4.66	101	471	315	291	321	1.02	Toll-like receptors
TLR5	4.57	65	296	112	107	124	1.1	Toll-like receptors
TLR6	1.54	103	159	216	231	206	0.96	Toll-like receptors
TLR7	2.62	68	177	67	65	74	1.12	Toll-like receptors
TLR8	0.86	733	627	830	705	593	0.71	Toll-like receptors
CCR7	0.59	843	500	1,343	1,293	1,222	0.91	DC maturation/activation markers
CCL22	0.16	9,540	1,491	6,245	5,757	5,636	0.9	DC maturation/activation markers
CD40	0.72	158	113	147	174	168	1.14	DC maturation/activation markers
CD80	0.83	130	108	223	205	284	1.27	DC maturation/activation markers
CD83	0.48	2,267	1,087	1,540	1,502	1,835	1.2	DC maturation/activation markers
CD86	0.92	2,571	2,363	3,118	3,142	4,037	1.29	DC maturation/activation markers
SOCS2	1.17	110	129	178	174	211	1.18	DC maturation/activation markers
NFKB1	0.61	3,251	1,997	2,490	2,117	3,952	1.59	DC maturation/activation markers
