Probe Set ID	Gene Title	Gene Symbol	2 wk C57BL/6	2 wk C3H/HeN	2 wk IL-10	4wk C57BL/6	4wk C3H/HeN	4wk IL-10	Category
1416136_at	MMP 2	Mmp2	NC	NC	NC	NC	3.3	NC	MMPs and TIMPs
1418945_at	MMP 3	Mmp3	7.7	18	34	5.3	13	45	MMPs and TIMPs
1449366_at	MMP 8	Mmp8	NC	NC	4.9	NC	NC	2.1	MMPs and TIMPs
1448291_at	MMP 9	Mmp9	NC	3.9	NC	NC	NC	NC	MMPs and TIMPs
1417256_at	MMP 13	Mmp13	NC	10	NC	NC	13	3.0	MMPs and TIMPs
1417282_at	MMP 23	Mmp23	NC	2.4	NC	NC	2.6	NC	MMPs and TIMPs
1460227_at	TIMP 1	Timp1	NC	10	4.0	NC	5.8	3.8	MMPs and TIMPs
1423606_at	Periostin, osteoblast-specific factor	Postn	NC	6.3	NC	NC	6.0	NC	Chondrocyte related
1418365_at	Cathepsin H	Ctsh	2.5	6.2	5.7	2.1	3.7	5.9	Chondrocyte related
1450652_at	Cathepsin K	Ctsk	NC	2.7	NC	NC	3.8	NC	Chondrocyte related
1421114_a_at	Dermatan sulphate proteoglycan 3	Dspg3	NC	2.8	NC	NC	3.7	NC	Chondrocyte related
1423607_at	Lumican	Lum	NC	3.7	NC	NC	6.6	NC	Chondrocyte related
1423110_at	Procollagen, type I,  2	Col1a2	NC	2.1	NC	NC	2.3	NC	Chondrocyte related
1427884_at	Procollagen, type III,  1	Col3a1	NC	8.8	NC	NC	7.9	NC	Chondrocyte related
1450625_at	Procollagen, type V,  2	Col5a2	NC	3.7	NC	NC	4.6	NC	Chondrocyte related
