Curated miRBase	p-value	Fold change	Regulation	miRNA
hsa-miR-30d	0.0000287	2.1899486	up	miR-30d
hsa-miR-10b	0.0000718	2.198242	up	miR-10b
hsa-miR-151-3p	0.00011	1.5888969	up	miR-151-3p
hsa-miR-221	0.000277	1.8342524	down	miR-221
hsa-miR-371-5p	0.000286	2.5624688	up	miR-371-5p
hsa-miR-34a	0.000488	1.8508567	up	miR-34a
hsa-miR-195	0.000783	1.9590815	up	miR-195
hsa-miR-222	0.00114826	1.8471495	down	miR-222
hsa-miR-221	0.00141856	1.7764689	down	miR-221
hsa-miR-151-5p	0.001785267	1.5776882	up	miR-151-5p
hsa-miR-100	0.002415404	2.1998532	up	miR-100
hsa-miR-31	0.002547348	1.5218004	up	miR-31
hsa-miR-7	0.003192005	1.7498658	down	miR-7
hsa-miR-663	0.006109376	5.3364143	down	miR-663
hsa-miR-LAT	0.006485099	2.6114473	up	miR-LAT
hsa-miR-193b	0.008265751	1.5442388	down	miR-193b
hsa-miR-K12-3	0.017010188	1.9484417	up	miR-K12-3
hsa-miR-30e	0.018800007	1.6339021	down	miR-30e
hsa-miR-134	0.020959264	1.7366065	up	miR-134
hsa-miR-18a	0.0239308	2.1848128	down	miR-18a
hsa-miR-150	0.024784068	2.3021426	up	miR-150
hsa-miR-923	0.028573766	1.6968414	down	miR-923
