Affy_ID	Gene Symbol	SAM-Score	direction of prognostic value (poor/good)
211506_s_at	IL8	3.754	POOR
211708_s_at	SCD	3.377	POOR
39249_at	AQP3	3.308	POOR
202859_x_at	IL8	3.299	POOR
202627_s_at	SERPINE1	3.136	POOR
212909_at	LYPDC1	3.118	POOR
200737_at	PGK1	3.09	POOR
204344_s_at	SEC23A	3.075	POOR
205810_s_at	WASL	3.071	POOR
217356_s_at	PGK1	3.031	POOR
215779_s_at	HIST1H2BG	3.017	POOR
212344_at	SULF1	3.008	POOR
209875_s_at	SPP1	3.002	POOR
219434_at	TREM1	2.982	POOR
219508_at	GCNT3	2.966	POOR
208881_x_at	IDI1	2.959	POOR
215427_s_at	ZCCHC14	2.958	POOR
214603_at	MAGEA2	2.956	POOR
219875_s_at	PNAS-4	2.951	POOR
204083_s_at	TPM2	2.948	POOR
218468_s_at	GREM1	2.937	POOR
204615_x_at	IDI1	2.902	POOR
212354_at	SULF1	2.858	POOR
218469_at	GREM1	2.836	POOR
212353_at	SULF1	2.809	POOR
202497_x_at	SLC2A3	2.797	POOR
