SYMBOL	GENE NAME	FOLD CHANGE IN LG ASTROCYTES vs. NORMAL ASTROCYTES	FOLD CHANGE IN GBM ASTROCYTES vs. NORMAL ASTROCYTES
CELA1	chymotrypsin-like elastase family, member 1	10.5519	13.3952
EGR2	early growth response 2	7.6369	10.8328
HLA-DQB1	major histocompatibility complex, class II, DQ beta 1	6.25566	8.3881
H2-T10	histocompatibility 2, T region locus 10	8.4733	8.05291
IFIT2	interferon-induced protein with tetratricopeptide repeats 2	6.4663	6.16857
HLA-DMA	major histocompatibility complex, class II, DM alpha	5.9966	6.05294
IRF8	interferon regulatory factor 8	5.36476	5.96934
CD74	CD74 molecule, major histocompatibility complex, class II invariant chain	3.15685	5.06946
CD83	CD83 molecule	4.94275	4.90292
IRGM	immunity-related GTPase family, M	5.48927	4.67357
HLA-DRB1	major histocompatibility complex, class II, DR beta 1	4.5182	4.55871
HLA-G	major histocompatibility complex, class I, G	5.10145	4.43746
MBP	myelin basic protein	4.50303	4.43416
B2M	beta-2-microglobulin	4.55961	4.33509
HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1	3.50967	4.12567
myef2	myelin expression factor 2	3.91182	3.95003
CNTN6	contactin 6	5.53171	3.69497
NFATC2	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2	4.19173	3.6898
RBPJL	recombination signal binding protein for immunoglobulin kappa J region-like	3.4463	3.56454
IL17D	interleukin 17D	3.91107	3.53862
MAPK8IP2	mitogen-activated protein kinase 8 interacting protein 2	3.3113	3.35113
GBP4	guanylate binding protein 4	4.09545	3.33181
