Genes	TaqMan assay ID	P	% CV support	Mean expression in low-risk group	Mean expression in high-risk group
GPX3	Hs00173566_m1	0.0003	100	-0.47	1.16
APC	Hs00181051_m1	0.0009	100	-0.15	-0.09
BAG3	Hs00188713_m1	0.0012	100	-1.35	-1.14
S100A10	Hs00237010_m1	0.0013	100	2.47	3.35
EGFR	Hs00193306_m1	0.0023	98.75	-1.24	-0.62
ITGAE	Hs00559580_m1	0.0038	98.75	-3.02	-4.64
MAPK3	Hs00385075_m1	0.0053	93.75	0.72	0.87
TAP1/ABCB2	Hs00388682_m1	0.0056	96.25	3.09	1.9
BNIP3	Hs00969291_m1	0.0063	90	2.05	2.53
MMP9	Hs00234579_m1	0.0074	86.25	0.43	-0.83
FASLG	Hs00181225_m1	0.0085	66.25	-4.08	-5.49
