NAME	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE
CHR2P16	21	0.74945766	2.3094275	0	0	0	2597	tags=76%, list=17%, signal=92%
CHR15Q21	62	0.59007984	2.2787135	0	0	0	3432	tags=63%, list=23%, signal=81%
CHR14Q21	34	0.6477854	2.2085516	0	0	0	1997	tags=47%, list=13%, signal=54%
CHR1P22	50	0.5961038	2.1988456	0	0	0	4170	tags=56%, list=28%, signal=77%
CHR4Q21	65	0.55310494	2.1596608	0	0	0	4486	tags=55%, list=30%, signal=78%
CHR5Q14	27	0.6772984	2.1558857	0	0	0	3682	tags=70%, list=24%, signal=93%
CHR2P21	30	0.6520282	2.14923	0	0	0	2075	tags=47%, list=14%, signal=54%
CHR4Q31	48	0.5744111	2.1395051	0	0	0	4614	tags=60%, list=31%, signal=87%
CHR13Q12	52	0.56731373	2.1184146	0	0.000137634	0.001	3675	tags=54%, list=24%, signal=71%
CHR13Q14	46	0.583677	2.1149585	0	0.000123871	0.001	3859	tags=63%, list=26%, signal=84%
CHR3Q22	26	0.6507226	2.1049962	0	0.00011261	0.001	2908	tags=62%, list=19%, signal=76%
CHR1P31	55	0.55902237	2.0992923	0	0.000103226	0.001	3053	tags=45%, list=20%, signal=57%
CHR18P11	47	0.57443875	2.0992627	0	9.52854E-05	0.001	2332	tags=38%, list=15%, signal=45%
CHR3Q12	25	0.66407317	2.0956676	0	8.84793E-05	0.001	3231	tags=40%, list=21%, signal=51%
CHR2Q31	55	0.5432614	2.0353198	0	0.000614603	0.008	4291	tags=58%, list=28%, signal=81%
CHR12P11	22	0.64722145	2.0199325	0	0.000866013	0.012	4191	tags=68%, list=28%, signal=94%
CHR18Q11	27	0.6264994	2.018064	0	0.000815071	0.012	3376	tags=52%, list=22%, signal=67%
CHR3Q26	43	0.5610755	2.0162807	0	0.00076979	0.012	4545	tags=56%, list=30%, signal=80%
CHR6Q22	49	0.54041535	1.9919412	0	0.001223421	0.02	5068	tags=65%, list=34%, signal=98%
CHR5Q22	13	0.7196819	1.954348	0	0.001977088	0.034	3259	tags=77%, list=22%, signal=98%
CHR5Q12	22	0.6461643	1.9528257	0	0.002047073	0.037	3894	tags=68%, list=26%, signal=92%
CHR2Q32	37	0.55802727	1.9468523	0	0.002005361	0.038	4461	tags=57%, list=30%, signal=80%
CHR12Q23	42	0.5414583	1.9192398	0	0.003119301	0.061	4465	tags=55%, list=30%, signal=78%
CHR12P12	41	0.53445214	1.9190418	0	0.00298933	0.061	4863	tags=56%, list=32%, signal=83%
CHR2Q33	66	0.49138486	1.9105467	0	0.003232725	0.069	4046	tags=52%, list=27%, signal=70%
CHR12Q14	25	0.60864127	1.9101851	0.001718213	0.003108389	0.069	4035	tags=64%, list=27%, signal=87%
CHR2P15	10	0.7713978	1.9021658	0.00177305	0.003253299	0.074	1616	tags=70%, list=11%, signal=78%
CHR18Q21	63	0.49221635	1.8941256	0	0.003420765	0.08	3582	tags=46%, list=24%, signal=60%
CHR14Q22	40	0.5327986	1.8863881	0.001589825	0.003789049	0.092	3185	tags=60%, list=21%, signal=76%
CHR6P23	15	0.67188746	1.8693267	0.003558719	0.004624535	0.115	4824	tags=87%, list=32%, signal=127%
CHR8Q12	18	0.6262777	1.8631059	0	0.004842639	0.124	4360	tags=72%, list=29%, signal=101%
CHR6Q23	38	0.51849	1.8252069	0.001602564	0.007840168	0.19	3985	tags=53%, list=26%, signal=71%
CHR12Q15	23	0.57571054	1.8168316	0.010256411	0.008650025	0.214	3942	tags=57%, list=26%, signal=76%
CHR5Q21	18	0.6191655	1.810045	0.001709402	0.008895359	0.225	4357	tags=56%, list=29%, signal=78%
CHR7Q21	60	0.47664487	1.8046764	0	0.009207464	0.237	2686	tags=35%, list=18%, signal=42%
CHR9Q22	66	0.46291944	1.8042103	0	0.008985889	0.238	3878	tags=50%, list=26%, signal=67%
CHR13Q22	11	0.7216845	1.804192	0.003552398	0.008743028	0.238	2730	tags=73%, list=18%, signal=89%
CHR8Q23	16	0.6436236	1.8013271	0.005181347	0.00887592	0.247	1366	tags=44%, list=9%, signal=48%
CHR13Q32	24	0.5791733	1.7985939	0.001703578	0.008972663	0.252	3692	tags=50%, list=24%, signal=66%
CHR3Q13	59	0.46887958	1.7954571	0	0.009153453	0.263	3934	tags=44%, list=26%, signal=59%
CHR6Q21	44	0.4958152	1.7928468	0.003252032	0.009388682	0.274	5325	tags=77%, list=35%, signal=119%
CHR1Q41	30	0.53931093	1.7805337	0.005025126	0.010279223	0.305	3590	tags=43%, list=24%, signal=57%
CHR18Q22	18	0.5905124	1.7548087	0.005	0.01311409	0.372	3031	tags=44%, list=20%, signal=56%
CHR2Q23	15	0.62598985	1.7526888	0.003521127	0.013208943	0.385	4963	tags=73%, list=33%, signal=109%
CHR2Q13	15	0.62819195	1.7426286	0.008833922	0.014450728	0.419	4146	tags=67%, list=27%, signal=92%
CHR4P15	32	0.5186175	1.7377646	0	0.014707076	0.432	4761	tags=63%, list=32%, signal=91%
CHR4Q22	21	0.5702649	1.7315398	0.005272408	0.015287658	0.455	2296	tags=43%, list=15%, signal=50%
CHR21Q11	11	0.6823134	1.7269979	0.005291005	0.015615065	0.47	1466	tags=55%, list=10%, signal=60%
CHR8P22	31	0.5211596	1.7205926	0.003448276	0.016230065	0.488	2943	tags=39%, list=19%, signal=48%
CHRXQ22	51	0.45839536	1.7195538	0	0.016224433	0.493	4309	tags=41%, list=29%, signal=57%
CHR5Q13	36	0.5048317	1.7191691	0	0.016069539	0.496	4295	tags=58%, list=28%, signal=81%
CHR14Q23	34	0.50252646	1.7180102	0.006666667	0.01593934	0.5	3511	tags=44%, list=23%, signal=57%
CHR13Q13	20	0.56743973	1.7143558	0.006756757	0.016206233	0.516	4074	tags=65%, list=27%, signal=89%
CHR2Q24	30	0.5161463	1.7131118	0.001597444	0.016098462	0.521	4011	tags=47%, list=27%, signal=63%
CHR9P24	32	0.5176236	1.7123675	0.001620746	0.01593337	0.522	4197	tags=59%, list=28%, signal=82%
CHR5Q11	23	0.5481139	1.7105346	0.008547009	0.015937928	0.53	3929	tags=52%, list=26%, signal=70%
CHR8Q21	37	0.48909816	1.6972177	0.005084746	0.017765295	0.579	3678	tags=41%, list=24%, signal=53%
CHR2P22	29	0.51348966	1.6874365	0.006633499	0.019366885	0.615	3941	tags=72%, list=26%, signal=98%
CHR4Q23	16	0.59813404	1.6853237	0.011764706	0.019553747	0.624	3572	tags=56%, list=24%, signal=74%
CHR3Q25	32	0.4970628	1.6688919	0.006722689	0.022230197	0.681	3983	tags=56%, list=26%, signal=76%
CHR5Q15	11	0.6425339	1.6635257	0.013937282	0.023178132	0.701	3992	tags=73%, list=26%, signal=99%
CHR4Q25	27	0.5129691	1.6583431	0.011217949	0.023855073	0.715	3673	tags=41%, list=24%, signal=54%
CHR4Q35	22	0.54298544	1.6535628	0.012522361	0.0248571	0.738	2678	tags=41%, list=18%, signal=50%
CHR18Q12	39	0.46962267	1.6523994	0.006546645	0.024773458	0.742	2918	tags=41%, list=19%, signal=51%
