Probeset	Symbol	Name	Asym		Sym		p53Sym		FC	pfp	Localization
NM_177702_at	4833427G06Rik	RIKEN cDNA 4833427G06 gene	8.1	P	3.56	A	4.81	! PA	4.54	0	cytoplasmic
NM_010145_at	Ephx1	epoxide hydrolase 1, microsomal	11.65	P	7.8	P	10.2	P	3.85	0	cytoplasmic
NM_028072_at	Sulf2	sulfatase 2	9.33	P	5.44	A	7.1	! PA	3.89	0	cytoplasmic, secreted
NM_021897_at	Trp53inp1	transformation related protein 53 inducible nuclear protein 1	8.02	P	4.37	! PAA	6.67	P	3.65	0	cytoplasmic
NM_010158_at	Khdrbs3	KH domain containing, RNA binding, signal transduction associated 3	7.4	P	3.76	A	3.48	A	3.63	0	cytoplasmic
NM_001111099_at	Cdkn1a	cyclin-dependent kinase inhibitor 1A (P21)	9.66	P	5.86	A	7.44	P	3.81	0.001	cytoplasmic
NM_001161432_at	Eda2r	ectodysplasin A2 isoform receptor	7.75	P	4.02	A	5.38	P	3.73	0.001	type II
NM_009964_at	Cryab	crystallin, alpha B	10.37	P	7.46	P	9.15	P	2.91	0	cytoplasmic
NM_009831_at	Ccng1	cyclin G1	12.09	P	9.19	P	10.85	P	2.91	0	cytoplasmic
NM_181397_at	Rftn1	raftlin lipid raft linker 1	7.22	P	4.29	A	5.42	P	2.93	0	cytoplasmic
NM_021515_at	Ak1	adenylate kinase 1	10.7	P	7.95	P	9.53	P	2.74	0	cytoplasmic
NM_023633_at	2410016O06Rik	RIKEN cDNA 2410016O06 gene	7.81	! PMA	5.13	A	5.21	A	2.68	0	cytoplasmic
NM_145448_at	9030617O03Rik	RIKEN cDNA 9030617O03 gene	8.95	P	6.37	! MMA	7.73	P	2.58	0	cytoplasmic
NM_007570_at	Btg2	B-cell translocation gene 2, anti-proliferative	8.71	P	6.32	P	7.02	P	2.39	0	cytoplasmic
NR_026733_at	3110039M20Rik	RIKEN cDNA 3110039M20 gene	6.49	P	4.16	A	4.89	P	2.33	0	non-coding RNA
XM_916809_at	LOC640067	Derived by automated computational analysis using gene prediction method: GNOMON. Supporting evidence includes similarity to: 14 ESTs, 6 Proteins	6.26	! MMM	3.89	! MMA	4	! AM	2.36	0	cytoplasmic
NM_153679_at	Cpt1c	carnitine palmitoyltransferase 1c	9.83	P	7.56	P	8.43	P	2.27	0	cytoplasmic, multipass
NM_010442_at	Hmox1	heme oxygenase (decycling) 1	11.47	P	9.21	P	10.14	P	2.25	0	cytoplasmic, type II
NM_008046_at	Fst	follistatin	8.67	P	6.44	P	6.66	P	2.24	0	secreted
NM_019413_at	Robo1	roundabout homolog 1 (Drosophila)	6.81	P	4.56	P	5.62	P	2.26	0	cytoplasmic, type II
NM_008529_at	Ly6e	lymphocyte antigen 6 complex, locus E	10.22	P	8.05	P	7.83	! PA	2.17	0	secreted, type I
NM_026428_at	Dcxr	dicarbonyl L-xylulose reductase	8.99	P	6.85	P	6.16	A	2.13	0	cytoplasmic
NM_010786_at	Mdm2	transformed mouse 3T3 cell double minute 2	10.9	P	8.9	P	9.62	P	2	0	cytoplasmic
NM_172647_at	F11r	F11 receptor	6.98	P	4.93	A	5.62	! MA	2.04	0	type I
NM_177715_at	Kctd12	potassium channel tetramerisation domain containing 12	5.85	P	3.99	! PAP	3.54	A	1.86	0.001	cytoplasmic
NM_145570_at	Fam176a	family with sequence similarity 176, member A	6.9	P	5.06	P	4.55	A	1.84	0.001	type II
NM_013589_at	Ltbp2	latent transforming growth factor beta binding protein 2	10.6	P	8.8	P	7.97	P	1.8	0.001	secreted
