Gene	foldchange	median in MB	median in PPC	median in BMPC	median in MM
IL10RA	2.8	929	294	428	212
FZD3	2	24	45	52	80
FZD1	2.7	25	48	92	75
FZD6	3.2	30.5	60	138	229
IL6ST	3.3	263.5	516	1220	1681
IL15RA	3.5	58.5	179	251	142
IL6R	6.8	64	816	564	502
c-Met	7.1	5.5	60	19	78
TNFRSF17	16.3	184.5	2525	3373	3794
IL21R	27.3	4.5	244	58	6
IL21R	4.2	4.5	244	58	6
FZD1	2	25	48	96	75
TNFRSF1A	2	48	42	85	63
FZD6	2.3	30.5	60	138	229
IL6ST	2.4	263.5	516	1220	1681
NTRK2	2.4	91	45	107	84
NOTCH4	2.4	59	29	69	40
CCR1	3.4	76.5	74	248	136
FZD7	3.7	30.5	35	128	102
FZD8	3.9	67.5	12	47	34
LIFR	12	5	3	36	16
FZD2	70.7	9.5	3	212	30
FZD2	7	9.5	3	212	30
