Gene ID	Gene name	Fold change
CYP1A1	Cytochrome P450, family 1, subfamily A, polypeptide 1	7.5
IL6ST	Interleukin 6 signal transducer (gp130, oncostatin M receptor)	6.4
AP3D1	Adaptor-related protein complex 3, delta 1 subunit	5.1
WASF2	WAS protein family, member 2	4.1
VAPB	VAMP- (vesicle-associated membrane-protein-)associated protein B and C	3.9
NFAT5	Nuclear factor of activated T cells 5, tonicity-responsive	3.8
THRA	Thyroid hormone receptor, alpha (erythroblastic leukemia viral (v-erb-a) oncogene homolog, avian)	3.6
GANAB	Glucosidase, alpha; neutral AB	3.6
BDP1	B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB	3.4
SMARCC1	SWI/SNF related, matrix associated, actin-dependent regulator of chromatin, subfamily c, member 1	3.2
TRUB1	TruB pseudouridine (psi) synthase homolog 1 (E. coli)	?4.4
HNRNPA1	Heterogeneous nuclear ribonucleoprotein A1	?3.9
SLC39A14	Solute carrier family 39 (zinc transporter), member 14	?3.6
NXT2	Nuclear transport factor-2-like export factor 2	?3.4
MALAT1	Metastasis-associated lung adenocarcinoma transcript 1 (nonprotein coding)	?3.2
LARP5	La ribonucleoprotein domain family, member 5	?3.0
FGB	Fibrinogen beta chain	?2.8
ACTC1	Actin, alpha, cardiac muscle 1	?2.8
TFRC	Transferrin receptor (p90, CD71)	?2.8
RPS27A	Ribosomal protein S27a	?2.7
