Gene functional classification	Number of genes (%)	Gene symbols	Enrichment scores range
Group 1. Membrane-associated glycoproteins (including proteases)	26 (65%)	ALCAM	2.57
Group 1. Membrane-associated glycoproteins (including proteases)	26 (65%)	AQP3	2.57
Group 1. Membrane-associated glycoproteins (including proteases)	26 (65%)	C1ORF115	2.57
Group 1. Membrane-associated glycoproteins (including proteases)	26 (65%)	C20ORF3	2.57
Group 1. Membrane-associated glycoproteins (including proteases)	26 (65%)	CLDN8	2.57
Group 1. Membrane-associated glycoproteins (including proteases)	26 (65%)	DPP4	2.57
Group 1. Membrane-associated glycoproteins (including proteases)	26 (65%)	FAM134A	2.57
Group 1. Membrane-associated glycoproteins (including proteases)	26 (65%)	FXYD3	2.57
Group 1. Membrane-associated glycoproteins (including proteases)	26 (65%)	GOLM1	2.57
Group 1. Membrane-associated glycoproteins (including proteases)	26 (65%)	GPR56	2.57
Group 1. Membrane-associated glycoproteins (including proteases)	26 (65%)	HPN	2.57
Group 1. Membrane-associated glycoproteins (including proteases)	26 (65%)	KLK2	2.57
Group 1. Membrane-associated glycoproteins (including proteases)	26 (65%)	KLK3	2.57
Group 1. Membrane-associated glycoproteins (including proteases)	26 (65%)	PTPRF	2.57
Group 1. Membrane-associated glycoproteins (including proteases)	26 (65%)	SLC19A1	2.57
Group 1. Membrane-associated glycoproteins (including proteases)	26 (65%)	SLC39A6	2.57
Group 1. Membrane-associated glycoproteins (including proteases)	26 (65%)	SLC7A1	2.57
Group 1. Membrane-associated glycoproteins (including proteases)	26 (65%)	SPINT2	2.57
Group 1. Membrane-associated glycoproteins (including proteases)	26 (65%)	SYNGR2	2.57
Group 1. Membrane-associated glycoproteins (including proteases)	26 (65%)	TACSTD1	2.57
Group 1. Membrane-associated glycoproteins (including proteases)	26 (65%)	TACSTD2	2.57
Group 1. Membrane-associated glycoproteins (including proteases)	26 (65%)	TM4SF1	2.57
Group 1. Membrane-associated glycoproteins (including proteases)	26 (65%)	TMED3	2.57
Group 1. Membrane-associated glycoproteins (including proteases)	26 (65%)	TMED9	2.57
Group 1. Membrane-associated glycoproteins (including proteases)	26 (65%)	TSPAN8	2.57
Group 1. Membrane-associated glycoproteins (including proteases)	26 (65%)	YIPF1	2.57
Groups 2-3. Ion transporters (including metal ion and ATP dependent transporters)	14 (35%)	ABCC4	1.34 - 2.01
Groups 2-3. Ion transporters (including metal ion and ATP dependent transporters)	14 (35%)	AQP3	1.34 - 2.01
Groups 2-3. Ion transporters (including metal ion and ATP dependent transporters)	14 (35%)	ATP2C1	1.34 - 2.01
Groups 2-3. Ion transporters (including metal ion and ATP dependent transporters)	14 (35%)	ATP2C2	1.34 - 2.01
Groups 2-3. Ion transporters (including metal ion and ATP dependent transporters)	14 (35%)	ATP6V0E2	1.34 - 2.01
Groups 2-3. Ion transporters (including metal ion and ATP dependent transporters)	14 (35%)	ATP8A1	1.34 - 2.01
Groups 2-3. Ion transporters (including metal ion and ATP dependent transporters)	14 (35%)	CACNA1D	1.34 - 2.01
Groups 2-3. Ion transporters (including metal ion and ATP dependent transporters)	14 (35%)	FXYD3	1.34 - 2.01
