Gene Symbol	Gene	EGFR null	Erlotinib	AG1478	PD153035	Expression
Duspl	Dual specificity phosphatase 1 (Duspl)	-3.34999	-2.113999	-2.409	-2.659	Downregulated
Txndc10	Thioredoxin domain containing 10 (Txndc10)	-3.208999	-2.964	-4.531	-2.412999	Downregulated
Nrg1	PREDICTED: neuregulin 1, transcript variant 2 (Nrg1)	-3.187999	-2.862	-2.984999	-2.765999	Downregulated
Edd1	PREDICTED: E3 ubiquitin protein ligase, HECT domain containing, 1, transcript variant 6 (Edd1)	-1.807	-2.83999	-2.264	-1.831	Downregulated
Slc30a1	Solute carrier family 30 (zinc transporter), member 1 (Slc30a1)	2.2675737	2.2522523	2.8248588	1.984127	Upregulated
Surf1	Surfeit gene 1 (Surf1)	2.2883295	2.1786492	1.8382353	2.1008403	Upregulated
	Ubiquitin domain containing 1	2.3696682	2.6315789	3.5971223	2.5316455	Upregulated
Id2	Inhibitor of DNA binding 2 (Id2)	2.7027027	4.950495	4.2553191	3.8167939	Upregulated
	PREDICTED: RIKEN cDNA 4930458A03 gene (4930458A03Rik), mRNA.	2.8490028	3.076923	2.4752475	4.2194092	Upregulated
Aox1	Aldehyde oxidase 1 (Aox1)	2.7322404	2.9411765	2.7548209	2.5906736	Upregulated
	RIKEN cDNA 2200002J24 gene (2200002J24Rik), mRNA.	2.8735632	3.4013605	3.78787878	2.3364485	Upregulated
	RIKEN cDNA 6230410P16 gene (6230410P16Rik), transcript variant 2	2.8985507	2.7624309	2.5974026	2.7173913	Upregulated
Fut9	Fucosyltransferase 9 (Fut9)	3.030303	3.8910506	2.0746888	3.0674847	Upregulated
	Tissue inhibitor of metalloproteinase 3	3.2679739	3.2051282	3.2258065	2.3419204	Upregulated
	RIKEN cDNA 4921528I07 gene	3.2786885	3.5460992	3.1545741	3.7735849	Upregulated
Synpr	Synaptoporin (Synpr)	3.3670034	2.8011204	3.3444816	3.030303	Upregulated
Tsga2	Testis specific gene A2 (Tsga2)	3.3670034	4.4247788	3.6630037	4.4247788	Upregulated
Atp2b3	ATPase, Caþþ transporting, plasma membrane 3 (Atp2b3)	3.5335689	3.4482759	4.0650407	3.968254	Upregulated
Ifi44	IFN-induced protein 44 (Ifi44)	3.5335689	3.5714286	3.4246575	2.6041667	Upregulated
Cd46	CD46 antigen, complement regulatory protein (Cd46)	3.6101083	4.3668122	3.8314176	3.90625	Upregulated
2310026E23Rik	RIKEN cDNA 2310026E23 gene (2310026E23Rik), mRNA.	4.2016806	3.5842293	3.3898305	2.1881838	Upregulated
Slc16a12	Solute carrier family 16 (monocarboxylic acid transporters), member 12 (Slc16a12), mRNA.	5.1282051	5.0761421	6.2789447	3.703703	Upregulated
Cml1	Camello-like 1 (Cml1)	5.5555556	5.3475936	5.9171598	13.69863	Upregulated
Ryr1	Ryanodine receptor 1, skeletal muscle (Ryr1)	3.7522278	3.2258065	3.6764706	3.4722222	Upregulated
Fbxl13	F-box and leucine-rich repeat protein 13 (Fbxl13), mRNA.	11.6279069	5.1020408	10.2040816	5.4644808	Upregulated
