Gene symbol	Illumina probe ID	Normal expression Mean	Normal expression SEM	APA expression Mean	APA expression SEM	Fold change APA vs. normal	Adjusted P value
PPY	3140148	125	50	1694	519	13.5	0.00005
GPR61	1710577	79	23	572	131	7.3	0.001
PPP4R4	7610411	325	77	2070	351	6.4	0.0007
SLC9A2	3710563	209	25	829	53	4	0.0002
ESRRB	4810142	60	16	195	57	3.2	0.04
KCNK12	1940193	1073	566	3300	973	3.1	0.0003
CYP11B2	2060114	1007	278	3061	364	3	0.0003
CLRN1	7050129	2095	135	5892	295	2.8	0.0000001
SLC24A3	150309	617	99	1316	200	2.1	0.02
AQP2	4480079	2545	408	5208	789	2	0.00001
KCNK1	6660671	1542	237	2940	397	1.9	0.02
KCNH3	6220309	7006	555	12718	1727	1.8	0.0006
INPP4B	4860762	2421	192	4041	415	1.7	0.0005
CYP17A1	3890278	3664	317	2361	355	1.6	0.005
SCNN1A	7040487	11715	607	6354	939	1.8	0.00004
KCNK5	3990739	578	236	239	172	2.4	0.01
