Gene ID	Fold Change	Gene Symbol	Gene Title
Gga.19409.1.S1_at	89,38	COL4A2	collagen, type IV, alpha 2
Gga.3219.1.S1_at	7,42	FIGF	c-fos induced growth factor (vascular endothelial growth factor D)
Gga.5334.1.S1_a_at	2,66	RGS4	regulator of G-protein signaling 4
GgaAffx.12606.1.S1_s_at	2,56	JAM2	junctional adhesion molecule 2
GgaAffx.22422.1.S1_s_at	2,20	AMOT	angiomotin
Gga.977.1.S1_at	2,09	PTRF	polymerase I and transcript release factor
Gga.16689.1.S1_s_at	0,18	PARVB	parvin, beta
Gga.805.2.S1_a_at	0,30	EPHA3	EPH receptor A3
Gga.1964.1.S1_at	0,30	MYO10	myosin X
Gga.5002.1.S1_at	0,32	MDK	midkine (neurite growth-promoting factor 2)
GgaAffx.20323.1.S1_at	0,33	DAG1	dystroglycan
GgaAffx.1193.1.S1_s_at	0,33	LAMA1	laminin, alpha 1
Gga.3035.1.S1_at	0,38	EPAS1	endothelial PAS domain protein 1
Gga.1846.1.S1_at	0,42	SEMA3C	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C
Gga.18504.1.S1_at	0,43	PARVA	parvin, alpha
Gga.3973.1.S1_at	0,44	TWIST1	twist homolog 1 (Drosophila)
Gga.5109.1.S1_s_at	0,46	MYCN	v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)
Gga.2200.1.S1_at	0,49	CYR61	cysteine-rich, angiogenic inducer, 61
Gga.19934.1.S1_at	0,49	SNAI2	snail homolog 2 (Drosophila)
Gga.1846.1.S2_at	0,49	SEMA3C	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C
Gga.2679.2.S1_a_at	0,49	FBLN1	fibulin 1
GgaAffx.21814.1.S1_s_at	0,50	LIMS1 /// LOC771176	LIM and senescent cell antigen-like domains 1 /// hypothetical protein LOC771176
