Symbol	probe set	Description	CP1	CP4	CP4 vs CP1
Abp1	1424600_at	amiloride binding protein 1 (amine oxidase, copper-containing)	11.3	1874.2	165.8584071
Abpa	1424063_at	androgen binding protein alpha	20.6	1117.1	54.22815534
Abpb	1425032_at	androgen binding protein beta	68.8	2117.5	30.77761628
Acaca	1427595_at	acetyl-Coenzyme A carboxylase alpha	31.7	804.4	25.37539432
Acacb	1427052_at	acetyl-Coenzyme A carboxylase beta	60.2	388.2	6.448504983
Acly	1425326_at	ATP citrate lyase	146.8	823.1	5.606948229
Acot11	1429267_at	acyl-CoA thioesterase 11	80.6	332.4	4.124069479
Acss2	1422479_at	acyl-CoA synthetase short-chain family member 2	2834.9	10607	3.741578186
Acta1	1427735_a_at	actin, alpha 1, skeletal muscle	139	498.9	3.589208633
Actn3	1418677_at	actinin alpha 3	30.3	105.2	3.471947195
Ampd1	1434722_at	adenosine monophosphate deaminase 1 (isoform M)	124.7	413.1	3.312750601
Apobec2	1417889_at	apolipoprotein B editing complex 2	175.1	542.4	3.097658481
Asb11	1422153_a_at	ankyrin repeat and SOCS box-containing protein 11	253	763.8	3.018972332
Atp2a1	1419312_at	ATPase, Ca++ transporting, cardiac muscle, fast twitch 1	150.1	431.2	2.872751499
Atp6v1e1	1449711_at	VATPase, H+ transporting, lysosomal V1 subunit E1	229.8	638.3	2.777632724
Bex1	1448595_a_at	brain expressed gene 1	293.5	809.6	2.758432709
C6	1449308_at	complement component 6	2933.1	8042.9	2.74211585
Car6	1421001_a_at	carbonic anhydrase 6	156.7	423.5	2.702616465
Casq1	1422598_at	calsequestrin 1	151	388.6	2.573509934
Ccl12	1419282_at	chemokine (C-C motif) ligand 12	1846.8	4640.9	2.512941304
Cct4	1456082_x_at	chaperonin subunit 4 (delta)	1826.9	4589.7	2.512288576
Cd5l	1449193_at	CD5 antigen-like	2491.5	6254.5	2.510335139
Ckm	1417614_at	creatine kinase, muscle	137.9	343.6	2.491660624
Ckmt2	1428722_at	creatine kinase, mitochondrial 2	250.7	621.4	2.478659753
Clic5	1458381_at	chloride intracellular channel 5	123.5	301.2	2.438866397
Cmya5	1427312_at	cardiomyopathy associated 5	462.3	1111.2	2.403634004
Cox7a1	1418709_at	cytochrome c oxidase, subunit VIIa 1	347	833.5	2.402017291
Cpt1b	1418328_at	carnitine palmitoyltransferase 1b, muscle	240.7	569.8	2.367262152
Cspg3	1434679_at	chondroitin sulfate proteoglycan 3	4457.8	10544.3	2.365359594
Ctsw	1422632_at	cathepsin W	131.6	310.9	2.362462006
Cyp7b1	1421075_s_at	cytochrome P450, family 7, subfamily b, polypeptide 1	117.5	277.5	2.361702128
Ddit4l	1451751_at	DNA-damage-inducible transcript 4-like	229.9	529.4	2.302740322
