Ensembl ID	Gene Name	Description	RefSeq ID	Fold Change	FDR
ENSG00000116690	PRG4	Homo sapiens proteoglycan 4 (PRG4), mRNA	NM_005807	3.6	16.839
ENSG00000178096	CGI-143	Homo sapiens CGI-143 protein (CGI-143), mRNA	NM_016074	2.4	25.232
ENSG00000173085	CL640	Homo sapiens hypothetical protein CL640 (CL640), mRNA	NM_015697	2.3	17.833
ENSG00000168209	DDIT4	Homo sapiens DNA-damage-inducible transcript 4 (DDIT4), mRNA	NM_019058	2.1	49.091
ENSG00000163659	TIPARP	Homo sapiens TCDD-inducible poly(ADP-ribose) polymerase (TIPARP), mRNA	NM_015508	2.1	79.056
ENSG00000012983	MAP4K5	Homo sapiens mitogen-activated protein kinase kinase kinase kinase 5 (MAP4K5), transcript variant 2, mRNA	NM_198794	1.9	29.325
ENSG00000115904	SOS1	Homo sapiens son of sevenless homolog 1 (Drosophila) (SOS1), mRNA	NM_005633	1.9	109.741
ENSG00000123552	USP45	Homo sapiens ubiquitin specific protease 45, mRNA (cDNA clone MGC:14793 IMAGE:4047601), complete cds.	BC005991	1.8	14.250
ENSG00000197603	FLJ13231	Homo sapiens hypothetical protein FLJ13231 (FLJ13231), mRNA	NM_023073	1.8	18.843
ENSG00000157077	ZFYVE9	Homo sapiens zinc finger, FYVE domain containing 9 (ZFYVE9), transcript variant 1, mRNA	NM_007324	1.8	20.691
ENSG00000157077	ZFYVE9	Homo sapiens zinc finger, FYVE domain containing 9 (ZFYVE9), transcript variant 2, mRNA	NM_007323	1.8	20.691
ENSG00000152683	SLC30A6	Homo sapiens solute carrier family 30 (zinc transporter), member 6 (SLC30A6), mRNA	NM_017964	1.6	14.995
ENSG00000140465	CYP1A1	Homo sapiens cytochrome P450, family 1, subfamily A, polypeptide 1 (CYP1A1), mRNA	NM_000499	1.6	122.857
ENSG00000006715	VPS41	Homo sapiens vacuolar protein sorting 41 (yeast) (VPS41), transcript variant 1, mRNA	NM_014396	1.6	22.936
ENSG00000162599	NFIA	Homo sapiens nuclear factor I/A (NFIA), mRNA	NM_005595	1.6	13.635
ENSG00000113739	STC2	Homo sapiens stanniocalcin 2 (STC2), mRNA	NM_003714	1.6	16.479
ENSG00000156968	FLJ39599	Homo sapiens hypothetical protein FLJ39599 (FLJ39599), mRNA	NM_173803	1.6	16.306
ENSG00000197969	VPS13A	Homo sapiens vacuolar protein sorting 13A (yeast) (VPS13A), transcript variant A, mRNA	NM_033305	1.6	44.682
ENSG00000145725	KIAA0433	Homo sapiens KIAA0433 protein (KIAA0433), mRNA	NM_015216	1.6	31.109
ENSG00000166263	STXBP4	Homo sapiens syntaxin binding protein 4 (STXBP4), mRNA	NM_178509	1.5	19.067
ENSG00000145220	LYAR	Homo sapiens hypothetical protein FLJ20425 (LYAR), mRNA	NM_017816	1.5	15.326
ENSG00000138778	CENPE	Homo sapiens centromere protein E, 312kDa (CENPE), mRNA	NM_001813	1.5	18.843
ENSG00000139132	FGD4	Homo sapiens FYVE, RhoGEF and PH domain containing 4 (FGD4), mRNA	NM_139241	1.5	17.953
ENSG00000113594	LIFR	Homo sapiens leukemia inhibitory factor receptor (LIFR), mRNA	NM_002310	1.5	32.492
ENSG00000138182	MPHOSPH1	Homo sapiens M-phase phosphoprotein 1 (MPHOSPH1), mRNA	NM_016195	1.5	15.506
ENSG00000137812	AF15Q14	Homo sapiens AF15q14 protein (AF15Q14), mRNA	NM_020380	1.5	19.383
ENSG00000090339	ICAM1	Homo sapiens intercellular adhesion molecule 1 (CD54), human rhinovirus receptor (ICAM1), mRNA	NM_000201	1.5	42.673
ENSG00000060749	FLJ21924	Homo sapiens mRNA; cDNA DKFZp434K1329 (from clone DKFZp434K1329).	AL834141	1.5	23.524
ENSG00000136997	MYC	Homo sapiens v-myc myelocytomatosis viral oncogene homolog (avian) (MYC), mRNA	NM_002467	-1.5	-54.525
ENSG00000139292	LGR5	Homo sapiens leucine-rich repeat-containing G protein-coupled receptor 5 (LGR5), mRNA	NM_003667	-1.5	-17.978
ENSG00000175224	KIAA0652	Homo sapiens KIAA0652 gene product (KIAA0652), mRNA	NM_014741	-1.5	-30.910
ENSG00000171720	HDAC3	Homo sapiens histone deacetylase 3 (HDAC3), mRNA	NM_003883	-1.5	-15.023
ENSG00000167397	VKORC1	Homo sapiens vitamin K epoxide reductase complex, subunit 1 (VKORC1), transcript variant 1, mRNA	NM_024006	-1.5	-15.971
ENSG00000138166	DUSP5	Homo sapiens dual specificity phosphatase 5 (DUSP5), mRNA	NM_004419	-1.5	-20.071
ENSG00000139211	AMIGO2	Homo sapiens amphoterin induced gene 2 (AMIGO2), mRNA	NM_181847	-1.5	-33.953
ENSG00000134323	MYCN	Homo sapiens v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian) (MYCN), mRNA	NM_005378	-1.5	-47.805
ENSG00000020129	NCDN	Homo sapiens neurochondrin (NCDN), mRNA	NM_014284	-1.5	-19.296
ENSG00000023909	GCLM	Homo sapiens glutamate-cysteine ligase, modifier subunit (GCLM), mRNA	NM_002061	-1.5	-47.230
ENSG00000167969	DCI	Homo sapiens dodecenoyl-Coenzyme A delta isomerase (3,2 trans-enoyl-Coenzyme A isomerase) (DCI), mRNA	NM_001919	-1.5	-25.747
