Parametric p-value	t-value	% CV support	Geom mean of intensities in Irradiated	Geom mean of intensities in Controls	Fold-change	Agilent Probe ID	Description	Gene symbol
0.0000241	-4.672	68	25.6939211	65.4985911	0.392282	A_23_P379475	Homo sapiens 24-dehydrocholesterol reductase (DHCR24), mRNA [NM_014762]	DHCR24
0.0095597	-2.692	6	39.9370358	72.7782197	0.5487498	A_23_P118246	Homo sapiens GINS complex subunit 2 (Psf2 homolog) (GINS2), mRNA [NM_016095]	GINS2
0.0089868	2.72	18	107.3342366	52.326414	2.0512439	A_32_P143700	DB160230 THYMU3 Homo sapiens cDNA clone THYMU3040283 5, mRNA sequence [DB160230]	DB160230
0.00001	4.898	22	159.0132581	82.0919054	1.9370151	A_23_P369502	Homo sapiens peptidyl arginine deiminase, type IV (PADI4), mRNA [NM_012387]	PADI4
< 1e-07	7.415	68	107.0727508	37.0064578	2.8933531	A_23_P46618	Homo sapiens plexin A2 (PLXNA2), mRNA [NM_025179]	PLXNA2
< 1e-07	7.707	16	239.1533925	64.3336245	3.7173934	A_23_P25155	Homo sapiens G protein-coupled receptor 84 (GPR84), mRNA [NM_020370]	GPR84
< 1e-07	8.283	24	292.0067014	124.1259517	2.3525032	A_32_P170664	Homo sapiens cDNA: FLJ21245 fis, clone COL01184. [AK024898]	AK024898
< 1e-07	9.05	38	4280.987975	932.0560034	4.5930587	A_23_P14734	Homo sapiens ribosomal protein S27-like (RPS27L), mRNA [NM_015920]	RPS27L
< 1e-07	9.518	88	710.3021322	215.2087261	3.3005266	A_24_P925664	Unknown	THC2545454
< 1e-07	11.516	100	63.3317368	13.5890428	4.6605002	A_24_P89457	Homo sapiens cyclin-dependent kinase inhibitor 1A (p21, Cip1) (CDKN1A), transcript variant 2, mRNA [NM_078467]	CDKN1A
< 1e-07	11.789	96	1185.927412	364.8164286	3.2507511	A_23_P23221	Homo sapiens growth arrest and DNA-damage-inducible, alpha (GADD45A), mRNA [NM_001924]	GADD45A
< 1e-07	12.051	32	635.1875443	169.3730239	3.7502285	A_23_P70290	Homo sapiens transmembrane protein 30A (TMEM30A), mRNA [NM_018247]	TMEM30A
< 1e-07	12.422	98	108.7125196	23.4326014	4.6393705	A_23_P31681	Homo sapiens cDNA FLJ23887 fis, clone LNG14332. [AK074467]	AK074467
< 1e-07	12.468	30	983.7260637	255.6469962	3.847986	A_23_P128408	Homo sapiens TP53 regulated inhibitor of apoptosis 1 (TRIAP1), mRNA [NM_016399]	TRIAP1
< 1e-07	12.592	42	774.1066605	209.2156252	3.7000423	A_24_P180424	Homo sapiens transmembrane protein 30A (TMEM30A), mRNA [NM_018247]	TMEM30A
< 1e-07	13.232	100	409.3059743	123.1410429	3.3238794	A_23_P206077	Homo sapiens interferon stimulated exonuclease gene 20kDa-like 1 (ISG20L1), mRNA [NM_022767]	ISG20L1
< 1e-07	13.408	100	3097.307368	686.0486578	4.5147051	A_23_P59210	Homo sapiens cyclin-dependent kinase inhibitor 1A (p21, Cip1) (CDKN1A), transcript variant 1, mRNA [NM_000389]	CDKN1A
< 1e-07	14.032	100	322.1940932	47.9812336	6.7150023	A_23_P30254	Homo sapiens polo-like kinase 2 (Drosophila) (PLK2), mRNA [NM_006622]	PLK2
< 1e-07	14.252	72	516.3327439	171.0587584	3.0184525	A_23_P139895	Homo sapiens hypothetical protein MGC5370, mRNA (cDNA clone IMAGE:3049213), partial cds. [BC006795]	MGC5370
< 1e-07	15.115	98	1635.268271	368.6505953	4.4358216	A_24_P127462	PREDICTED: Homo sapiens similar to Proliferating cell nuclear antigen (PCNA) (Cyclin) (LOC392454), mRNA [XR_018314]	LOC392454
< 1e-07	16.53	100	2814.306518	515.0929721	5.4636865	A_32_P85230	BE646426 7e86f01.x1 NCI_CGAP_CLL1 Homo sapiens cDNA clone IMAGE:3292057 3, mRNA sequence [BE646426]	BE646426
< 1e-07	17.325	90	5579.011824	1280.885954	4.3555883	A_23_P28886	Homo sapiens proliferating cell nuclear antigen (PCNA), transcript variant 1, mRNA [NM_002592]	PCNA
< 1e-07	18.393	100	668.5298021	43.6892516	15.3019285	A_23_P62959	Homo sapiens pleckstrin homology-like domain, family A, member 3 (PHLDA3), mRNA [NM_012396]	PHLDA3
< 1e-07	25.003	100	10722.56288	1940.629484	5.5253014	A_23_P52610	Homo sapiens damage-specific DNA binding protein 2, 48kDa (DDB2), mRNA [NM_000107]	DDB2
< 1e-07	29.351	100	22121.00987	1467.309561	15.0758984	A_23_P38154	Homo sapiens ferredoxin reductase (FDXR), nuclear gene encoding mitochondrial protein, transcript variant 2, mRNA [NM_004110]	FDXR
