Gene name	Expression	Known functions
Synaptotagmin V	Up 5-6 fold	Localized to synaptic vesicles of neurons, regulating secretion of norepinephrine
Synphilin	Up ~3 fold	Enriched in presynaptic nerve terminals, regulating neurotransmitter secretion, interacting with alpha-synuclein
Amiloride-sensitive cation channel 2	Up ~2 fold	Mediates glutamate-independent Ca2+ entry into neurons
Potassium channel subfamily KQT 2	Up ~2 fold	Potassium ion transport in neurons
GABA B receptor 1	Up 2-4 fold	Receptor of GABA neurotransmitter
Cannabinoid receptor 1	Up 3-10 fold	Receptor of cannabinoid neurotransmitter
Syntaxin 3A	Up ~2 fold	Potentially involved in docking of synaptic vesicles at presynaptic active zones
Synaptotagmin XI	Up ~1.5 fold	single-pass membrane protein in neuronal cell bodies and neurites
MAP1 light chain 3 alpha	Up ~1.5 fold	Microtubule-associated protein 1 light chain 3 alpha
SGNE1	Up ~2 fold	secretory granule, neuroendocrine protein 1 (7B2 protein)
SCN2A	Up ~2 fold	sodium channel, voltage-gated, type II, alpha 2
Carbonic anhydrase X	Up ~7 fold	carbonic anhydrase X involved in brain development
Ankyrin 2, neuronal	Up ~2 fold	ankyrin 2, neuronal
Synaptogyrin 3	Up ~3 fold	Associated with synapses
KCNAB1	Up ~2 fold	potassium voltage-gated channel, shaker-related subfamily, beta member 1
KCNB1	Up ~2 fold	potassium voltage-gated channel, Shab-related subfamily, member 1
KCND1	Up ~1.5 fold	potassium voltage-gated channel, Shal-related subfamily, member 1
CHRNB1	Up ~1.5 fold	cholinergic receptor, nicotinic, beta polypeptide 1
Semaphorin 5A	Down 4-27 fold	Axon repulsion
Musashi homolog 1	Down ~2 fold	Neural stem cell marker, involved in self-renewal
Ubiquitin-conjugating enzyme E2C	Down 3-4 fold	Positive regulation of cell proliferation
protein kinase, membrane associated tyrosine/threonine 1	Down 2-4 fold	Regulation of mitosis
Cyclin B2	Down ~ 3 fold	regulation of progression through cell cycle
CDC28 protein kinase regulatory subunit 2	Down ~ 2.5 fold	Regulation of cell cycles
CDC20 cell division cycle 20 homolog	Down 2-3 fold	regulation of progression through cell cycle
Cyclin T1	Down ~ 2 fold	Cell division
Cell division cycle 25C	Down ~ 2 fold	Regulation of mitosis
Cyclin-dependent kinase 4	Down ~ 2 fold	regulation of progression through cell cycle
Kinesin family member 23	Down ~ 2 fold	mitotic spindle elongation
E2F transcription factor 2	Down ~ 3 fold	regulation of progression through cell cycle
E2F transcription factor 7	Down 2-4 fold	regulation of progression through cell cycle
Eukaryotic translation initiation factor 4E binding protein 2	Down ~ 2 fold	negative regulation of protein biosynthesis
mitochondrial ribosomal protein L11	Down 2 - 2.5 fold	protein biosynthesis
regulator of G-protein signalling 12	Down 2 - 74 fold	regulation of G-protein coupled receptor protein signaling pathway
Sideroflexin 2	Down ~ 2 fold	cation transport
Suppressor of variegation 3-9 homolog 1	Down 2 – 2.5 fold	chromatin assembly or disassembly
LIM homeobox 6	Down 2 – 3 fold	Transcription factor
