GenBank accession no.	LCMV-cgPi2/control 1	LCMV-cgPi2/control 1	LCMV-cgPi2/control 2	LCMV-cgPi2/control 2	LCMV-cgPi3/control 1	LCMV-cgPi3/control 1	LCMV-cgPi3/control 2	LCMV-cgPi3/control 2	Gene Identity
U43084	2.2	0.000189	1.5	0.000023	2.6	0.000068	2	0.00002	GARG-16
AB067535	2	0.000307	0.9	0.000966	1.4	0.000774	0.3	0.001336	2–5 OAS 2
AW047653	1.7	0.00002	1.9	0.00002	1.7	0.00002	1.8	0.00002	UBP43
BQ033138	1.7	0.00003	1.7	0.000023	1.4	0.000114	1.8	0.000078	2–5 OAS-like 2
M74124	1.6	0.00006	2	0.00002	1.2	0.000241	1.6	0.000027	Interferon-activated gene 205
M29881	1.5	0.000147	1.6	0.000147	2	0.00006	2	0.000027	MHCI Q region locus 7
BG068242	1.4	0.000052	1.4	0.00003	1.2	0.000346	1.4	0.000346	Tripartite motif protein 30-like
BB757349	1.2	0.00002	1.4	0.00002	1.2	0.00002	1	0.00002	Zinc finger CCCH type, antiviral 1
X67809	1.2	0.000046	1.1	0.000035	1.1	0.000078	1	0.000023	Peptidylprolyl isomerase C-associated
U43086	1.1	0.000046	1.3	0.00002	1.4	0.000052	1.5	0.00002	GARG-49
U51992	0.9	0.000273	1.1	0.000052	0.8	0.000027	1.2	0.00002	IRF9
NM_008326	0.8	0.000052	0.6	0.000438	1.2	0.000035	0.8	0.000774	Interferon inducible protein 1
BM227980	0.8	0.000035	0.7	0.000078	0.7	0.00002	0.7	0.000147	Zinc finger CCCH type domain-containing 1
U06924	0.8	0.000214	0.6	0.00002	1	0.000167	0.9	0.00002	STAT1
NM_008330	0.7	0.00006	1.1	0.000346	1.5	0.000618	1.8	0.000692	Olfactory receptor 56
BC011306 M86502	0.7 0.7	0.000035 0.00002	0.8 0.6	0.00003 0.00002	0.7 0.5	0.000023 0.00002	0.9 0.5	0.00002 0.00002	MHCI K region MHCIbD region locus 1
NM_011579	0.7	0.000088	1	0.000189	0.8	0.00002	1.1	0.000052	T-cell-specific GTPase
BF715219	0.7	0.00002	0.6	0.00002	0.7	0.00002	0.6	0.00002	Beta-2 microglobulin
NM_010398	0.6	0.000023	0.5	0.000023	0.6	0.00002	0.6	0.00002	MHCI T region locus 23
BB418548	0.5	0.000068	0.5	0.00002	0.7	0.00002	0.9	0.00002	Doublecortin
NM_010758	-0.5	0.99998	0.6	0.99998	-0.5	0.999977	-0.5	0.00002	Myelin-associated glycoprotein
NM_026731	-0.6	0.999932	-0.4	0.999922	-0.7	0.999965	-0.7	0.00004	Protein phosphatase 1 regulatory subunit 14A
U64572	-0.6	0.999977	-0.8	0.99998	-0.6	0.999922	-0.7	0.00002	Myelin oligodendrocyte glycoprotein
M58045	-0.6	0.99998	-0.5	0.99998	-0.5	0.999693	-0.3	0.00002	Cyclic nucleotide phosphodiesterase 1
BB353220	-0.6	0.999899	-0.6	0.99998	-0.5	0.999899	-0.6	0.00003	LIM and senescent cell antigen-like domains 2
NM_010354	-0.7	0.99998	-0.6	0.99998	-0.6	0.99998	-0.5	0.00002	Gelsolin
NM_008614	-0.7	0.99998	-0.7	0.99998	-0.4	0.999611	-0.4	0.00002	Myelin-associated oligodendrocytic basic protein
BQ175510	-0.7	0.99998	-0.5	0.99998	-0.6	0.99998	-0.4	0.00006	G protein-coupled receptor 37
BC024556	-0.8	0.99998	-0.6	0.999977	-0.6	0.999911	-0.3	0.00008	PDZ and LIM domain 2
AW550625	-0.8	0.999727	-0.8	0.999034	-0.6	0.999611	-0.8	0.007	Procollagen, type III, alpha 1
NM_026174	-0.9	0.999977	-0.8	0.99998	-1	0.999922	-0.9	0.00001	Lysosomal apyrase-like 1
NM_011674	-1	0.99998	-0.8	0.99998	-0.6	0.999977	-0.4	0.0003	UDP-glucuronosyltransferase 8
