Gene	Description	Fold change	Expression
Xist	Inactive x specific transcripts	17	Upregulated genes
Gpr177	G protein-coupled receptor 177	9.2	Upregulated genes
Steap1	Six transmembrane epithelial antigen of the prostate 1	6.8	Upregulated genes
Sytl2	Synaptotagmin-like 2	6.1	Upregulated genes
Cxcl9	Chemokine (c-x-c motif) ligand 9	6	Upregulated genes
Pdgfc	Platelet-derived growth factor, C polypeptide	5.6	Upregulated genes
Tm4sf1	Transmembrane 4 superfamily member 1	5.6	Upregulated genes
Slc11a1	Solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1	5.3	Upregulated genes
Stc2	Stanniocalcin 2	5.3	Upregulated genes
Tmprss2	Transmembrane protease, serine 2	4.8	Upregulated genes
Rkhd3	Ring finger and kh domain containing 3	4.5	Upregulated genes
Runx2	Runt related transcription factor 2	4	Upregulated genes
Ngef	Neuronal guanine nucleotide exchange factor	3.8	Upregulated genes
H2-dmb1	Histocompatibility 2, class ii, locus mb1	3.8	Upregulated genes
Dixdc1	Dix domain containing 1	3.7	Upregulated genes
Ltb4dh	Leukotriene b4 12-hydroxydehydrogenase	3.5	Upregulated genes
Tmsb4x	Thymosin, beta 4, x chromosome	3.4	Upregulated genes
Lmcd1	Lim and cysteine-rich domains 1	3.2	Upregulated genes
Plscr4	Phospholipid scramblase 4	3.2	Upregulated genes
Rufy1	Run and fyve domain containing 1	3.2	Upregulated genes
Man1a	Mannosidase 1, alpha	17.8	Downregulated genes
Calca	Calcitonin/calcitonin-related polypeptide, alpha	17.2	Downregulated genes
Slco3a1	Solute carrier organic anion transporter family, member 3a1	15.8	Downregulated genes
Defb1	Defensin beta 1	15.4	Downregulated genes
Nup62	Nucleoporin 62	14.3	Downregulated genes
Flt1	Fms-like tyrosine kinase 1	14	Downregulated genes
Slc1a7	Solute carrier family 1 (glutamate transporter), member 7	13.9	Downregulated genes
Cpne8	Copine viii	12.6	Downregulated genes
Itlna	Intelectin a	11.5	Downregulated genes
Lrrc28	Leucine rich repeat containing 28	11.4	Downregulated genes
Ppargc1b	Peroxisome proliferative activated receptor, gamma, coactivator 1 beta	11	Downregulated genes
Ormdl3	Orm1-like 3 (s. Cerevisiae)	10.9	Downregulated genes
Dicer1	Dicer1, dcr-1 homolog (drosophila)	9.9	Downregulated genes
Pfpl	Pore forming protein-like	9.5	Downregulated genes
Als2cr15	Amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 15	8.9	Downregulated genes
Sdccag1	Serologically defined colon cancer antigen 1	8.8	Downregulated genes
Proz	Protein z, vitamin k-dependent plasma glycoprotein	8.4	Downregulated genes
Prkcn	Protein kinase c, nu	8.2	Downregulated genes
Eif3s10	Eukaryotic translation initiation factor 3, subunit 10 (theta)	8.1	Downregulated genes
Pgm5	Phosphoglucomutase 5	8	Downregulated genes
