Gene Symbol	Mean	p-value	Std Dev	Std Error	Min	Max
ABHD4	-0.43523	3.51567E-05	0.132781	0.0469452	-0.616886	-0.195412
ABTB2	-0.0886396	0.0109532	0.0730477	0.0258263	-0.233391	-0.0248353
ACOX3	-0.322629	0.000146089	0.122874	0.0434425	-0.532345	-0.157032
ACTL6A	-0.29571	0.00149671	0.165956	0.0586742	-0.570239	-0.106429
ACTR3	-0.321359	0.00013119	0.120321	0.0425398	-0.477751	-0.12236
ACTR1B	-0.532269	2.01238E-05	0.149158	0.0527352	-0.749778	-0.308161
ACVR2A	-1.10545	1.41057E-06	0.208563	0.073738	-1.25899	-0.735627
ADAM10	-0.14487	0.00637113	0.106695	0.0377224	-0.279988	0.013227
ADAM17	-0.435749	0.0126009	0.370178	0.130878	-0.838097	0.253578
ADAR	-0.30993	0.000107263	0.112413	0.0397439	-0.442997	-0.128711
ADCY7	-0.980032	5.35487E-07	0.160473	0.0567357	-1.23307	-0.792857
ADD3	-0.864581	0.000117161	0.317977	0.112422	-1.2874	-0.539029
ADIPOR1	-0.228865	0.0214972	0.219654	0.0776595	-0.473058	0.0931032
ADRB1	-2.24348	1.99174E-08	0.228101	0.080646	-2.58372	-1.91584
AFF1	-1.3049	3.28987E-07	0.199034	0.070369	-1.54952	-0.996707
AFF4	-0.351423	0.00022175	0.143076	0.0505849	-0.621057	-0.181685
AGPAT3	-0.367129	0.000102215	0.132154	0.0467234	-0.500565	-0.0931045
AHNAK	-0.749735	9.32876E-05	0.266036	0.094058	-1.13627	-0.332063
AKAP11	-0.199829	2.36766E-05	0.0573968	0.0202928	-0.320423	-0.140859
AKAP13	-0.670531	5.1462E-08	0.078174	0.0276387	-0.791122	-0.511558
ALDH3A2	-0.437893	3.78742E-05	0.135126	0.0477744	-0.606102	-0.203347
ALS2	-0.375131	0.00545626	0.267885	0.0947115	-0.75644	-0.0135886
ALS2CR8	-1.29056	3.87562E-05	0.399653	0.141299	-1.75198	-0.576924
AMFR	-0.328632	0.007039	0.246955	0.0873119	-0.557426	0.0817155
AMMECR1L	-0.892979	2.90227E-09	0.0688352	0.0243369	-0.977685	-0.782953
ANAPC16	-0.38491	0.00404117	0.259281	0.0916697	-0.767994	0.0535015
ANKFY1	-0.355655	9.75015E-05	0.127078	0.0449288	-0.494514	-0.179325
ANKRD11	-0.980544	5.89229E-05	0.323905	0.114518	-1.40429	-0.475566
ANKRD12	-0.498089	0.00142222	0.277022	0.0979421	-0.922531	-0.0774306
ANKRD52	-0.10957	0.0140832	0.0953962	0.0337276	-0.274604	0.00732422
ANXA2	-0.294352	0.00166485	0.168348	0.0595201	-0.459556	0.0795759
ANXA7	-0.379687	5.70765E-06	0.0880659	0.031136	-0.500971	-0.243982
AP1G1	-0.168856	0.00599664	0.122863	0.0434385	-0.3911	-0.0267356
