Symbol	Entrez gene name	Location	Type	Fold change
CXCL12	Chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)	Extracellular space	Cytokine	26.45
ISL1	ISL LIM homeobox 1	Nucleus	Transcription regulator	20.9
COL2A1	Collagen, type II, alpha 1	Extracellular space	Other	19.47
NCAM1	Neural cell adhesion molecule 1	Plasma membrane	Other	11.82
ABCGG2	ATP-binding cassette, subfamily G (WHITE), member 2	Plasma membrane	Transporter	10.25
KRT15	Keratin 15	Cytoplasm	Other	10
ACAN	Aggrecan	Extracellular space	Other	9.24
FOXA2	Forkhead box A2	Nucleus	Transcription regulator	9.24
GJB1	Gap junction protein, beta 1, 32 kDa	Plasma membrane	Transporter	9.24
MSX1	Msh homeobox 1	Nucleus	Transcription regulator	9.24
CD8B	CD8b molecule	Plasma membrane	Other	9.17
DHH	Desert hedgehog homolog (Drosophila)	Extracellular space	Peptidase	-17.66
CDC2	Cell division cycle 2, G1 to S and G2 to M	Nucleus	Kinase	-9.33
GJA1	Gap junction protein, alpha 1, 43 kDa	Plasma membrane	Transporter	-6.89
CCNA2	Cyclin A2	Nucleus	Other	-6.71
PARD6A	Par-6 partitioning defective 6 homolog alpha (C. elegans)	Plasma membrane	Other	-5.13
KAT2A	K(lysine) acetyltransferase 2A	Cytoplasm	Enzyme	-5.07
DVL1	Dishevelled, dsh homolog 1 (Drosophila)	Cytoplasm	Other	-4.61
JAG1	Jagged 1 (Alagille syndrome)	Extracellular space	Growth factor	-4.54
S100B	S100 calcium binding protein B	Cytoplasm	Other	-4.34
FRAT1	Frequently rearranged in advanced T-cell lymphomas	Cytoplasm	Other	-4.28
