MEN1 tumor Fold decrease	Sporadic tumor	Map	Gene	Gene identity
0.03	0.01	6q12-q21	CGA	Glycoprotein hormones, ? polypeptide
0.06	0.04	11p13	FSHB	FSH, ? polypeptide
0.17	0.13	Xq26.1	GPC4	Glypican 4
0.18	0.25	5q31	PITX1	Paired-like homeodomain 1
0.19	0.01	19q13.32	CGB5	Chorionic gonadotropin, ? polypeptide 5
0.19	0.25	21q22.3	COL6A1	Collagen, type VI, ? 1
0.2	0.33	Xq26.1	GPC3	Glypican 3
0.21	0.44	20q11.2-q12	NNAT	Neuronatin
0.22	0.14	4q22.1	SPARCL1	SPARC-like 1 (mast9, hevin)
0.25	0.03	12p13.1-p12.3	MGP	Matrix Gla protein
0.27	0.09	1p36.1-p35	HSPG2	Heparan sulfate proteoglycan 2
0.28	0.18	5q32	CD74	CD74 molecule, major histocompatibility complex, class II invariant chain
0.3	0.07	6p21.3	HLA-DRB5	Major histocompatibility complex, class II, DR ? 5
0.39	0.17	6p21.3	HLA-DRB3	Major histocompatibility complex, class II, DR ? 3
0.42	0.2	3q26.2-qter	APOD	Apolipoprotein D
0.43	0.13	6p21.3	HLA-DRA	Major histocompatibility complex, class II, DR ?
