Gene Description	DU145	PC3	Function
Keratin 17	-	-	Cytoskeleton/membrane-associated protein/receptor
Laminin-5 beta 3 chain	NA	NA	Cytoskeleton/membrane-associated protein/receptor
Plastin 1 (I isoform)	NA	NA	Cytoskeleton/membrane-associated protein/receptor
Desmin	+	+	Cytoskeleton/membrane-associated protein/receptor
Thrombospondin-1	+	-	Cytoskeleton/membrane-associated protein/receptor
Human thymosin beta-4	NA	NA	Cytoskeleton/membrane-associated protein/receptor
Human follistatin gene	+	-	Cytoskeleton/membrane-associated protein/receptor
Gap junction protein, beta 2, 26kD(connexin 26)	NA	NA	Cytoskeleton/membrane-associated protein/receptor
gamma-IFN-inducible protein ip-30 precursor	NA	NA	Cytoskeleton/membrane-associated protein/receptor
alpha-Actinin 1, cytoskeletal isoform	NA	NA	Cytoskeleton/membrane-associated protein/receptor
Laminin receptor	+	+	Cytoskeleton/membrane-associated protein/receptor
Syndecan 1	NA	NA	Cytoskeleton/membrane-associated protein/receptor
Myosin light chain alkali, Smooth-muscle isoform	-	+	Cytoskeleton/membrane-associated protein/receptor
Catenin beta 1	+	+	Cytoskeleton/membrane-associated protein/receptor
Cadherin 3 (P-cadherin)	NA	NA	Cytoskeleton/membrane-associated protein/receptor
Tropomyosin 4 (fibroblast)	NA	NA	Cytoskeleton/membrane-associated protein/receptor
Human UDP-GalNAc	-	-	Cytoskeleton/membrane-associated protein/receptor
Human tetraspan (NAG-2)	+	+	Cytoskeleton/membrane-associated protein/receptor
Integrin, alpha 2 (CD49B)	NA	NA	Cytoskeleton/membrane-associated protein/receptor
Solute carrier family 4, anion exchanger,	NA	NA	Cytoskeleton/membrane-associated protein/receptor
Selectin E (endothelial adhesion molecule 1)	NA	NA	Cytoskeleton/membrane-associated protein/receptor
ATP-binding cassette	NA	NA	Cytoskeleton/membrane-associated protein/receptor
Thymosin-beta 10	NA	NA	Cytoskeleton/membrane-associated protein/receptor
Actin, alpha 1, skeletal muscle	-	-	Cytoskeleton/membrane-associated protein/receptor
Insulin-like growth factor 2 receptor	-	-	Cytoskeleton/membrane-associated protein/receptor
Keratin, type II cytoskeletal 7	-	-	Cytoskeleton/membrane-associated protein/receptor
TGF beta 1 precursor	NA	NA	Growth factor/ligand/hormone
Prostacyclin-stimulating factor	NA	NA	Growth factor/ligand/hormone
Adrenomedullin precursor	+	-	Growth factor/ligand/hormone
HLA class I histocompatibility antigen, F alpha chain precursor	-	-	Growth factor/ligand/hormone
5T4 Oncofetal antigen	ND	-	Growth factor/ligand/hormone
Human metallothionein from cadmium-treated cells	-	-	Regulatory protein/second messenger/interactor
S100 calcium-binding protein A10, calpactin I	NA	NA	Regulatory protein/second messenger/interactor
Human metallotheionine-Ie gene	NA	NA	Regulatory protein/second messenger/interactor
Procollagen-proline	NA	NA	Regulatory protein/second messenger/interactor
Parvalbumin	+	+	Regulatory protein/second messenger/interactor
Translationally controlled tumor protein	ND	-	Regulatory protein/second messenger/interactor
Calgizzarin	ND	-	Regulatory protein/second messenger/interactor
Tissue factor pathway inhibitor precursor	NA	NA	Regulatory protein/second messenger/interactor
Alzheimer’s disease amyloid a4 protein precursor	NA	NA	Regulatory protein/second messenger/interactor
Nucleolysin TIA-1	ND	ND	Regulatory protein/second messenger/interactor
Adenylyl cyclase-associated protein 1	NA	NA	Regulatory protein/second messenger/interactor
Inhibin, beta A (activin A)	+	+	Regulatory protein/second messenger/interactor
Peptidylglycine alpha-amidating monooxygenase	NA	NA	Regulatory protein/second messenger/interactor
Interferon, alpha-inducible protein	NA	NA	Regulatory protein/second messenger/interactor
Tyrosine 3-monooxygenase/tryptophan	NA	NA	Regulatory protein/second messenger/interactor
Basic transcription factor 3	-	ND	Regulatory protein/second messenger/interactor
Ets-related transcription factor ELF-1	-	-	Regulatory protein/second messenger/interactor
Annexin I (lipocortin I)	A	NA	Regulatory protein/second messenger/interactor
Human interferon regulatory factor 7	-	-	Regulatory protein/second messenger/interactor
Human DNJ3/CPR	NA	NA	Regulatory protein/second messenger/interactor
Human DAP-3	NA	NA	Regulatory protein/second messenger/interactor
Human prostaglandin D2 synthase gene	+	-	Regulatory protein/second messenger/interactor
Zinc finger protein 140 (clone pHZ-39)	NA	NA	Regulatory protein/second messenger/interactor
Eukaryotic translation initiation factor 2A	+	+	Regulatory protein/second messenger/interactor
DNA methyltransferase	NA	NA	Regulatory protein/second messenger/interactor
Calbindin 2, (29 kD, calretinin)	ND	-	Regulatory protein/second messenger/interactor
ADP-ribosylation factor 1	NA	NA	Regulatory protein/second messenger/interactor
Guanine nucleotide–binding protein (G protein), beta polypeptide	ND	ND	Regulatory protein/second messenger/interactor
Interleukin 1, beta	NA	NA	Regulatory protein/second messenger/interactor
SRC-like adapter protein	-	ND	Regulatory protein/second messenger/interactor
IG kappa chain c region	NA	NA	Immune system
MHC class I, C	NA	NA	Immune system
Human (clone SY11) golgin-95	ND	-	Immune system
Fibrinogen beta chain precursor	ND	ND	Immune system
HLA class II histocompatibility antigen, DP1 alpha chain precursor	NA	NA	Immune system
Human zyxin related protein ZRP-1	-	-	Immune system
Myristoylated alanine-rich C-kinase substrate	NA	NA	Immune system
Androgen receptor associated protein 24 (ARA24)	NA	NA	Immune system
Plasminogen activator inhibitor, type I	-	-	Immune system
STAT induced STAT inhibitor-3	NA	NA	Immune system
RPD3 protein	ND	ND	Immune system
Glutathione s-transferase subunit B PR 72), alpha isoform and (PR 130),	-	-	Metabolism/energy generating system
Cytochrome c oxidase subunit Vb	NA	NA	Metabolism/energy generating system
Ferritin heavy chain	+	-	Metabolism/energy generating system
Glyceraldehyde-3-phosphate dehydrogenase	ND	ND	Metabolism/energy generating system
Chlordecone reductase	ND	ND	Metabolism/energy generating system
Apolipoprotein B	ND	ND	Metabolism/energy generating system
Ferritin, light polypeptide	NA	NA	Metabolism/energy generating system
Argininosuccinate synthetase	NA	NA	Metabolism/energy generating system
Human ATPase	ND	ND	Metabolism/energy generating system
Leptin (murine obesity homolog)	-	-	Metabolism/energy generating system
Aldehyde dehydrogenase 6	+	+	Metabolism/energy generating system
3-Hydroxy-3-methylglutaryl-coenzyme A reductase	NA	NA	Metabolism/energy generating system
2,3-bisphosphoglycerate mutase	NA	NA	Metabolism/energy generating system
Hexokinase 1	NA	NA	Metabolism/energy generating system
Triosephosphate isomerase 1	NA	NA	Metabolism/energy generating system
Succinate dehydrogenase 1, iron sulphur (Ip) subunit	ND	ND	Metabolism/energy generating system
Splicing factor CC1.3	+	+	Splicing/RNA-binding protein
Human hnRNP H	+	+	Splicing/RNA-binding protein
Human alpha-CP1	NA	NA	Splicing/RNA-binding protein
BN51 (BHK21) temperature sensitivity complementing protein	+	+	Cell cycle regulatory protein
Human G0S2 protein gene	ND	+	Cell cycle regulatory protein
Cell division cycle 25A	ND	+	Cell cycle regulatory protein
Cyclin D1 (PRAD1; parathyroid adenomatosis 1)	+	-	Cell cycle regulatory protein
Elastase IIIA precursor	NA	NA	Proteinase
