Affymetrix Probe ID	Gene Symbol	Gene name	Correlation with outcome in training series	Cox regression P-value
203606_at	NDUFS6	NADH dehydrogenase (ubiquinone) Fe-S protein 6, 13kDa (NADH-coenzyme Q reductase)	0.3	0.0000879
201459_at	RUVBL2	RuvB-like 2 (E. coli)	0.3	0.0000028
204033_at	TRIP13	thyroid hormone receptor interactor 13	0.29	0.000126
214710_s_at	CCNB1	cyclin B1	0.29	0.000727
203830_at	C17orf75	chromosome 17 open reading frame 75	0.28	0.0000146
222077_s_at	RACGAP1	Rac GTPase activating protein 1	0.28	0.000115
221509_at	DENR	density-regulated protein	0.28	0.0000691
201277_s_at	HNRNPAB	heterogeneous nuclear ribonucleoprotein A/B	0.27	0.00027
218009_s_at	PRC1	protein regulator of cytokinesis 1	0.26	0.0000053
204817_at	ESPL1	extra spindle pole bodies homolog 1 (S. cerevisiae)	0.26	0.000155
201291_s_at	TOP2A	topoisomerase (DNA) II alpha 170kDa	0.26	0.000616
204767_s_at	FEN1	flap structure-specific endonuclease 1	0.25	0.000261
200997_at	RBM4	RNA binding motif protein 4	0.25	0.0000036
209103_s_at	UFD1L	ubiquitin fusion degradation 1 like (yeast)	0.24	0.000718
208074_s_at	AP2S1	adaptor-related protein complex 2, sigma 1 subunit	0.24	0.000205
218039_at	NUSAP1	nucleolar and spindle associated protein 1	0.24	0.000324
209680_s_at	KIFC1	kinesin family member C1	0.23	0.0000635
204170_s_at	CKS2	CDC28 protein kinase regulatory subunit 2	0.23	0.000831
218755_at	KIF20A	kinesin family member 20A	0.23	0.000986
201115_at	POLD2	polymerase (DNA directed), delta 2, regulatory subunit 50kDa	0.23	0.000503
213007_at	FANCI	Fanconi anemia, complementation group I	0.22	0.0000269
213008_at	FANCI	Fanconi anemia, complementation group I	0.22	0.000113
203744_at	HMGB3	high-mobility group box 3	0.22	0.000108
206445_s_at	PRMT1	protein arginine methyltransferase 1	0.21	0.000073
208700_s_at	TKT	transketolase	0.21	0.0000239
212094_at	PEG10	paternally expressed 10	0.2	0.0000826
203713_s_at	LLGL2	lethal giant larvae homolog 2 (Drosophila)	0.2	0.000761
203276_at	LMNB1	lamin B1	0.2	0.000657
212181_s_at	NUDT4	nudix (nucleoside diphosphate linked moiety X)-type motif 4	0.19	0.0000948
210981_s_at	GRK6	G protein-coupled receptor kinase 6	0.19	0.000279
211047_x_at	AP2S1	adaptor-related protein complex 2, sigma 1 subunit	0.19	0.000333
200749_at	RAN	RAN, member RAS oncogene family	0.19	0.000729
202567_at	SNRPD3	small nuclear ribonucleoprotein D3 polypeptide 18kDa	0.19	0.00077
212023_s_at	MKI67	antigen identified by monoclonal antibody Ki-67	0.18	0.0000668
203975_s_at	CHAF1A	chromatin assembly factor 1, subunit A (p150)	0.18	0.000245
209302_at	POLR2H	polymerase (RNA) II (DNA directed) polypeptide H	0.18	0.000275
211921_x_at	PTMA	prothymosin, alpha	0.18	0.0000563
208794_s_at	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	0.18	0.00027
218318_s_at	NLK	nemo-like kinase	0.17	0.000535
213720_s_at	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	0.17	0.0000077
202120_x_at	AP2S1	adaptor-related protein complex 2, sigma 1 subunit	0.17	0.000206
209974_s_at	BUB3	budding uninhibited by benzimidazoles 3 homolog (yeast)	0.17	0.000211
205436_s_at	H2AFX	H2A histone family, member X	0.17	0.000111
