Symbol	Name	ProbeId	Embryo:Log2FC	Embryo:adj_p-value	Pup:Log2FC	Pup:adj_p-value
Chl1	cell adhesion molecule with homology to L1CAM	A_52_P441294	Embryo:7.15946294431322	Embryo:2.37145637551226e-07	Pup:3.52366519746686	Pup:0.00199067638074063
Allc	allantoicase	A_51_P394040	Embryo:3.02146728112272	Embryo:9.27623682148336e-06	Pup:6.54505305627889	Pup:1.36021041330956e-11
Rlbp1	retinaldehyde binding protein 1	A_51_P211793	Embryo:4.87397148198268	Embryo:1.08741641594062e-07	Pup:4.50969975505924	Pup:2.96892996666589e-07
Dmrta2	doublesex and mab-3 related transcription factor like family A2	A_51_P110081	Embryo:5.61768490427048	Embryo:1.97321499169807e-06	Pup:3.73272928700839	Pup:0.000376297648431348
Fabp7	fatty acid binding protein 7, brain	A_51_P290074	Embryo:5.47171099309183	Embryo:3.0288554625282e-11	Pup:3.60658542137716	Pup:3.59308050087132e-08
Dab1	disabled homolog 1 (Drosophila)	A_51_P437135	Embryo:4.3339226652428	Embryo:3.6578052300205e-05	Pup:4.29857501226952	Pup:3.30757038568617e-05
Dcx	doublecortin	A_52_P244349	Embryo:6.32177185520524	Embryo:3.2722231185133e-09	Pup:2.30255975707328	Pup:0.00304515680945308
Kif5c	kinesin family member 5C	A_52_P299903	Embryo:5.87383267182315	Embryo:5.27646767534643e-08	Pup:2.57291565966426	Pup:0.00249777284210794
3110035E14Rik	RIKEN cDNA 3110035E14 gene	A_52_P400355	Embryo:4.1103272444483	Embryo:1.06886362356622e-05	Pup:4.33273443530091	Pup:3.9959144209985e-06
Mtap7	microtubule-associated protein 7	A_51_P500981	Embryo:3.49108472988889	Embryo:2.67971481665928e-07	Pup:4.78822835354002	Pup:8.88271082617965e-10
Rhbdl2	rhomboid, veinlet-like 2 (Drosophila)	A_52_P404469	Embryo:3.36436210072693	Embryo:1.83875031379244e-05	Pup:4.83539863731726	Pup:5.04599236357584e-08
Srrm4	serine/arginine repetitive matrix 4	A_52_P14456	Embryo:6.16769384711959	Embryo:2.02668336269659e-08	Pup:1.98653222819139	Pup:0.0165675350889881
Dlx1	distal-less homeobox 1	A_52_P464831	Embryo:5.80091369997728	Embryo:1.0486847920273e-08	Pup:2.26225383519698	Pup:0.00299892431041568
Kcnj8	potassium inwardly-rectifying channel, subfamily J, member 8	A_52_P225898	Embryo:4.44808017943541	Embryo:1.46890698579223e-08	Pup:3.55410901823188	Pup:4.63873076552888e-07
Sox21	SRY-box containing gene 21	A_52_P326502	Embryo:4.34895370648458	Embryo:1.11283652278736e-05	Pup:3.60515352274879	Pup:0.000109812144565623
Nme5	non-metastatic cells 5, protein expressed in (nucleoside-diphosphate kinase)	A_51_P420969	Embryo:3.97486888752898	Embryo:3.73516967251441e-05	Pup:3.97748841279858	Pup:3.00404628968971e-05
Slc7a8	solute carrier family 7 (cationic amino acid transporter, y+ system), member 8	A_51_P112734	Embryo:4.27125773205888	Embryo:1.90911802140209e-09	Pup:3.59299857423828	Pup:2.84272714628588e-08
Kank4	KN motif and ankyrin repeat domains 4	A_52_P281145	Embryo:4.42636696025572	Embryo:1.92910550646058e-10	Pup:3.43562033298419	Pup:1.31663793792664e-08
Csdc2	cold shock domain containing C2, RNA binding	A_51_P183561	Embryo:4.14115765144741	Embryo:4.94583039822876e-10	Pup:3.71141447705086	Pup:2.52725904696758e-09
6330407J23Rik	RIKEN cDNA 6330407J23 gene	A_51_P157953	Embryo:5.18492388765592	Embryo:7.79245082794677e-08	Pup:2.65317601607192	Pup:0.000698576816864618
Vat1l	vesicle amine transport protein 1 homolog-like (T. californica)	A_52_P577533	Embryo:4.01189719393538	Embryo:0.000381697129232934	Pup:3.65333610833289	Pup:0.000834332988575595
Bai3	brain-specific angiogenesis inhibitor 3	A_51_P133761	Embryo:3.34472022916546	Embryo:0.00201030482752048	Pup:4.17914620919924	Pup:0.000149679726410616
