Gene symbol	Mean (A)	Mean (B)	Fold change (A/B)	Gene title
AMPH	120	245	-2.03	Amphiphysin
LMNA	680	1,367	-2.01	Lamin A/C
ANXA1	2,275	4,603	-2.02	Annexin A1
S100A4	3,170	6,728	-2.12	S100 calcium binding protein A4
FZD1	231	484	-2.09	Frizzled homolog 1
C1orf139	234	503	-2.15	Chromosome 1 open reading frame 139
CD59	1,155	2,364	-2.05	CD59 antigen p18-20
CAT	976	2,187	-2.24	Catalase
OLFML1	341	728	-2.14	Olfactomedin-like 1
LMNA	1,019	2,242	-2.2	Lamin A/C
NT5E	130	290	-2.23	5?-nucleotidase, ecto (CD73)
GLT8D2	381	842	-2.21	Glycosyltransferase 8 domain containing 2
LAMA2	94	221	-2.35	Laminin, alpha 2
RNASE4	92	209	-2.28	Ribonuclease, RNase A family, 4
EPLIN	865	2,040	-2.36	Epithelial protein lost in neoplasm beta
GADD45A	251	556	-2.21	Growth arrest and DNA-damage-inducible, alpha
KCNMA1	378	925	-2.44	Potassium large conductance calcium-activated
LGALS3	2,364	5,638	-2.38	Lectin, galactoside-binding, soluble, 3 (galectin 3)
RUNX1T1	140	341	-2.43	Runt-related transcription factor 1; translocated to, 1
EPS8	393	918	-2.33	Epidermal growth factor receptor pathway substrate 8
GPNMB	2,309	5,634	-2.44	Glycoprotein (transmembrane) nmb
COL3A1	9,038	20,742	-2.3	Collagen, type III, alpha 1
SPON1	45	121	-2.7	Spondin 1, extracellular matrix protein
DNM1	175	456	-2.61	Dynamin 1
KIAA0367	172	457	-2.65	KIAA0367
IL11RA	125	341	-2.72	Interleukin 11 receptor, alpha
COL6A1	390	1,075	-2.76	Collagen, type VI, alpha 1
COL8A2	282	859	-3.04	Collagen, type VIII, alpha 2
LRRC15	1,522	4,094	-2.69	Leucine rich repeat containing 15
ZBTB20	407	1,149	-2.82	Zinc finger and BTB domain containing 20
SPON1	304	873	-2.87	Spondin 1, extracellular matrix protein
FAS	137	421	-3.08	Fas (TNF receptor superfamily, member 6)
CRISPLD2	563	1,553	-2.76	Cysteine-rich secretory protein LCCL
MGP	2,104	6,137	-2.92	Matrix Gla protein
PLSCR4	191	557	-2.92	Phospholipid scramblase 4
EGFR	111	361	-3.26	Epidermal growth factor receptor
NID2	233	736	-3.17	Nidogen 2 (osteonidogen)
RNASE4	112	358	-3.21	Ribonuclease, RNase A family, 4
IL1R1	293	914	-3.12	Interleukin 1 receptor, type I
DKK3	89	321	-3.61	Dickkopf homolog 3
MFAP4	143	590	-4.12	Microfibrillar-associated protein 4
CSRP2	589	2,004	-3.4	Cysteine and glycine-rich protein 2
ANGPTL2	114	411	-3.61	Angiopoietin-like 2
FHL1	157	557	-3.55	Four and a half LIM domains 1
COL3A1	6,245	18,135	-2.9	Collagen, type III, alpha 1
COL6A1	2,820	8,359	-2.96	Collagen, type VI, alpha 1
CALD1	417	1,254	-3.01	Caldesmon 1
BHLHB3	289	1,007	-3.48	Basic helix-loop-helix domain containing, class B, 3
SEMA3C	54	205	-3.77	Sema domain, immunoglobulin domain
CALD1	96	321	-3.35	Caldesmon 1
COL6A2	1,754	5,247	-2.99	Collagen, type VI, alpha 2
AQP1	638	2,785	-4.36	Aquaporin 1 (channel-forming integral protein)
DCN	3,851	13,005	-3.38	Decorin
PDGFRL	236	944	-4.01	Platelet-derived growth factor receptor-like
FGFR2	65	329	-5.1	Fibroblast growth factor receptor 2
NNMT	382	1,268	-3.32	Nicotinamide N-methyltransferase
ANXA4	221	856	-3.87	Annexin A4
MXRA5	831	2,852	-3.43	Matrix-remodelling associated 5
TGFBI	2,013	6,936	-3.45	Transforming growth factor, beta-induced, 68 kDa
OLFML3	717	2,831	-3.95	Olfactomedin-like 3
PRELP	467	2,287	-4.89	Proline/arginine-rich end leucine-rich repeat protein
COL6A3	3,161	10,536	-3.33	Collagen, type VI, alpha 3
COL11A1	3,111	9,944	-3.2	Collagen, type XI, alpha 1
SPARCL1	734	3,136	-4.28	SPARC-like 1 (mast9, hevin)
CALD1	1,283	4,535	-3.54	Caldesmon 1
CAV1	602	2,814	-4.68	Caveolin 1, caveolae protein, 22 kDa
DCN	2,351	10,377	-4.41	Decorin
FMOD	503	2,694	-5.36	Fibromodulin
FBLN1	271	1,686	-6.21	Fibulin 1
ANGPTL2	705	3,621	-5.14	Angiopoietin-like 2
C1QTNF3	259	1,428	-5.51	C1q and tumor necrosis factor related protein 3
DKK3	402	1,922	-4.78	Dickkopf homolog 3 (Xenopus laevis)
NNMT	545	1,979	-3.63	Nicotinamide N-methyltransferase
ANGPTL2	198	1,114	-5.61	Angiopoietin-like 2
THBS2	914	2,833	-3.1	Thrombospondin 2
MMP2	1,670	7,241	-4.34	Matrix metallopeptidase 2
THBS4	298	2,250	-7.54	Thrombospondin 4
COL16A1	253	1,509	-5.97	Collagen, type XVI, alpha 1
ECM2	187	954	-5.11	Extracellular matrix protein 2
FHL1	988	4,692	-4.75	Four and a half LIM domains 1
DCN	1,864	8,437	-4.53	Decorin
FAP	244	1,376	-5.65	Fibroblast activation protein, alpha
LOXL1	185	1,272	-6.87	Lysyl oxidase-like 1
FBLN1	183	1,777	-9.71	Fibulin 1
PTN	424	3,781	-8.92	Pleiotrophin (heparin binding growth factor 8)
DCN	380	2,379	-6.26	Decorin
ASPN	1,415	9,796	-6.92	Asporin (LRR class 1)
OGN	78	1,027	-13.2	Osteoglycin (osteoinductive factor, mimecan)
BGLAP	178	5,425	-30.54	Bone gamma-carboxyglutamate (gla)
