Agilent ID	ZF gene ID	Human Homolog	PROBE	Gene ID
A_15_P284621	wu:fb94b04	CCDC21	1451212_at	Ccdc21
A_15_P100847	pptc7	PPTC7	1455958_s_at	Pptc7
A_15_P496122	btg2	BTG2	1416250_at	Btg2
A_15_P755526	ypel3	YPEL3	1426624_a_at	Ypel3
A_15_P173031	zgc:64130	SH3BGRL	1416338_at	Sh3gl1
A_15_P165501	myo18l1	MYO18A	1451422_at	Myo18a
A_15_P160631	zgc:158611	ZUFSP	1436899_at	Zufsp
A_15_P236271	vamp2	VAMP2	1420833_at	Vamp2
A_15_P734556	cxcr4a	CXCR4	1448710_at	Cxcr4
A_15_P113473	ucp2	UCP2	1448188_at	Ucp2
A_15_P261266	dlg1	DLG1	1415691_at	Dlg1
A_15_P160571	top1l	TOP1	1423474_at	Top1
A_15_P429265	arpc5a	ARPC5	1448129_at	Arpc5
A_15_P408085	tnfrsf18	TNFRSF18	1422303_a_at	Tnfrsf18
A_15_P323371	arhgef1	ARHGEF2	1427646_a_at	Arhgef2
A_15_P121111	zgc:136939	MGAT5	1425744_a_at	Mgat5
A_15_P729351	LOC555824	DNAJC14	1437546_at	Dnajc14
A_15_P753916	ap1b1	AP1B1	1416279_at	Ap1b1
A_15_P485590	si:ch211-257c9.1	RSPRY1	1424134_at	Rspry1
A_15_P101805	slc25a25	SLC25A25	1424735_at	Slc25a25
A_15_P114243	xbp1	XBP1	1420011_s_at	Xbp1
A_15_P117020	tcf12	TCF12	1427670_a_at	Tcf12
A_15_P193576	mhc1ufa	TAPBP	1421812_at	Tapbp
A_15_P149801	ranbp9	RANBP9	1456199_x_at	Ranbp9
A_15_P597377	apc	APC	1420957_at	Apc
A_15_P187016	stat3	STAT3	1424272_at	Stat3
A_15_P120303	slc37a2	SLC37A2	1452492_a_at	Slc37a2
A_15_P106725	n4bp1	N4BP1	1418154_at	N4bp1
A_15_P101680	rnf146	RNF146	1425001_at	Rnf146
A_15_P705286	zgc:100921	UBE2A	1423106_at	Ube2b
A_15_P653626	zgc:101121	ZFAND6	1422032_a_at	Zfand6
A_15_P658831	dusp2	DUSP2	1450698_at	Dusp2
A_15_P621291	zgc:92925	MFSD6	1424463_at	Mfsd6
A_15_P109764	nr4a1	NR4A1	1416505_at	Nr4a1
A_15_P154833	slc6a6	SLC6A6	1449751_at	Slc6a6
A_15_P107585	smc4	SMC4	1427275_at	Smc4
A_15_P171411	tmprss4a	TMPRSS4	1426302_at	Tmprss4
A_15_P100931	dnajc5aa	DNAJC5	1436180_at	Dnajc5
A_15_P222226	slc6a13	SLC6A12	1449382_at	Slc6a12
A_15_P164586	si:ch211-107o23.1	PPP1R15B	1426798_a_at	Ppp1r15b
A_15_P182106	nr1d2b	NR1D2	1416958_at	Nr1d2
A_15_P516072	zgc:136557	TNFRSF9	1428034_a_at	Tnfrsf9
A_15_P628381	spred2	SPRED2	1423001_at	Spred2
A_15_P103186	rel	REL	1420710_at	Rel
A_15_P105919	fgf6a	FGF6	1427582_at	Fgf6
