Gene symbol	Mean fold change	Name
FGD5	0.5	FYVE, RhoGEF and PH domain containing 5
CD63	0.5	CD63 molecule
EEF1A1	0.5	eukaryotic translation elongation factor 1 alpha 1
ZNF409	0.5	zinc finger protein 409
KIAA0831	0.5	KIAA0831
SAA1	0.5	serum amyloid A1
CXorf36	0.5	chromosome × open reading frame 36
IQCE	0.5	IQ motif containing E
C10orf116	0.5	chromosome 10 open reading frame 116
RPLP2	0.4	ribosomal protein, large, P2
G0S2	0.4	G0/G1switch 2
THRAP2	0.4	mediator complex subunit 13-like
CFD	0.4	complement factor D (adipsin)
RPS20	0.4	ribosomal protein S20
RAMP2	0.4	receptor (G protein-coupled) activity modifying protein 2
RPS28	0.4	ribosomal protein S28
LIPE	0.4	lipase, hormone-sensitive
CYB5R3	0.4	cytochrome b5 reductase 3
HRASLS3	0.4	phospholipase A2, group XVI
C19orf55	0.4	chromosome 19 open reading frame 55
