Gene Title	Gene Symbol	ID	P.Value	adj.P.Val	logFC
similar to hypothetical protein MGC42630 /// hypothetical protein MGC42630 /// hypothetical LOC504188	LOC158318 /// MGC42630 /// LOC504188	1553590_at	3,77E-09	0,000103	1,284,223
proprotein convertase subtilisin/kexin type 6	PCSK6	207414_s_at	3,54E-09	0,000103	1,435,284
		220701_at	2,07E-08	0,000378	-0,86895
carboxypeptidase A6	CPA6	1552511_a_at	1,04E-07	0,001417	1,247,438
protein kinase (cAMP-dependent, catalytic) inhibitor alpha	PKIA	204612_at	1,62E-07	0,001478	-170,916
interleukin 17D	IL17D	227401_at	1,38E-07	0,001478	-151,526
dipeptidylpeptidase 4 (CD26, adenosine deaminase complexing protein 2)	DPP4	203716_s_at	2,35E-07	0,001839	2,149,853
BAI1-associated protein 2	BAIAP2	1556145_a_at	3,57E-07	0,002443	0,85672
Aryl hydrocarbon receptor	AHR	1559035_a_at	4,21E-07	0,002557	1,263,743
hypothetical protein LOC253982	LOC253982	214993_at	6,09E-07	0,003328	0,657823
chromosome 2 open reading frame 23	C2orf23	204365_s_at	7,23E-07	0,003592	-0,77833
toll-interleukin 1 receptor (TIR) domain containing adaptor protein	TIRAP	1554091_a_at	1,34E-06	0,005045	-107,611
tight junction protein 3 (zona occludens 3)	TJP3	213412_at	1,24E-06	0,005045	1,056,165
hypothetical protein FLJ13841	FLJ13841	219995_s_at	1,38E-06	0,005045	1,495,932
olfactory receptor, family 51, subfamily B, member 5	OR51B5	234775_at	1,14E-06	0,005045	-0,86369
suppressor of cytokine signaling 2	SOCS2	203372_s_at	1,96E-06	0,006691	2,636,933
CDNA clone IMAGE:5265747		1555994_at	3,03E-06	0,009742	0,923981
F-box and leucine-rich repeat protein 16	FBXL16	227641_at	3,73E-06	0,011327	-111,153
chromosome 1 open reading frame 142	C1orf142	230810_at	4,01E-06	0,011552	-0,71443
dipeptidylpeptidase 4 (CD26, adenosine deaminase complexing protein 2)	DPP4	211478_s_at	4,52E-06	0,012143	2,123,167
dehydrogenase/reductase (SDR family) member 9	DHRS9	219799_s_at	4,66E-06	0,012143	-0,69388
suppressor of cytokine signaling 2	SOCS2	203373_at	5,33E-06	0,01317	2,454,919
EPH receptor B2	EPHB2	234158_at	5,54E-06	0,01317	0,806845
spondin 1, extracellular matrix protein	SPON1	209436_at	8,37E-06	0,018298	119,454
Acyl-Coenzyme A oxidase 3, pristanoyl	ACOX3	243817_at	8,07E-06	0,018298	-0,77482
spondin 1, extracellular matrix protein	SPON1	213994_s_at	9,16E-06	0,019257	1,870,146
Xg blood group (pseudoautosomal boundary-divided on the X chromosome)	XG	1563420_at	1,23E-05	0,021793	1,451,362
spondin 1, extracellular matrix protein	SPON1	209437_s_at	1,15E-05	0,021793	1,246,723
Protein kinase C, epsilon	PRKCE	216753_at	1,24E-05	0,021793	-0,81188
hypothetical protein MGC42630	MGC42630	227563_at	1,23E-05	0,021793	0,952581
zinc finger protein 335	ZNF335	78330_at	1,18E-05	0,021793	-0,95327
hypothetical gene supported by AK091454	LOC285382	242447_at	1,37E-05	0,023389	-0,8158
Ryanodine receptor 3	RYR3	241901_at	1,52E-05	0,025124	-0,944
v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	ETS2	201329_s_at	1,57E-05	0,025297	1,003,391
LIM homeobox 6	LHX6	224556_s_at	1,62E-05	0,025355	0,707453
growth arrest-specific 2	GAS2	205848_at	1,7E-05	0,02579	2,442,036
SH3-domain GRB2-like 3		230959_at	1,84E-05	0,027152	109,072
Death-associated protein kinase 1	DAPK1	237409_at	2,1E-05	0,030229	1,255,728
family with sequence similarity 49, member A /// family with sequence similarity 49, member A	FAM49A	208092_s_at	2,22E-05	0,03109	-0,89989
hypothetical gene supported by BC028053	LOC440569	1569386_at	2,34E-05	0,03183	0,901727
cysteinyl leukotriene receptor 2	CYSLTR2	220813_at	2,5E-05	0,03183	1,224,922
protocadherin beta 13	PCDHB13	221450_x_at	2,41E-05	0,03183	0,676771
Adaptor-related protein complex 4, epsilon 1 subunit	AP4E1	241174_at	2,46E-05	0,03183	-0,90015
syndecan binding protein (syntenin) 2	SDCBP2	233565_s_at	2,62E-05	0,032525	-0,83116
src family associated phosphoprotein 1	SCAP1	205790_at	2,74E-05	0,032776	-133,791
homeo box A9	HOXA9	209905_at	2,82E-05	0,032776	2,043,246
Rho GTPase activating protein 10	ARHGAP10	239567_at	2,78E-05	0,032776	-109,894
Rho GTPase-activating protein	RICS	203431_s_at	2,9E-05	0,033081	-134,478
enhancer of zeste homolog 2 (Drosophila)	EZH2	203358_s_at	3,19E-05	0,034046	-0,65741
defensin, alpha 6, Paneth cell-specific	DEFA6	207814_at	3,3E-05	0,034046	1,288,429
chromosome 1 open reading frame 105	C1orf105	214357_at	3,17E-05	0,034046	-108,944
brain and acute leukemia, cytoplasmic	BAALC	218899_s_at	3,24E-05	0,034046	1,652,154
chromosome 1 open reading frame 116	C1orf116	219856_at	3,17E-05	0,034046	0,519867
Potassium voltage-gated channel, KQT-like subfamily, member 1	KCNQ1OT1	237249_at	3,36E-05	0,034049	0,77784
olfactory receptor, family 5, subfamily U, member 1	OR5U1	234545_at	3,57E-05	0,035492	-0,88816
hypothetical gene LOC133874	LOC133874	1554115_at	3,76E-05	0,036728	-0,59776
spondin 1, extracellular matrix protein	SPON1	213993_at	3,88E-05	0,036764	15,679
chromosome 1 open reading frame 165	C1orf165	219670_at	3,97E-05	0,036764	-0,95235
Hypothetical protein LOC441168	LOC441168	228362_s_at	4,02E-05	0,036764	0,930994
Solute carrier family 35, member F3	SLC35F3	231520_at	4,03E-05	0,036764	0,83601
Protein kinase (cAMP-dependent, catalytic) inhibitor alpha	PKIA	1563217_at	4,17E-05	0,037264	-161,645
myosin, heavy polypeptide 14	MYH14	217660_at	4,23E-05	0,037264	0,906789
CDNA clone IMAGE:4828909		1563283_at	4,32E-05	0,037511	-100,588
down-regulated in gastric cancer GDDR	GDDR	238222_at	4,48E-05	0,038288	-0,75619
v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian)	SRC	1558211_s_at	4,58E-05	0,038522	-0,7583
EPH receptor B2	EPHB2	210651_s_at	4,67E-05	0,038692	-0,68255
CDNA clone IMAGE:4694535		1564760_at	4,79E-05	0,039111	-0,8968
Chromosome 2 open reading frame 27	C2orf27	230336_at	4,9E-05	0,039372	1,039,966
Vacuolar protein sorting 13A (yeast)	VPS13A	1570295_at	4,99E-05	0,039466	-0,87781
ethanolamine kinase 2	ETNK2	219268_at	5,05E-05	0,039466	-0,76813
uronyl-2-sulfotransferase	UST	205138_s_at	5,16E-05	0,039748	0,855043
hypothetical protein LOC144481	LOC144481	1559315_s_at	5,42E-05	0,040594	1,169,696
thioesterase domain containing 1	THEDC1	222945_x_at	5,36E-05	0,040594	-100,074
UTP15, U3 small nucleolar ribonucleoprotein, homolog (yeast)	FLJ12787	221038_at	5,56E-05	0,041075	-0,9038
Similar to ZNF43 protein		1565748_at	5,74E-05	0,041867	-0,69271
SLAM family member 6	SLAMF6	1552497_a_at	6,07E-05	0,043684	-0,6851
Four and a half LIM domains 2	FHL2	1557274_at	6,62E-05	0,046982	-0,70083
multimerin 2	MMRN2	219091_s_at	6,8E-05	0,047662	-0,67255
hypothetical gene supported by AK091527	FLJ34208	1566761_a_at	7,11E-05	0,048614	-0,64129
Amyloid beta (A4) precursor-like protein 2	APLP2	208701_at	7,05E-05	0,048614	-0,91316
