Gene Symbol	Gene symbol/name	Redundancy SSH-I	Redundancy SSH-II	Redundancy Total	Location	Category
RNR2	6s rRNA	53	27	80	M	Protein synthesis
RNR1	12s rRNA	16	22	38	M	Protein synthesis
ATP6	ATP synthase F0 subunit 6	5	13	18	M	Respiration/redox
COX2	cytochrome c oxidase subunit II	6	7	13	M	Respiration/redox
ND1	NADH dehydrogenase, subunit 1	7	3	10	M	Respiration/redox
COX1	cytochrome c oxidase subunit I	8		8	M	Respiration/redox
ND5	NADH dehydrogenase, subunit 5	4	4	8	M	Respiration/redox
ATP8	ATP synthase F0 subunit 8	1	4	5	M	Respiration/redox
ND4	NADH dehydrogenase, subunit 4	2	3	5	M	Respiration/redox
CYTB	cytochrome b		4	4	M	Respiration/redox
CYTB	mitochondrial control region	3		3	M	Expression regulation/ nucleic acid modification
HBB	hemoglobin beta	10	3	13		Transport/motility
DNAJB1	DnaJ (Hsp40) homolog, subfamily B, member 1	4	4	8		Stress response
RPL10	ribosomal protein L10	1	6	7		Protein synthesis
28S rRNA	28S ribosomal RNA	6		6		Protein synthesis
RPS4X	ribosomal protein S4, X-linked X isoform		6	6		Protein synthesis
RPS12	ribosomal protein S12		5	5		Protein synthesis
EEF1A1	eukaryotic translation elongation factor 1 alpha		4	4		Protein synthesis
HSPA8	heat shock 70 kDa protein 8 isoform 2		4	4		Stress response
ZNF331	zinc finger protein 331	4		4		Expression regulation/ nucleic acid modification
BCL11B	B-cell CLL/lymphoma 11B (zinc finger protein)	3		3		Cell cycle and development
FOS	v-fos FBJ murine osteosarcoma viral oncogene homolog	1	2	3		Expression regulation/ nucleic acid modification
FTH1	ferritin, heavy polypeptide 1	1	2	3		Transport/motility
HERPUD1	homocysteine-inducible, endoplasmic reticulum  stress-inducible, ubiquitin-like domain member 1	1	2	3		Stress response
RPS15A	ribosomal protein S15a		3	3		Protein synthesis
SARS-CoV M	SARS-CoV M	1		1
