 ProbeID  	 t-statistic  	 pvalue  	 qvalue  	 log2(Fold Change)  	 UNQ  	 UNQ_Shor HUGO Symbol  	 Description  
 209283_at  	 -13.469  	 0  	 0  	 -1.472 UNQ2653 CRYAB  	 CRYAB  	" crystallin, alpha B  "	
 228955_at  	 9.83  	 0  	 0  	 1.242 UNQ2146 LRP8  	 LRP8  	" low density lipoprotein receptor-related protein 8, apolipoprotein e receptor  "	
 218856_at  	 -9.526  	 0  	 0  	 -1.405 UNQ437  	 TNFRSF21 TNFRSF21  	" tumor necrosis factor receptor superfamily, member 21  "	
 213134_x_  	 11.135  	 0  	 0  	 0.75 UNQ21940 BTG3  	 BTG3  	" BTG family, member 3  "	
 219271_at  	 10.566  	 0  	 0  	 3.048 UNQ2434 GALNT14 CAPN14|GALNT14  	 calpain 14|UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 14 (GalNAc-T14)  		
 206114_at  	 -9.343  	 0  	 0  	 -3.011 UNQ969  	 EPHA4  	 EPHA4  	 EPH receptor A4  
 202309_at  	 9.541  	 0  	 0  	 0.881 UNQ3256 MTHFD1  	 MTHFD1  	" methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1, methenyltetrahydrofolate cyclohydrolase, formylt  "	
 225520_at  	 11.123  	 0  	 0  	 1.097 UNQ16577 MTHFD1L MTHFD1L  	 methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like  		
 201761_at  	 13.105  	 0  	 0  	 0.999 UNQ7842 MTHFD2  	 MTHFD2  	" methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase  "	
 230266_at  	 -10.745  	 0  	 0  	 -1.764 UNQ32692 RAB7B  	 RAB7B  	" RAB7B, member RAS oncogene family  "	
 212190_at  	 10.41  	 0  	 0  	 1.687 UNQ1485 SERPINE2 SERPINE2  	" serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 2  "		
 209406_at  	 9.359  	 0  	 0  	 1.052 UNQ17175 BAG2  	 BAG2  	 BCL2-associated athanogene 2  	
 200952_s_  	 -11.504  	 0  	 0  	 -3.501 UNQ2066 CCND2  	 CCND2  	 cyclin D2  	
 218585_s_  	 13.113  	 0  	 0  	 1.22 UNQ14869 DTL  	 DTL  	 denticleless homolog (Drosophila)  	
 209800_at  	 -9.668  	 0  	 0  	 -1.546 UNQ22460 KRT16  	 KRT16  	 keratin 16 (focal non-epidermolytic palmoplantar keratoderma)  	
 205569_at  	 10.632  	 0  	 0  	 3.735 UNQ12057 LAMP3  	 LAMP3  	 lysosomal-associated membrane protein 3  	
 210959_s_  	 -9.885  	 0  	 0  	 -0.989 UNQ5731 SRD5A1  	 SRD5A1  	" steroid-5-alpha-reductase, alpha polypeptide 1 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 1)  "	
 205542_at  	 9.959  	 0  	 0  	 2.085 UNQ9109 STEAP1  	 STEAP1  	 six transmembrane epithelial antigen of the prostate 1  	
 223229_at  	 13.004  	 0  	 0  	 1.304 UNQ10662 UBE2T  	 UBE2T  	 ubiquitin-conjugating enzyme E2T (putative)  	
 205393_s_  	 10.346  	 0  	 0  	 1.109 UNQ5011 CHEK1  	 CHEK1  	 CHK1 checkpoint homolog (S. pombe)  	
 201710_at  	 14.6  	 0  	 0  	 2.559 UNQ2311 MYBL2  	 MYBL2  	 v-myb myeloblastosis viral oncogene homolog (avian)-like 2  	
 219493_at  	 11.655  	 0  	 0  	 1.041 UNQ17150 SHCBP1  	 SHCBP1  	 SHC SH2-domain binding protein 1  	
 202589_at  	 11.505  	 0  	 0  	 1.196 UNQ9766 TYMS  	 TYMS  	 thymidylate synthetase  	
 204126_s_  	 16.226  	 0  	 0  	 4.495 UNQ374  	 CDC45L  	 CDC45L  	 CDC45 cell division cycle 45-like (S. cerevisiae)  
 224753_at  	 10.338  	 0  	 0  	 1.597 UNQ16606 CDCA5  	 CDCA5  	 cell division cycle associated 5  	
 224428_s_  	 20.514  	 0  	 0  	 1.723 UNQ12596 CDCA7  	 CDCA7  	 cell division cycle associated 7  	
 201710_at  	 14.6  	 0  	 0  	 2.559 UNQ2311 MYBL2  	 MYBL2  	 v-myb myeloblastosis viral oncogene homolog (avian)-like 2  	
 205047_s_  	 10.67  	 0  	 0  	 2.093 UNQ3246 ASNS  	 ASNS  	 asparagine synthetase  	
 205034_at  	 24.867  	 0  	 0  	 2.722 UNQ10482 CCNE2  	 CCNE2  	 cyclin E2  	
 224428_s_  	 20.514  	 0  	 0  	 1.723 UNQ12596 CDCA7  	 CDCA7  	 cell division cycle associated 7  	
 225081_s_  	 9.781  	 0  	 0  	 0.78 UNQ20689 CDCA7L  	 CDCA7L  	 cell division cycle associated 7-like  	
 218741_at  	 10.134  	 0  	 0  	 1.772 UNQ9633 C22orf18  	 CENPM  	 centromere protein M  	
 213008_at  	 9.988  	 0  	 0  	 1.641 UNQ11516 FKDV1151 FANCI  	" Fanconi anemia, complementation group I  "		
 218350_s_  	 12.735  	 0  	 0  	 0.882 UNQ9997 GMNN  	 GMNN  	" geminin, DNA replication inhibitor  "	
