Biological processes	Gene name	Gene description	Fold change In vitro; 300 microM	Fold change In vivo; 2 mg/kg	Fold change In vivo; 10 mg/kg
Hormone transport	Slc27a2	Solute carrier family 27 (fatty acid transporter), member 2	2.3	1.2	1.2
AcylcoA formation hydrolysis and binding	Acsl1	Acyl-CoA synthetase long-chain family member 1	3.6	1.5	1.6
AcylcoA formation hydrolysis and binding	Fabp1	Fatty acid binding protein 1, liver	2.9	-1	-1.2
AcylcoA formation hydrolysis and binding	Fabp3	Fatty acid binding protein 3, muscle and heart	10.9	14	33
AcylcoA formation hydrolysis and binding	Fabp4	Fatty acid binding protein 4, adipocyte	1	-1.2	-1.1
Mitochondrial beta-oxidation and oxidative phosphorylation	Acsl3	Acyl-CoA synthetase long-chain family member 3	3.6	3.9	5.3
Mitochondrial beta-oxidation and oxidative phosphorylation	Acsl4	Acyl-CoA synthetase long-chain family member 4	1.1	1.2	1.2
Mitochondrial beta-oxidation and oxidative phosphorylation	Acadvl	Acyl-Coenzyme A dehydrogenase, very long chain	1.9	1.5	1.5
Mitochondrial beta-oxidation and oxidative phosphorylation	Acads	Acyl-Coenzyme A dehydrogenase, C-2 to C-3 short chain	1.4	1.3	1.3
Mitochondrial beta-oxidation and oxidative phosphorylation	Acot8	Acyl-CoA thioesterase 8	1.3	2.9	3.1
Mitochondrial beta-oxidation and oxidative phosphorylation	Etfdh	Electron-transferring-flavoprotein dehydrogenase	2	1.2	1.2
Mitochondrial beta-oxidation and oxidative phosphorylation	Acaa2	Acetyl-Coenzyme A acyltransferase 2	4.2	1.8	1.9
Mitochondrial beta-oxidation and oxidative phosphorylation	Acadm	Acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain	3	1.7	1.8
Mitochondrial beta-oxidation and oxidative phosphorylation	Acadl	Acyl-Coenzyme A dehydrogenase, long chain	1.5	1.5	1.5
Mitochondrial beta-oxidation and oxidative phosphorylation	Acot12	Acyl-CoA thioesterase 12	2.7	2.1	2.2
Mitochondrial beta-oxidation and oxidative phosphorylation	Hadha	Hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A	2.8	1.7	1.8
Mitochondrial beta-oxidation and oxidative phosphorylation	Hadhb	Thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), beta subunit	2.3	1.6	1.7
Mitochondrial beta-oxidation and oxidative phosphorylation	Cpt1a	Carnitine palmitoyltransferase 1A (liver)	3	1.4	1.3
Mitochondrial beta-oxidation and oxidative phosphorylation	Cpt2	Carnitine palmitoyltransferase II	2.7	2.1	2.2
Mitochondrial beta-oxidation and oxidative phosphorylation	Crat	Carnitine acetyltransferase	3.6	3.4	3.9
Mitochondrial beta-oxidation and oxidative phosphorylation	Slc22a5	Solute carrier family 22 (organic cation/carnitine transporter), member 5	2.9	2.5	2.6
Mitochondrial beta-oxidation and oxidative phosphorylation	Slc25a20	Solute carrier family 25 (carnitine/acylcarnitine translocase), member 20	2.5	1.7	1.8
Mitochondrial beta-oxidation and oxidative phosphorylation	Txnip	Thioredoxin interacting protein	5	1.5	1.5
Mitochondrial beta-oxidation and oxidative phosphorylation	Ucp2	Uncoupling protein 2 (mitochondrial, proton carrier)	5.1	1.3	1.4
Ketogenesis	Fgf21	Fibroblast growth factor 21	2.5	2.3	2
Ketogenesis	Acat1	Acetyl-Coenzyme A acetyltransferase 1 (acetoacetyl Coenzyme A thiolase)	3.3	1.9	2.1
Ketogenesis	Hmgcs2	3-Hydroxy-3-methylglutaryl-Coenzyme A synthase 2 (mitochondrial)	2.1	1.5	1.3
Peroxisomal beta-oxidation	Abcd2	ATP-binding cassette, sub-family D (ALD), member 2	1	2.6	2.8
Peroxisomal beta-oxidation	Abcd3	ATP-binding cassette, sub-family D (ALD), member 3	3.1	2.2	2.3
Peroxisomal beta-oxidation	Acox1	Acyl-Coenzyme A oxidase 1, palmitoyl	3.6	1.7	1.5
Peroxisomal beta-oxidation	Decr1	2,4-Dienoyl CoA reductase 1, mitochondrial	3.9	1.7	1.7
Peroxisomal beta-oxidation	Decr2	2,4-Dienoyl CoA reductase 2, peroxisomal	3.5	1.7	1.8
