Predicted biomarkers	p-value
S100A6	2.86E-07
CD44	2.86E-07
CDKN2A	2.86E-07
CTGF	2.86E-07
ESR1	2.86E-07
IGFBP5	2.86E-07
TFF1	2.86E-07
GSTP1	2.86E-07
IGFBP2	2.86E-07
GJA1	2.86E-07
WNT5A	2.86E-07
NUPR1	2.86E-07
S100A2	2.86E-07
CD44	1.68E-06
CYP1B1	1.68E-06
CDKN2A	1.68E-06
CTGF	1.68E-06
ESR1	1.68E-06
IGFBP5	1.68E-06
TFF1	1.68E-06
GSTP1	1.68E-06
GJA1	1.68E-06
PTN	1.68E-06
COL1A2	1.68E-06
S100A2	1.68E-06
IFI16	1.68E-06
CD44	4.09E-06
CTGF	4.09E-06
ESR1	4.09E-06
IGFBP5	4.09E-06
TFF1	4.09E-06
KRT18	4.09E-06
INHBA	4.09E-06
IGFBP2	4.09E-06
GJA1	4.09E-06
PTN	4.09E-06
COL1A2	4.09E-06
S100A2	4.09E-06
CD44	8.52E-06
CDKN2A	8.52E-06
ESR1	8.52E-06
SEMA3F	8.52E-06
ANXA1	8.52E-06
TFAP2A	8.52E-06
COL1A2	8.52E-06
LITAF	8.52E-06
S100A2	8.52E-06
TOP2A	8.52E-06
FDXR	8.52E-06
IFI16	8.52E-06
CTGF	8.56E-06
IGFBP5	8.56E-06
INHBA	8.56E-06
GJA1	8.56E-06
WNT5A	8.56E-06
CRABP2	8.56E-06
COL1A2	8.56E-06
ZIC1	8.56E-06
GATA3	9.57E-06
CD44	9.57E-06
CDKN2A	9.57E-06
CTGF	9.57E-06
ESR1	9.57E-06
IGFBP5	9.57E-06
MAFB	9.57E-06
TFF1	9.57E-06
IGFBP2	9.57E-06
GJA1	9.57E-06
TFAP2A	9.57E-06
COL1A2	9.57E-06
CYP1B1	1.04E-05
CTGF	1.04E-05
ESR1	1.04E-05
IGFBP5	1.04E-05
TFF1	1.04E-05
KRT18	1.04E-05
INHBA	1.04E-05
IGFBP2	1.04E-05
GJA1	1.04E-05
TFAP2A	1.04E-05
S100A6	1.71E-05
CD44	1.71E-05
CYP1B1	1.71E-05
CTGF	1.71E-05
ESR1	1.71E-05
IGFBP5	1.71E-05
TFF1	1.71E-05
GSTP1	1.71E-05
INHBA	1.71E-05
GJA1	1.71E-05
PTN	1.71E-05
IGFBP7	1.71E-05
TFAP2A	1.71E-05
COL1A2	1.71E-05
MX1	1.71E-05
CD44	2.30E-05
CTGF	2.30E-05
ESR1	2.30E-05
TFF1	2.30E-05
KRT18	2.30E-05
IGFBP2	2.30E-05
COL1A2	2.30E-05
GATA3	2.89E-05
CD44	2.89E-05
CDKN2A	2.89E-05
CTGF	2.89E-05
IGFBP5	2.89E-05
INHBA	2.89E-05
GJA1	2.89E-05
IGFBP7	2.89E-05
CRABP2	2.89E-05
COL1A2	2.89E-05
VAV3	2.89E-05
