Gene Onthology Code	Gene Onthology Name	P-Value
GO:0032501	multicellular organismal process;	1.26E-60
GO:0032502	developmental process;	2.72E-54
GO:0007275	multicellular organismal development;	2.64E-51
GO:0048856	anatomical structure development;	1.07E-44
GO:0048731	system development;	1.03E-41
GO:0048869	cellular developmental process;	1.41E-34
GO:0030154	cell differentiation;	1.41E-34
GO:0048513	organ development;	1.72E-29
GO:0048519	negative regulation of biological process;	5.04E-21
GO:0048523	negative regulation of cellular process;	1.47E-19
GO:0009653	anatomical structure morphogenesis;	1.48E-19
GO:0007399	nervous system development;	8.61E-18
GO:0065007	biological regulation;	8.88E-16
GO:0008283	cell proliferation;	6.70E-15
GO:0048468	cell development;	9.46E-15
GO:0016043	cellular component organization and biogenesis;	1.33E-14
GO:0007267	cell-cell signaling;	1.97E-14
GO:0050789	regulation of biological process;	3.40E-14
GO:0003008	system process;	4.41E-14
GO:0050794	regulation of cellular process;	3.63E-13
GO:0009790	embryonic development;	8.08E-13
GO:0048518	positive regulation of biological process;	1.03E-12
GO:0048522	positive regulation of cellular process;	5.34E-12
GO:0050877	neurological system process;	5.73E-12
GO:0045934	negative regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process	5.98E-12
GO:0007154	cell communication;	3.17E-11
GO:0016070	RNA metabolic process;	3.68E-11
GO:0009887	organ morphogenesis	4.68E-11
GO:0006366	transcription from RNA polymerase II promoter	5.17E-11
GO:0031324	negative regulation of cellular metabolic process;	6.93E-11
GO:0007417	central nervous system development;	1.59E-10
GO:0016481	negative regulation of transcription;	2.43E-10
GO:0007600	sensory perception;	2.64E-10
GO:0030182	neuron differentiation;	4.69E-10
GO:0009892	negative regulation of metabolic process;	4.69E-10
GO:0009888	tissue development;	7.06E-10
GO:0042127	regulation of cell proliferation;	1.20E-09
GO:0006357	regulation of transcription from RNA polymerase II promoter;	2.93E-09
GO:0006996	organelle organization and biogenesis;	1.11E-08
GO:0006396	RNA processing;	1.47E-08
GO:0048699	generation of neurons;	1.68E-08
GO:0006139	nucleobase, nucleoside, nucleotide and nucleic acid metabolic process;	2.59E-08
GO:0051606	detection of stimulus;	2.63E-08
GO:0022008	neurogenesis;	3.35E-08
GO:0042221	response to chemical stimulus;	3.35E-08
GO:0008219	cell death;	5.86E-08
GO:0016265	death;	5.86E-08
GO:0006351	transcription, DNA-dependent;	9.42E-08
GO:0032774	RNA biosynthetic process;	1.11E-07
GO:0031323	regulation of cellular metabolic process;	1.24E-07
GO:0043283	biopolymer metabolic process;	1.44E-07
GO:0008285	negative regulation of cell proliferation;	2.45E-07
GO:0000902	cell morphogenesis;	2.45E-07
GO:0032989	cellular structure morphogenesis;	2.45E-07
GO:0006355	regulation of transcription, DNA-dependent;	3.04E-07
GO:0009605	response to external stimulus;	3.30E-07
GO:0012501	programmed cell death;	3.39E-07
GO:0007165	signal transduction;	3.42E-07
GO:0006915	apoptosis;	4.18E-07
GO:0045941	positive regulation of transcription;	4.66E-07
GO:0045935	positive regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process;	5.79E-07
GO:0022402	cell cycle process;	8.60E-07
GO:0019219	regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process;	8.60E-07
GO:0048666	neuron development;	9.05E-07
GO:0001501	skeletal development;	9.39E-07
GO:0019222	regulation of metabolic process;	9.65E-07
GO:0031325	positive regulation of cellular metabolic process;	1.18E-06
GO:0000904	cellular morphogenesis during differentiation;	1.28E-06
GO:0048667	neuron morphogenesis during differentiation;	1.74E-06
GO:0048812	neuron projection morphogenesis	1.74E-06
GO:0031175	neuron projection development	1.89E-06
GO:0048598	embryonic morphogenesis;	2.31E-06
GO:0010468	regulation of gene expression;	2.31E-06
GO:0009893	positive regulation of metabolic process;	2.79E-06
GO:0007398	ectoderm development;	4.09E-06
GO:0007166	cell surface receptor linked signal transduction;	4.09E-06
GO:0045449	regulation of transcription;	4.70E-06
GO:0050793	regulation of developmental process;	4.85E-06
GO:0045892	negative regulation of transcription, DNA-dependent	5.11E-06
GO:0019953	sexual reproduction;	5.14E-06
GO:0006350	transcription;	5.14E-06
GO:0006952	defense response;	7.73E-06
GO:0007049	cell cycle;	8.25E-06
GO:0009581	detection of external stimulus;	1.05E-05
GO:0045595	regulation of cell differentiation;	1.28E-05
GO:0022414	reproductive process;	1.35E-05
GO:0007409	axonogenesis;	1.35E-05
GO:0006968	cellular defense response;	1.38E-05
GO:0044238	primary metabolic process;	1.56E-05
GO:0010467	gene expression;	2.06E-05
GO:0007420	brain development;	2.17E-05
GO:0050953	sensory perception of light stimulus;	2.91E-05
GO:0007601	visual perception;	2.91E-05
GO:0044237	cellular metabolic process;	3.37E-05
GO:0008284	positive regulation of cell proliferation;	3.47E-05
GO:0002520	immune system development;	3.47E-05
GO:0000122	negative regulation of transcription from RNA polymerase II promoter	4.38E-05
GO:0000074	regulation of progression through cell cycle;	4.46E-05
GO:0007276	GO:0007276,%biological_process%reproduction%sexual reproduction	6.19E-05
GO:0051179	localization;	6.96E-05
GO:0032990	cell part morphogenesis;	7.40E-05
GO:0030030	cell projection organization and biogenesis;	7.40E-05
GO:0048858	cell projection morphogenesis;	7.40E-05
GO:0016044	membrane organization and biogenesis;	7.48E-05
GO:0043170	macromolecule metabolic process;	7.56E-05
GO:0051726	regulation of cell cycle;	7.82E-05
GO:0045893	positive regulation of transcription, DNA-dependent;	9.04E-05
GO:0007517	muscle development;	9.62E-05
GO:0007423	organ development%sensory organ development;	0.000103
GO:0048729	tissue morphogenesis;	0.000106
GO:0007389	pattern specification process;	0.000107
GO:0048534	hemopoietic or lymphoid organ development;	0.00011
GO:0003006	reproductive developmental process;	0.00013
GO:0009792	embryonic development ending in birth or egg hatching;	0.00015
GO:0043009	chordate embryonic development;	0.00015
GO:0009416	response to light stimulus;	0.000178
GO:0016072	rRNA metabolic process;	0.000183
GO:0008544	epidermis development;	0.000185
GO:0046849	bone remodeling;	0.000185
GO:0007067	mitosis;	0.00021
GO:0065008	regulation of biological quality;	0.000224
GO:0030097	hemopoiesis;	0.000224
GO:0051239	regulation of multicellular organismal process;	0.000243
GO:0000279	M phase;	0.000268
GO:0019882	antigen processing and presentation;	0.000268
GO:0043067	regulation of programmed cell death;	0.000312
GO:0009607	response to biotic stimulus;	0.000318
GO:0043062	extracellular structure organization and biogenesis;	0.000357
GO:0007167	enzyme linked receptor protein signaling pathway;	0.000371
GO:0009628	response to abiotic stimulus;	0.0004
GO:0000087	M phase of mitotic cell cycle;	0.000404
GO:0042981	regulation of apoptosis;	0.000404
GO:0022403	cell cycle phase;	0.000421
GO:0050954	sensory perception of mechanical stimulus;	0.000421
GO:0007605	sensory perception of sound;	0.000421
GO:0006629	lipid metabolic process;	0.000435
GO:0006364	rRNA processing;	0.000508
GO:0045165	cell fate commitment;	0.000508
GO:0003002	regionalization;	0.000684
GO:0007602	phototransduction;	0.000693
GO:0008202	steroid metabolic process;	0.000725
GO:0042254	ribosome biogenesis and assembly;	0.000752
GO:0048646	anatomical structure formation;	0.000809
GO:0001503	ossification;	0.000827
GO:0031214	biomineral formation;	0.000827
GO:0007548	sex differentiation;	0.000948
GO:0006694	steroid biosynthetic process;	0.00102
GO:0048771	tissue remodeling;	0.00107
GO:0050908	detection of light stimulus during visual perception;	0.00121
GO:0050962	detection of light stimulus during sensory perception;	0.00121
GO:0009611	response to wounding;	0.00123
GO:0009582	detection of abiotic stimulus;	0.00131
GO:0007530	sex determination;	0.00131
GO:0006950	response to stress;	0.00148
GO:0000278	mitotic cell cycle;	0.00152
GO:0009584	detection of visible light;	0.00156
GO:0050906	detection of stimulus during sensory perception;	0.0016
GO:0048806	genitalia development;	0.00172
GO:0009583	detection of light stimulus;	0.00203
GO:0030099	myeloid cell differentiation;	0.00203
GO:0006383	transcription from RNA polymerase III promoter;	0.00205
GO:0009314	response to radiation;	0.00215
GO:0007050	cell cycle arrest;	0.00215
GO:0051234	establishment of localization;	0.00218
GO:0045786	negative regulation of progression through cell cycle;	0.00229
GO:0000226	microtubule cytoskeleton organization and biogenesis;	0.00254
GO:0007610	behavior;	0.00273
GO:0043583	ear development;	0.0028
GO:0007626	locomotory behavior;	0.00289
GO:0051216	cartilage development;	0.00321
GO:0006810	transport;	0.00347
GO:0002573	myeloid leukocyte differentiation;	0.00347
GO:0009056	catabolic process;	0.0035
GO:0009968	negative regulation of signal transduction;	0.0035
GO:0043069	negative regulation of programmed cell death;	0.00369
GO:0045944	positive regulation of transcription from RNA polymerase II promoter	0.00398
GO:0001944	vasculature development;	0.0041
GO:0042475	odontogenesis of dentine-containing teeth;	0.0041
GO:0042471	ear morphogenesis;	0.00439
GO:0042476	odontogenesis;	0.00453
GO:0042110	T cell activation;	0.00505
GO:0002521	leukocyte differentiation;	0.00521
GO:0045137	development of primary sexual characteristics;	0.00535
GO:0046661	male sex differentiation;	0.00555
GO:0008380	RNA splicing;	0.00555
GO:0051707	response to other organism;	0.00555
GO:0021938	smoothened signaling pathway involved in regulation of granule cell precursor cell proliferation	0.00578
GO:0021937	Purkinje cell-granule cell precursor cell signaling involved in regulation of granule cell precursor cell proliferation;	0.00578
GO:0046546	development of primary male sexual characteristics;	0.00583
GO:0022613	ribonucleoprotein complex biogenesis and assembly;	0.0064
GO:0043065	positive regulation of apoptosis;	0.00651
GO:0043066	negative regulation of apoptosis;	0.00656
GO:0006935	chemotaxis;	0.00722
GO:0042330	taxis;	0.00722
GO:0044255	cellular lipid metabolic process;	0.00743
GO:0043068	positive regulation of programmed cell death;	0.00761
GO:0048730	epidermis morphogenesis;	0.00774
GO:0001568	blood vessel development;	0.00882
GO:0051093	negative regulation of developmental process;	0.00882
GO:0008038	neuron recognition;	0.00934
GO:0006928	cell motility;	0.00952
GO:0051674	localization of cell;	0.00952
GO:0006954	inflammatory response;	0.00962
GO:0009913	epidermal cell differentiation;	0.00974
GO:0048514	blood vessel morphogenesis;	0.0101
