Accession No.	Gene Symbol	Exon.ID	logFC	t	P.Value	adj.P.Val	B	Transcript.ID	gene_assignment
NM_006763	BTG2	2375672	0.634109144	9.408272194	5.98527E-08	0.015391424	0.569880257	2375664	NM_006763 // BTG2 // BTG family, member 2 // 1q32 // 7832 /// ENST00000290551 // BTG2 // BTG family, member 2 // 1q32 // 7832 /// U72649 // BTG2 // BTG family, member 2 // 1q32 // 7832
NM_078467	CDKN1A	2905177	-0.908780975	-8.940455103	1.20163E-07	0.015450296	0.442706806	2905169	NM_078467 // CDKN1A // cyclin-dependent kinase inhibitor 1A (p21, Cip1) // 6p21.2 // 1026 /// NM_000389 // CDKN1A // cyclin-dependent kinase inhibitor 1A (p21, Cip1) // 6p21.2 // 1026 /// ENST00000244741 // CDKN1A // cyclin-dependent kinase inhibitor 1A (p21, Cip1) // 6p21.2 // 1026 /// ENST00000373711 // CDKN1A // cyclin-dependent kinase inhibitor 1A (p21, Cip1) // 6p21.2 // 1026 /// BC000312 // CDKN1A // cyclin-dependent kinase inhibitor 1A (p21, Cip1) // 6p21.2 // 1026
NM_006763	BTG2	2375673	0.797342322	8.609360008	1.99823E-07	0.017128525	0.344194074	2375664	NM_006763 // BTG2 // BTG family, member 2 // 1q32 // 7832 /// ENST00000290551 // BTG2 // BTG family, member 2 // 1q32 // 7832 /// U72649 // BTG2 // BTG family, member 2 // 1q32 // 7832
NM_006763	BTG2	2375666	-0.536027541	-8.346959809	3.01823E-07	0.019361957	0.260632743	2375664	NM_006763 // BTG2 // BTG family, member 2 // 1q32 // 7832 /// ENST00000290551 // BTG2 // BTG family, member 2 // 1q32 // 7832 /// U72649 // BTG2 // BTG family, member 2 // 1q32 // 7832
NM_002392	MDM2	3421305	-0.888929556	-8.208524277	3.76465E-07	0.019361957	0.214466083	3421300	NM_002392 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// NM_006878 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// NM_006881 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// NM_006882 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// NM_006879 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000393417 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000311440 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// AK290341 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000258149 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000350057 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000258148 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000393416 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000311420 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000358483 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000393415 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000356290 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000393413 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000393412 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000299252 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000393410 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000360430 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// ENST00000348801 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 // 4193 /// BC065505 // MGC5370 // hypothetical protein MGC5370 // 12q14.3 // 84825
NM_078467	CDKN1A	2905178	0.57921989	7.580206211	1.0582E-06	0.045124615	-0.014808477	2905169	NM_078467 // CDKN1A // cyclin-dependent kinase inhibitor 1A (p21, Cip1) // 6p21.2 // 1026 /// NM_000389 // CDKN1A // cyclin-dependent kinase inhibitor 1A (p21, Cip1) // 6p21.2 // 1026 /// ENST00000244741 // CDKN1A // cyclin-dependent kinase inhibitor 1A (p21, Cip1) // 6p21.2 // 1026 /// ENST00000373711 // CDKN1A // cyclin-dependent kinase inhibitor 1A (p21, Cip1) // 6p21.2 // 1026 /// BC000312 // CDKN1A // cyclin-dependent kinase inhibitor 1A (p21, Cip1) // 6p21.2 // 1026
NM_033632	FBXW7	2790007	-0.723704922	-7.49205365	1.22833E-06	0.045124615	-0.049754401	2789957	NM_033632 // FBXW7 // F-box and WD repeat domain containing 7 // 4q31.3 // 55294 /// NM_018315 // FBXW7 // F-box and WD repeat domain containing 7 // 4q31.3 // 55294 /// NM_001013415 // FBXW7 // F-box and WD repeat domain containing 7 // 4q31.3 // 55294 /// ENST00000281708 // FBXW7 // F-box and WD repeat domain containing 7 // 4q31.3 // 55294 /// ENST00000393956 // FBXW7 // F-box and WD repeat domain containing 7 // 4q31.3 // 55294 /// ENST00000263981 // FBXW7 // F-box and WD repeat domain containing 7 // 4q31.3 // 55294 /// ENST00000296555 // FBXW7 // F-box and WD repeat domain containing 7 // 4q31.3 // 55294 /// BC117244 // FBXW7 // F-box and WD repeat domain containing 7 // 4q31.3 // 55294
NM_152718	VWCE	3375244	-0.537890419	-6.840673693	3.81722E-06	0.117790179	-0.331654509	3375192	NM_152718 // VWCE // von Willebrand factor C and EGF domains // 11q12.2 // 220001 /// ENST00000335613 // VWCE // von Willebrand factor C and EGF domains // 11q12.2 // 220001 /// BC077719 // VWCE // von Willebrand factor C and EGF domains // 11q12.2 // 220001 /// ENST00000301770 // VWCE // von Willebrand factor C and EGF domains // 11q12.2 // 220001
NM_033632	FBXW7	2790011	-0.798437066	-6.797641886	4.12246E-06	0.117790179	-0.351838204	2789957	NM_033632 // FBXW7 // F-box and WD repeat domain containing 7 // 4q31.3 // 55294 /// NM_018315 // FBXW7 // F-box and WD repeat domain containing 7 // 4q31.3 // 55294 /// NM_001013415 // FBXW7 // F-box and WD repeat domain containing 7 // 4q31.3 // 55294 /// ENST00000281708 // FBXW7 // F-box and WD repeat domain containing 7 // 4q31.3 // 55294 /// ENST00000393956 // FBXW7 // F-box and WD repeat domain containing 7 // 4q31.3 // 55294 /// ENST00000263981 // FBXW7 // F-box and WD repeat domain containing 7 // 4q31.3 // 55294 /// ENST00000296555 // FBXW7 // F-box and WD repeat domain containing 7 // 4q31.3 // 55294 /// BC117244 // FBXW7 // F-box and WD repeat domain containing 7 // 4q31.3 // 55294
NM_014454	SESN1	2968694	-0.706040749	-6.599311918	5.89601E-06	0.1273882	-0.447534223	2968652	NM_014454 // SESN1 // sestrin 1 // 6q21 // 27244 /// ENST00000302071 // SESN1 // sestrin 1 // 6q21 // 27244 /// AF033120 // SESN1 // sestrin 1 // 6q21 // 27244 /// ENST00000356644 // SESN1 // sestrin 1 // 6q21 // 27244 /// ENST00000368971 // SESN1 // sestrin 1 // 6q21 // 27244
