Affymetrix_ID	UniGene ID	Gene_Symbol	Log_fold_change (>0 = up-regulated; <0 = down-regulated)	-log10(p-value) for Estimate of diseased_healthy
"1367581_a_at, 1396689_at"	Rn.8871	Spp1	2.245	41.2288
1378015_at	Rn.39658	RGD:1311996	1.9669	35.0162
1367784_a_at	Rn.1780	Clu	3.3779	29.5397
1367913_at	Rn.105938	Cygb	1.4106	28.3857
"1381343_at, 1383222_at"	Rn.1708	LOC257646	0.8336	22.6443
1386996_at	Rn.103179	RGD:628855	0.7756	22.4535
1388114_at	Rn.103179	Mrlcb	0.7756	22.4535
1388745_at	Rn.54039	RGD:1304636	0.7278	22.2871
"1370992_a_at, 1371258_at"	Rn.98846	Fga	1.0091	21.9972
1370186_at	Rn.13686	Psmb9	0.9171	21.6556
1398347_at	Rn.16368	RGD:1312008	1.172	21.2353
"1368504_at, 1398816_at"	Rn.40177	Lamp1	0.4187	20.6298
1368168_at	Rn.16933	RGD:620889	2.1632	20.4333
1387391_at	Rn.10089	Cdkn1a	0.4408	20.1517
1373204_at	Rn.17071	RGD1310725_predicted	1.1134	18.9746
1369956_at	Rn.19927	RGD:620570	0.5636	18.7804
"1385625_at, 1393240_at"	Rn.16151	Efemp2	1.0126	18.3754
1368207_at	Rn.24997	Fxyd5	0.7122	17.903
1371244_at	Rn.2498	RGD:1307758	0.5877	17.6513
1368160_at	Rn.34026	Igfbp1	1.042	17.1419
"1368821_at, 1368822_at, 1371331_at, 1394119_at"	Rn.95652	Fstl1	0.7759	17.1139
"1389189_at, 1396539_at, 1398294_at"	Rn.6401	Actn1	1.4167	16.9389
1367712_at	Rn.25754	Timp1	1.3548	16.917
1387892_at	Rn.2458	Tubb5	1.0106	16.8147
"1367823_at, 1375144_at, 1386940_at, 1388312_at"	Rn.10161	Timp2	0.2867	16.7147
"1369400_a_at, 1388044_at, 1388063_a_at, 1398320_at"	Rn.44844	Pfkfb2	-0.2293	20.3237
1370268_at	Rn.44291	Kcna5	-0.2714	17.364
"1369178_a_at, 1385148_at"	Rn.91176	P2rx1	-0.2108	5.559
1378419_at	Rn.87496	LOC474169	-0.3129	5.5606
1369279_at	Rn.81185	Dhrs9	-0.2163	5.5612
1388051_at	Rn.81026	Slc26a3	-0.3637	5.5618
1368695_at	Rn.11151	C4bp-ps1	-0.2888	5.5684
1369341_a_at	Rn.7033	Acvrinp1	-0.1886	5.5718
"1394129_at, 1396858_at"	Rn.7033	Acvrip1	-0.1886	5.5718
1369358_a_at	Rn.37430	Hap1	-0.1699	5.5727
1387320_a_at	Rn.89629	RGD:708527	-0.1887	5.5781
"1367571_a_at, 1371206_a_at, 1398322_at"	Rn.118681	Igf2	-0.1007	5.5784
1371564_at	Rn.103171	RGD:735157	-0.1572	5.5789
"1387292_s_at, 1387991_at"	Rn.80837	Capn8	-0.2614	5.5793
1369253_at	Rn.90021	Kremen	-0.2313	5.5831
1369240_a_at	Rn.10096	Avpr1b	-0.2056	5.5835
1382417_at	Rn.90967	RGD:1309306	-0.1498	5.5848
1369552_at	Rn.81187	Samsn1	-0.2144	5.5849
1368763_at	Rn.10652	Il3	-0.2808	5.5851
1369444_at	Rn.21402	Cyp19a1	-0.3457	5.5866
1387582_a_at	Rn.81203	Pde7b	-0.2523	5.587
"1375494_a_at, 1387409_x_at"	Rn.10263	Nlgn3	-0.1551	5.5897
1377146_at	Rn.18675	RGD:621647	-0.2512	5.5908
1387615_at	Rn.44391	RGD:621843	-0.2146	5.5965
"1387065_at, 1395839_at"	Rn.37434	Plcd4	-0.2386	5.5978
