# Generate Mapping Tables Script: Version 4 11:05 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:05 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
unigene|Hs.494173|Hs.494173	hgnc_symbol|ANXA1|ANXA1
unigene|Hs.368853|Hs.368853	hgnc_symbol|AYTL2|AYTL2
unigene|Hs.514527|Hs.514527	hgnc_symbol|BIRC5|BIRC5
unigene|Hs.418533|Hs.418533	hgnc_symbol|BUB3|BUB3
unigene|Hs.522493|Hs.522493	hgnc_symbol|CAMSAP1|CAMSAP1
unigene|Hs.381189|Hs.381189	hgnc_symbol|CBX3|CBX3
unigene|Hs.113919|Hs.113919	hgnc_symbol|CCDC23|CCDC23
unigene|Hs.477144|Hs.477144	hgnc_symbol|CCDC52|CCDC52
unigene|Hs.58974|Hs.58974	hgnc_symbol|CCNA2|CCNA2
unigene|Hs.523852|Hs.523852	hgnc_symbol|CCND1|CCND1
unigene|Hs.421509|Hs.421509	hgnc_symbol|CCT4|CCT4
unigene|Hs.1600|Hs.1600	hgnc_symbol|CCT5|CCT5
unigene|Hs.502328|Hs.502328	hgnc_symbol|CD44|CD44
unigene|Hs.14559|Hs.14559	hgnc_symbol|CEP55|CEP55
unigene|Hs.83758|Hs.83758	hgnc_symbol|CKS2|CKS2
unigene|Hs.485899|Hs.485899	hgnc_symbol|CTTNBP2NL|CTTNBP2NL
unigene|Hs.513803|Hs.513803	hgnc_symbol|CYBA|CYBA
unigene|Hs.222510|Hs.222510	hgnc_symbol|DAZAP1|DAZAP1
unigene|Hs.500245|Hs.500245	hgnc_symbol|DLG5|DLG5
unigene|Hs.202672|Hs.202672	hgnc_symbol|DNMT1|DNMT1
unigene|Hs.404056|Hs.404056	hgnc_symbol|EIF3S1|EIF3S1
unigene|Hs.371001|Hs.371001	hgnc_symbol|EIF3S9|EIF3S9
unigene|Hs.591015|Hs.591015	hgnc_symbol|ELK3|ELK3
unigene|Hs.520189|Hs.520189	hgnc_symbol|ELOVL5|ELOVL5
unigene|Hs.104925|Hs.104925	hgnc_symbol|ENC1|ENC1
unigene|Hs.2913|Hs.2913	hgnc_symbol|EPHB3|EPHB3
unigene|Hs.591863|Hs.591863	hgnc_symbol|FZD6|FZD6
unigene|Hs.78619|Hs.78619	hgnc_symbol|GGH|GGH
unigene|Hs.193832|Hs.193832	hgnc_symbol|GPATC4|GPATC4
unigene|Hs.83634|Hs.83634	hgnc_symbol|HCFC1|HCFC1
unigene|Hs.166463|Hs.166463	hgnc_symbol|HNRPU|HNRPU
unigene|Hs.445403|Hs.445403	hgnc_symbol|IARS|IARS
unigene|Hs.465885|Hs.465885	hgnc_symbol|ILF3|ILF3
unigene|Hs.166539|Hs.166539	hgnc_symbol|ITGB3BP|ITGB3BP
unigene|Hs.655832|Hs.655832	hgnc_symbol|JUB|JUB
unigene|Hs.129621|Hs.129621	hgnc_symbol|KIAA0179|KIAA0179
unigene|Hs.370118|Hs.370118	hgnc_symbol|KIAA0406|KIAA0406
unigene|Hs.406013|Hs.406013	hgnc_symbol|KRT18|KRT18
unigene|Hs.513983|Hs.513983	hgnc_symbol|LLGL1|LLGL1
unigene|Hs.518055|Hs.518055	hgnc_symbol|LRIG1|LRIG1
unigene|Hs.425427|Hs.425427	hgnc_symbol|LYAR|LYAR
unigene|Hs.524579|Hs.524579	hgnc_symbol|LYZ|LYZ
unigene|Hs.114198|Hs.114198	hgnc_symbol|MAP2K5|MAP2K5
unigene|Hs.75061|Hs.75061	hgnc_symbol|MARCKSL1|MARCKSL1
unigene|Hs.500842|Hs.500842	hgnc_symbol|MGEA5|MGEA5
unigene|Hs.367842|Hs.367842	hgnc_symbol|MKI67IP|MKI67IP
unigene|Hs.2256|Hs.2256	hgnc_symbol|MMP7|MMP7
unigene|Hs.377155|Hs.377155	hgnc_symbol|MTDH|MTDH
unigene|Hs.469030|Hs.469030	hgnc_symbol|MTHFD2|MTHFD2
unigene|Hs.524599|Hs.524599	hgnc_symbol|NAP1L1|NAP1L1
unigene|Hs.591671|Hs.591671	hgnc_symbol|NCBP2|NCBP2
unigene|Hs.376064|Hs.376064	hgnc_symbol|NOL5A|NOL5A
unigene|Hs.27222|Hs.27222	hgnc_symbol|NOLA2|NOLA2
unigene|Hs.140443|Hs.140443	hgnc_symbol|NUDCD2|NUDCD2
unigene|Hs.30532|Hs.30532	hgnc_symbol|OTUD6B|OTUD6B
unigene|Hs.177766|Hs.177766	hgnc_symbol|PARP1|PARP1
unigene|Hs.75812|Hs.75812	hgnc_symbol|PCK2|PCK2
unigene|Hs.82502|Hs.82502	hgnc_symbol|POLD3|POLD3
unigene|Hs.162777|Hs.162777	hgnc_symbol|POLE2|POLE2
unigene|Hs.584839|Hs.584839	hgnc_symbol|POLR1C|POLR1C
unigene|Hs.602757|Hs.602757	hgnc_symbol|POLR2B|POLR2B
unigene|Hs.470544|Hs.470544	hgnc_symbol|PPIG|PPIG
unigene|Hs.546276|Hs.546276	hgnc_symbol|PPP2R1B|PPP2R1B
unigene|Hs.567385|Hs.567385	hgnc_symbol|PRC1|PRC1
unigene|Hs.280342|Hs.280342	hgnc_symbol|PRKAR1A|PRKAR1A
unigene|Hs.491682|Hs.491682	hgnc_symbol|PRKDC|PRKDC
unigene|Hs.437366|Hs.437366	hgnc_symbol|PSMC2|PSMC2
unigene|Hs.520619|Hs.520619	hgnc_symbol|PUS7|PUS7
unigene|Hs.591046|Hs.591046	hgnc_symbol|RAD51AP1|RAD51AP1
unigene|Hs.115474|Hs.115474	hgnc_symbol|RFC3|RFC3
unigene|Hs.440382|Hs.440382	hgnc_symbol|RFP|RFP
unigene|Hs.653288|Hs.653288	hgnc_symbol|RNF12|RNF12
unigene|Hs.461925|Hs.461925	hgnc_symbol|RPA1|RPA1
unigene|Hs.356794|Hs.356794	hgnc_symbol|RPS24|RPS24
unigene|Hs.446628|Hs.446628	hgnc_symbol|RPS4X|RPS4X
unigene|Hs.226390|Hs.226390	hgnc_symbol|RRM2|RRM2
unigene|Hs.149261|Hs.149261	hgnc_symbol|RUNX1|RUNX1
unigene|Hs.655281|Hs.655281	hgnc_symbol|SEMA4D|SEMA4D
unigene|Hs.68714|Hs.68714	hgnc_symbol|SFRS1|SFRS1
unigene|Hs.162585|Hs.162585	hgnc_symbol|SLC12A2|SLC12A2
unigene|Hs.513797|Hs.513797	hgnc_symbol|SLC7A5|SLC7A5
unigene|Hs.153863|Hs.153863	hgnc_symbol|SMAD6|SMAD6
unigene|Hs.589489|Hs.589489	hgnc_symbol|SMARCA5|SMARCA5
unigene|Hs.280378|Hs.280378	hgnc_symbol|SNRPB2|SNRPB2
unigene|Hs.643910|Hs.643910	hgnc_symbol|SOX4|SOX4
unigene|Hs.388170|Hs.388170	hgnc_symbol|SRR|SRR
unigene|Hs.693592|Hs.693592	hgnc_symbol|STMN1|STMN1
unigene|Hs.571177|Hs.571177	hgnc_symbol|SYNCRIP|SYNCRIP
unigene|Hs.519672|Hs.519672	hgnc_symbol|TCOF1|TCOF1
unigene|Hs.632581|Hs.632581	hgnc_symbol|TETRAN|TETRAN
unigene|Hs.494648|Hs.494648	hgnc_symbol|TEX10|TEX10
unigene|Hs.82028|Hs.82028	hgnc_symbol|TGFBR2|TGFBR2
unigene|Hs.654460|Hs.654460	hgnc_symbol|THOC1|THOC1
unigene|Hs.500572|Hs.500572	hgnc_symbol|FER1L3|FER1L3
unigene|Hs.534360|Hs.534360	hgnc_symbol|TRIP6|TRIP6
unigene|Hs.114412|Hs.114412	hgnc_symbol|TXNL1|TXNL1
unigene|Hs.255932|Hs.255932	hgnc_symbol|XRN2|XRN2
unigene|Hs.503692|Hs.503692	hgnc_symbol|YAP1|YAP1
unigene|Hs.485628|Hs.485628	hgnc_symbol|ZNF451|ZNF451
unigene|Hs.21331|Hs.21331	hgnc_symbol|ZWILCH|ZWILCH
