Probe set	Gene symbol	Gene description	Average signal Dex	Vehicle	Expression change Ratio	P-value
1441972_at	6230424C14Rik	RIKEN cDNA 6230424C14 gene	292	842	-2.9	0.0458
1448952_at	A030009H04Rik	RIKEN cDNA A030009H04 gene	138	189	-1.4	0.0365
1424059_at	Suv420h2	suppressor of variegation 4-20 homolog 2 (Drosophila)	87	68	1.3	0.0436
1425780_a_at	Tmem167	transmembrane protein 167	8506	6440	1.3	0.0365
1428288_at	Klf9	Kruppel-like factor 9	1290	755	1.7	0.0458
1452141_a_at	Sepp1	selenoprotein P, plasma, 1	154	77	2.0	0.0365
1424775_at	Oas1a	2-5 oligoadenylate synthetase 1A	452	221	2.0	0.0365
1436202_at			848	390	2.2	0.0392
1427981_a_at	Csad	cysteine sulfinic acid decarboxylase	2590	1116	2.3	0.0365
1448136_at	Enpp2	ectonucleotide pyrophosphatase/phosphodiesterase 2	3190	1185	2.7	0.0365
1455610_at	Dmn	desmuslin	652	241	2.7	0.0436
1454984_at	AW061234	expressed sequence AW061234	264	92	2.9	0.0365
1430697_at	Ammecr1	Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region gene 1 homolog (human)	896	261	3.4	0.0365
1416414_at	Emilin1	elastin microfibril interfacer 1	2559	568	4.5	0.0365
1449851_at	Per1	period homolog 1 (Drosophila)	122	21	5.7	0.0365
1419442_at	Matn2	matrilin 2	1239	76	16.4	0.0365
